X,Y,Z,EDA,HR,TEMP,id,datetime,label
-9,18,-15,3.796569,94.57,33.5,15,23:01.8,0
-5,44,-35,3.796569,94.57,33.5,15,23:01.8,0
18,43,-38,3.796569,94.57,33.5,15,23:01.8,0
24,37,-32,3.796569,94.57,33.5,15,23:01.9,0
21,21,-19,3.796569,94.57,33.5,15,23:01.9,0
28,8,3,3.796569,94.57,33.5,15,23:01.9,0
9,-5,53,3.796569,94.57,33.5,15,23:02.0,0
-9,-8,74,3.783753,94.65,33.49,15,23:02.0,0
5,-20,99,3.783753,94.65,33.49,15,23:02.0,0
5,-18,90,3.783753,94.65,33.49,15,23:02.1,0
-27,20,47,3.783753,94.65,33.49,15,23:02.1,0
-79,33,37,3.783753,94.65,33.49,15,23:02.1,0
-26,37,43,3.783753,94.65,33.49,15,23:02.2,0
-12,19,54,3.783753,94.65,33.49,15,23:02.2,0
-18,16,64,3.783753,94.65,33.49,15,23:02.2,0
-15,24,56,4.118241,94.65,33.49,15,23:02.2,0
-23,30,50,4.118241,94.65,33.49,15,23:02.3,0
-22,29,54,4.118241,94.65,33.49,15,23:02.3,0
-24,28,56,4.118241,94.65,33.49,15,23:02.3,0
-19,27,55,4.118241,94.65,33.49,15,23:02.4,0
-20,27,54,4.118241,94.65,33.49,15,23:02.4,0
-23,27,52,4.118241,94.65,33.49,15,23:02.4,0
-21,27,53,4.118241,94.65,33.49,15,23:02.5,0
-19,25,55,4.254087,94.65,33.49,15,23:02.5,0
-21,25,54,4.254087,94.65,33.49,15,23:02.5,0
-21,26,53,4.254087,94.65,33.49,15,23:02.6,0
-20,26,54,4.254087,94.65,33.49,15,23:02.6,0
-21,25,56,4.254087,94.65,33.49,15,23:02.6,0
-26,27,54,4.254087,94.65,33.49,15,23:02.7,0
-26,29,54,4.254087,94.65,33.49,15,23:02.7,0
-20,28,54,4.254087,94.65,33.49,15,23:02.7,0
-20,27,54,4.146436,94.65,33.49,15,23:02.7,0
-22,24,54,4.146436,94.65,33.49,15,23:02.8,0
-24,26,54,4.146436,94.65,33.49,15,23:02.8,0
-26,26,55,4.146436,94.65,33.49,15,23:02.8,0
-32,25,54,4.146436,94.65,33.49,15,23:02.9,0
-30,25,53,4.146436,94.65,33.49,15,23:02.9,0
-31,26,57,4.146436,94.65,33.49,15,23:02.9,0
-33,22,55,4.146436,94.65,33.49,15,23:03.0,0
-15,21,54,4.206669,94.78,33.49,15,23:03.0,0
-6,21,55,4.206669,94.78,33.49,15,23:03.0,0
-13,19,58,4.206669,94.78,33.49,15,23:03.1,0
-6,19,60,4.206669,94.78,33.49,15,23:03.1,0
-3,21,56,4.206669,94.78,33.49,15,23:03.1,0
1,21,54,4.206669,94.78,33.49,15,23:03.2,0
4,20,56,4.206669,94.78,33.49,15,23:03.2,0
9,22,57,4.206669,94.78,33.49,15,23:03.2,0
11,19,60,4.371991,94.78,33.49,15,23:03.2,0
10,21,59,4.371991,94.78,33.49,15,23:03.3,0
2,22,60,4.371991,94.78,33.49,15,23:03.3,0
3,22,60,4.371991,94.78,33.49,15,23:03.3,0
-1,21,58,4.371991,94.78,33.49,15,23:03.4,0
11,20,60,4.371991,94.78,33.49,15,23:03.4,0
4,20,59,4.371991,94.78,33.49,15,23:03.4,0
1,16,58,4.371991,94.78,33.49,15,23:03.5,0
7,15,59,4.424535,94.78,33.49,15,23:03.5,0
6,15,59,4.424535,94.78,33.49,15,23:03.5,0
10,17,56,4.424535,94.78,33.49,15,23:03.6,0
-3,24,55,4.424535,94.78,33.49,15,23:03.6,0
4,27,56,4.424535,94.78,33.49,15,23:03.6,0
-8,36,55,4.424535,94.78,33.49,15,23:03.7,0
-11,38,56,4.424535,94.78,33.49,15,23:03.7,0
4,36,59,4.424535,94.78,33.49,15,23:03.7,0
5,34,59,4.495471,94.78,33.49,15,23:03.8,0
0,33,56,4.495471,94.78,33.49,15,23:03.8,0
5,33,56,4.495471,94.78,33.49,15,23:03.8,0
3,35,56,4.495471,94.78,33.49,15,23:03.8,0
2,37,55,4.495471,94.78,33.49,15,23:03.9,0
3,38,56,4.495471,94.78,33.49,15,23:03.9,0
0,34,54,4.495471,94.78,33.49,15,23:03.9,0
-1,33,55,4.495471,94.78,33.49,15,23:04.0,0
-6,28,56,4.52751,94.9,33.53,15,23:04.0,0
1,25,58,4.52751,94.9,33.53,15,23:04.0,0
-6,27,56,4.52751,94.9,33.53,15,23:04.1,0
-4,27,56,4.52751,94.9,33.53,15,23:04.1,0
-6,28,55,4.52751,94.9,33.53,15,23:04.1,0
-7,27,54,4.52751,94.9,33.53,15,23:04.2,0
-14,24,59,4.52751,94.9,33.53,15,23:04.2,0
-11,15,58,4.52751,94.9,33.53,15,23:04.2,0
-9,13,59,4.580054,94.9,33.53,15,23:04.2,0
-21,10,57,4.580054,94.9,33.53,15,23:04.3,0
-19,9,56,4.580054,94.9,33.53,15,23:04.3,0
-22,6,57,4.580054,94.9,33.53,15,23:04.3,0
-25,6,56,4.580054,94.9,33.53,15,23:04.4,0
-24,6,55,4.580054,94.9,33.53,15,23:04.4,0
-25,2,55,4.580054,94.9,33.53,15,23:04.4,0
-34,1,53,4.580054,94.9,33.53,15,23:04.5,0
-30,-3,52,4.631317,94.9,33.53,15,23:04.5,0
-9,-3,50,4.631317,94.9,33.53,15,23:04.5,0
-6,1,46,4.631317,94.9,33.53,15,23:04.6,0
-9,-3,45,4.631317,94.9,33.53,15,23:04.6,0
-3,-3,41,4.631317,94.9,33.53,15,23:04.6,0
7,6,36,4.631317,94.9,33.53,15,23:04.7,0
12,9,14,4.631317,94.9,33.53,15,23:04.7,0
5,20,3,4.631317,94.9,33.53,15,23:04.7,0
10,74,-23,4.697958,94.9,33.53,15,23:04.7,0
8,71,-34,4.697958,94.9,33.53,15,23:04.8,0
-49,82,-47,4.697958,94.9,33.53,15,23:04.8,0
-67,68,-73,4.697958,94.9,33.53,15,23:04.8,0
-93,65,-78,4.697958,94.9,33.53,15,23:04.9,0
-86,58,-37,4.697958,94.9,33.53,15,23:04.9,0
-115,-19,31,4.697958,94.9,33.53,15,23:04.9,0
-107,-2,-30,4.697958,94.9,33.53,15,23:05.0,0
-92,-1,-3,4.785104,95.05,33.55,15,23:05.0,0
-77,-33,25,4.785104,95.05,33.55,15,23:05.0,0
-68,-33,30,4.785104,95.05,33.55,15,23:05.1,0
-65,-5,40,4.785104,95.05,33.55,15,23:05.1,0
-91,6,17,4.785104,95.05,33.55,15,23:05.1,0
-70,22,19,4.785104,95.05,33.55,15,23:05.2,0
-58,29,27,4.785104,95.05,33.55,15,23:05.2,0
-65,34,24,4.785104,95.05,33.55,15,23:05.2,0
-66,37,27,4.204556,95.05,33.55,15,23:05.2,0
-45,36,27,4.204556,95.05,33.55,15,23:05.3,0
-32,34,18,4.204556,95.05,33.55,15,23:05.3,0
-79,45,-11,4.204556,95.05,33.55,15,23:05.3,0
-66,28,-10,4.204556,95.05,33.55,15,23:05.4,0
-79,31,2,4.204556,95.05,33.55,15,23:05.4,0
-81,24,6,4.204556,95.05,33.55,15,23:05.4,0
-81,23,-3,4.204556,95.05,33.55,15,23:05.5,0
-19,12,25,4.061022,95.05,33.55,15,23:05.5,0
-19,27,44,4.061022,95.05,33.55,15,23:05.5,0
-39,22,33,4.061022,95.05,33.55,15,23:05.6,0
-39,16,37,4.061022,95.05,33.55,15,23:05.6,0
-53,4,43,4.061022,95.05,33.55,15,23:05.6,0
-63,1,35,4.061022,95.05,33.55,15,23:05.7,0
-68,-18,12,4.061022,95.05,33.55,15,23:05.7,0
-6,-29,47,4.061022,95.05,33.55,15,23:05.7,0
-69,-43,43,4.091779,95.05,33.55,15,23:05.7,0
-39,-14,77,4.091779,95.05,33.55,15,23:05.8,0
-63,-5,57,4.091779,95.05,33.55,15,23:05.8,0
-20,-9,25,4.091779,95.05,33.55,15,23:05.8,0
-2,15,40,4.091779,95.05,33.55,15,23:05.9,0
-36,6,59,4.091779,95.05,33.55,15,23:05.9,0
-40,17,44,4.091779,95.05,33.55,15,23:05.9,0
-22,39,44,4.091779,95.05,33.55,15,23:06.0,0
-30,45,50,4.255819,95.08,33.57,15,23:06.0,0
-30,51,40,4.255819,95.08,33.57,15,23:06.0,0
-17,45,42,4.255819,95.08,33.57,15,23:06.1,0
-15,20,49,4.255819,95.08,33.57,15,23:06.1,0
-31,20,51,4.255819,95.08,33.57,15,23:06.1,0
-52,19,29,4.255819,95.08,33.57,15,23:06.2,0
-19,42,13,4.255819,95.08,33.57,15,23:06.2,0
-6,39,-1,4.255819,95.08,33.57,15,23:06.2,0
3,34,28,4.245567,95.08,33.57,15,23:06.2,0
-20,41,19,4.245567,95.08,33.57,15,23:06.3,0
-27,25,15,4.245567,95.08,33.57,15,23:06.3,0
-21,22,30,4.245567,95.08,33.57,15,23:06.3,0
-11,9,37,4.245567,95.08,33.57,15,23:06.4,0
-8,-6,24,4.245567,95.08,33.57,15,23:06.4,0
4,-5,4,4.245567,95.08,33.57,15,23:06.4,0
-9,-3,-15,4.245567,95.08,33.57,15,23:06.5,0
-74,-13,-70,4.325024,95.08,33.57,15,23:06.5,0
-95,8,-57,4.325024,95.08,33.57,15,23:06.5,0
-101,2,-56,4.325024,95.08,33.57,15,23:06.6,0
-57,-20,-45,4.325024,95.08,33.57,15,23:06.6,0
-69,-22,-52,4.325024,95.08,33.57,15,23:06.6,0
-105,-27,-47,4.325024,95.08,33.57,15,23:06.7,0
-74,-37,-31,4.325024,95.08,33.57,15,23:06.7,0
-74,-44,-22,4.325024,95.08,33.57,15,23:06.7,0
-80,-46,-23,4.405762,95.08,33.57,15,23:06.7,0
-59,-57,-18,4.405762,95.08,33.57,15,23:06.8,0
-57,-57,-20,4.405762,95.08,33.57,15,23:06.8,0
-61,-55,-24,4.405762,95.08,33.57,15,23:06.8,0
-62,-58,-24,4.405762,95.08,33.57,15,23:06.9,0
-52,-55,-18,4.405762,95.08,33.57,15,23:06.9,0
-44,-65,-6,4.405762,95.08,33.57,15,23:06.9,0
-39,-63,-5,4.405762,95.08,33.57,15,23:07.0,0
-37,-60,-8,4.168673,95.2,33.53,15,23:07.0,0
-61,-55,2,4.168673,95.2,33.53,15,23:07.0,0
-86,-49,6,4.168673,95.2,33.53,15,23:07.1,0
-75,-53,7,4.168673,95.2,33.53,15,23:07.1,0
-72,-70,31,4.168673,95.2,33.53,15,23:07.1,0
-86,-69,27,4.168673,95.2,33.53,15,23:07.2,0
-117,-66,-18,4.168673,95.2,33.53,15,23:07.2,0
-120,-68,-25,4.168673,95.2,33.53,15,23:07.2,0
-94,-62,-41,4.313489,95.2,33.53,15,23:07.2,0
-76,-66,-50,4.313489,95.2,33.53,15,23:07.3,0
-72,-60,-63,4.313489,95.2,33.53,15,23:07.3,0
-77,-35,-54,4.313489,95.2,33.53,15,23:07.3,0
-76,-45,-61,4.313489,95.2,33.53,15,23:07.4,0
-128,-70,-89,4.313489,95.2,33.53,15,23:07.4,0
-124,-83,-91,4.313489,95.2,33.53,15,23:07.4,0
-106,-85,-78,4.313489,95.2,33.53,15,23:07.5,0
-107,-81,-73,4.360907,95.2,33.53,15,23:07.5,0
-59,-69,-42,4.360907,95.2,33.53,15,23:07.5,0
-30,-50,-20,4.360907,95.2,33.53,15,23:07.6,0
15,-6,13,4.360907,95.2,33.53,15,23:07.6,0
41,32,18,4.360907,95.2,33.53,15,23:07.6,0
41,26,13,4.360907,95.2,33.53,15,23:07.7,0
30,18,7,4.360907,95.2,33.53,15,23:07.7,0
30,26,8,4.360907,95.2,33.53,15,23:07.7,0
6,24,-10,4.172518,95.2,33.53,15,23:07.7,0
4,25,-14,4.172518,95.2,33.53,15,23:07.8,0
-11,35,-20,4.172518,95.2,33.53,15,23:07.8,0
-14,36,-23,4.172518,95.2,33.53,15,23:07.8,0
-8,46,-16,4.172518,95.2,33.53,15,23:07.9,0
-3,51,-16,4.172518,95.2,33.53,15,23:07.9,0
3,57,-12,4.172518,95.2,33.53,15,23:07.9,0
2,57,-13,4.172518,95.2,33.53,15,23:08.0,0
1,59,-14,3.782923,95.08,33.53,15,23:08.0,0
0,59,-14,3.782923,95.08,33.53,15,23:08.0,0
2,57,-17,3.782923,95.08,33.53,15,23:08.1,0
1,57,-20,3.782923,95.08,33.53,15,23:08.1,0
1,60,-21,3.782923,95.08,33.53,15,23:08.1,0
7,60,-25,3.782923,95.08,33.53,15,23:08.2,0
11,60,-24,3.782923,95.08,33.53,15,23:08.2,0
10,55,-30,3.782923,95.08,33.53,15,23:08.2,0
8,57,-29,3.291633,95.08,33.53,15,23:08.2,0
5,56,-29,3.291633,95.08,33.53,15,23:08.3,0
6,56,-29,3.291633,95.08,33.53,15,23:08.3,0
9,54,-33,3.291633,95.08,33.53,15,23:08.3,0
11,56,-31,3.291633,95.08,33.53,15,23:08.4,0
10,59,-28,3.291633,95.08,33.53,15,23:08.4,0
12,58,-29,3.291633,95.08,33.53,15,23:08.4,0
11,58,-31,3.291633,95.08,33.53,15,23:08.5,0
8,55,-28,3.205142,95.08,33.53,15,23:08.5,0
7,53,-28,3.205142,95.08,33.53,15,23:08.5,0
6,56,-24,3.205142,95.08,33.53,15,23:08.6,0
4,57,-24,3.205142,95.08,33.53,15,23:08.6,0
3,58,-24,3.205142,95.08,33.53,15,23:08.6,0
3,57,-25,3.205142,95.08,33.53,15,23:08.7,0
1,54,-25,3.205142,95.08,33.53,15,23:08.7,0
2,54,-24,3.205142,95.08,33.53,15,23:08.7,0
4,48,-25,3.152598,95.08,33.53,15,23:08.7,0
6,42,-27,3.152598,95.08,33.53,15,23:08.8,0
2,28,-30,3.152598,95.08,33.53,15,23:08.8,0
1,20,-24,3.152598,95.08,33.53,15,23:08.8,0
5,20,-25,3.152598,95.08,33.53,15,23:08.9,0
5,32,0,3.152598,95.08,33.53,15,23:08.9,0
1,36,8,3.152598,95.08,33.53,15,23:08.9,0
-20,41,14,3.152598,95.08,33.53,15,23:09.0,0
-31,47,21,3.196171,94.97,33.53,15,23:09.0,0
-66,59,26,3.196171,94.97,33.53,15,23:09.0,0
-82,55,21,3.196171,94.97,33.53,15,23:09.1,0
-93,66,5,3.196171,94.97,33.53,15,23:09.1,0
-83,60,3,3.196171,94.97,33.53,15,23:09.1,0
-50,42,-13,3.196171,94.97,33.53,15,23:09.2,0
-24,47,-14,3.196171,94.97,33.53,15,23:09.2,0
24,41,-3,3.196171,94.97,33.53,15,23:09.2,0
45,53,-19,3.257686,94.97,33.53,15,23:09.2,0
55,57,-19,3.257686,94.97,33.53,15,23:09.3,0
73,60,-13,3.257686,94.97,33.53,15,23:09.3,0
72,63,-21,3.257686,94.97,33.53,15,23:09.3,0
65,66,-30,3.257686,94.97,33.53,15,23:09.4,0
59,65,-29,3.257686,94.97,33.53,15,23:09.4,0
43,60,-34,3.257686,94.97,33.53,15,23:09.4,0
31,53,-35,3.257686,94.97,33.53,15,23:09.5,0
10,44,-30,3.88437,94.97,33.53,15,23:09.5,0
8,37,-25,3.88437,94.97,33.53,15,23:09.5,0
2,22,-19,3.88437,94.97,33.53,15,23:09.6,0
2,16,-20,3.88437,94.97,33.53,15,23:09.6,0
-20,-5,-20,3.88437,94.97,33.53,15,23:09.6,0
-31,-16,-30,3.88437,94.97,33.53,15,23:09.7,0
-27,-18,-37,3.88437,94.97,33.53,15,23:09.7,0
-10,-20,-42,3.88437,94.97,33.53,15,23:09.7,0
0,-32,-32,4.012526,94.97,33.53,15,23:09.7,0
-34,-61,-40,4.012526,94.97,33.53,15,23:09.8,0
-79,-88,-52,4.012526,94.97,33.53,15,23:09.8,0
-43,-49,-36,4.012526,94.97,33.53,15,23:09.8,0
-32,-66,-29,4.012526,94.97,33.53,15,23:09.9,0
-42,-79,-22,4.012526,94.97,33.53,15,23:09.9,0
-38,-81,-24,4.012526,94.97,33.53,15,23:09.9,0
-54,-93,-22,4.012526,94.97,33.53,15,23:10.0,0
-37,-93,-18,3.996493,94.85,33.55,15,23:10.0,0
-24,-94,-11,3.996493,94.85,33.55,15,23:10.0,0
-16,-103,-31,3.996493,94.85,33.55,15,23:10.1,0
-9,-95,-30,3.996493,94.85,33.55,15,23:10.1,0
-23,-128,-9,3.996493,94.85,33.55,15,23:10.1,0
-68,-84,-32,3.996493,94.85,33.55,15,23:10.2,0
-26,-72,8,3.996493,94.85,33.55,15,23:10.2,0
-27,-58,15,3.996493,94.85,33.55,15,23:10.2,0
-29,-56,-13,4.304068,94.85,33.55,15,23:10.2,0
-16,-62,1,4.304068,94.85,33.55,15,23:10.3,0
3,-71,9,4.304068,94.85,33.55,15,23:10.3,0
-13,-77,2,4.304068,94.85,33.55,15,23:10.3,0
-27,-81,-11,4.304068,94.85,33.55,15,23:10.4,0
-40,-75,7,4.304068,94.85,33.55,15,23:10.4,0
-30,-66,-23,4.304068,94.85,33.55,15,23:10.4,0
-28,-72,-41,4.304068,94.85,33.55,15,23:10.5,0
-31,-74,-29,4.405311,94.85,33.55,15,23:10.5,0
-72,-84,-21,4.405311,94.85,33.55,15,23:10.5,0
-71,-73,0,4.405311,94.85,33.55,15,23:10.6,0
28,-35,19,4.405311,94.85,33.55,15,23:10.6,0
28,-19,16,4.405311,94.85,33.55,15,23:10.6,0
-13,-5,-5,4.405311,94.85,33.55,15,23:10.7,0
-29,-14,-10,4.405311,94.85,33.55,15,23:10.7,0
-18,-23,-26,4.405311,94.85,33.55,15,23:10.7,0
-10,-35,-38,4.050318,94.85,33.55,15,23:10.7,0
-20,-25,-38,4.050318,94.85,33.55,15,23:10.8,0
4,-37,-29,4.050318,94.85,33.55,15,23:10.8,0
-15,-63,-30,4.050318,94.85,33.55,15,23:10.8,0
-9,-80,0,4.050318,94.85,33.55,15,23:10.9,0
-20,-89,8,4.050318,94.85,33.55,15,23:10.9,0
-29,-78,-31,4.050318,94.85,33.55,15,23:10.9,0
-16,-56,-18,4.050318,94.85,33.55,15,23:11.0,0
-21,-79,-37,4.418127,94.75,33.55,15,23:11.0,0
-18,-85,-39,4.418127,94.75,33.55,15,23:11.0,0
-57,-78,-45,4.418127,94.75,33.55,15,23:11.1,0
-43,-65,-32,4.418127,94.75,33.55,15,23:11.1,0
-8,-59,-16,4.418127,94.75,33.55,15,23:11.1,0
-33,-74,-30,4.418127,94.75,33.55,15,23:11.2,0
-41,-77,0,4.418127,94.75,33.55,15,23:11.2,0
-58,-68,-11,4.418127,94.75,33.55,15,23:11.2,0
-47,-58,-16,4.432224,94.75,33.55,15,23:11.2,0
-32,-20,-7,4.432224,94.75,33.55,15,23:11.3,0
-27,-19,-2,4.432224,94.75,33.55,15,23:11.3,0
-59,-26,-28,4.432224,94.75,33.55,15,23:11.3,0
-55,-27,-40,4.432224,94.75,33.55,15,23:11.4,0
-9,-31,6,4.432224,94.75,33.55,15,23:11.4,0
-23,-36,7,4.432224,94.75,33.55,15,23:11.4,0
-39,-31,-17,4.432224,94.75,33.55,15,23:11.5,0
-37,-33,-18,4.508287,94.75,33.55,15,23:11.5,0
-14,-36,-13,4.508287,94.75,33.55,15,23:11.5,0
-57,-44,-30,4.508287,94.75,33.55,15,23:11.6,0
-35,-45,-41,4.508287,94.75,33.55,15,23:11.6,0
-51,-64,-36,4.508287,94.75,33.55,15,23:11.6,0
-35,-67,-29,4.508287,94.75,33.55,15,23:11.7,0
-27,-90,1,4.508287,94.75,33.55,15,23:11.7,0
-54,-84,-15,4.508287,94.75,33.55,15,23:11.7,0
-11,-54,-6,4.892756,94.75,33.55,15,23:11.8,0
-27,-51,-10,4.892756,94.75,33.55,15,23:11.8,0
-39,-56,-14,4.892756,94.75,33.55,15,23:11.8,0
-32,-53,-11,4.892756,94.75,33.55,15,23:11.8,0
-31,-47,-5,4.892756,94.75,33.55,15,23:11.9,0
-27,-48,-4,4.892756,94.75,33.55,15,23:11.9,0
-20,-55,-5,4.892756,94.75,33.55,15,23:11.9,0
-39,-59,-10,4.892756,94.75,33.55,15,23:12.0,0
-39,-56,-12,4.982465,94.68,33.57,15,23:12.0,0
-45,-49,-13,4.982465,94.68,33.57,15,23:12.0,0
-49,-48,-12,4.982465,94.68,33.57,15,23:12.1,0
-40,-41,-6,4.982465,94.68,33.57,15,23:12.1,0
-40,-37,-10,4.982465,94.68,33.57,15,23:12.1,0
-43,-40,-7,4.982465,94.68,33.57,15,23:12.2,0
-45,-35,-13,4.982465,94.68,33.57,15,23:12.2,0
-35,-46,-16,4.982465,94.68,33.57,15,23:12.2,0
-41,-46,-10,5.221456,94.68,33.57,15,23:12.2,0
-25,-49,-14,5.221456,94.68,33.57,15,23:12.3,0
-11,-60,-16,5.221456,94.68,33.57,15,23:12.3,0
-23,-56,-20,5.221456,94.68,33.57,15,23:12.3,0
-10,-44,-23,5.221456,94.68,33.57,15,23:12.4,0
-18,-48,-28,5.221456,94.68,33.57,15,23:12.4,0
-31,-58,-23,5.221456,94.68,33.57,15,23:12.4,0
-29,-48,-34,5.221456,94.68,33.57,15,23:12.5,0
-6,-44,-37,5.404719,94.68,33.57,15,23:12.5,0
8,-60,-31,5.404719,94.68,33.57,15,23:12.5,0
-20,-128,18,5.404719,94.68,33.57,15,23:12.6,0
-8,-27,56,5.404719,94.68,33.57,15,23:12.6,0
26,-95,-28,5.404719,94.68,33.57,15,23:12.6,0
-3,-94,-28,5.404719,94.68,33.57,15,23:12.7,0
24,-87,2,5.404719,94.68,33.57,15,23:12.7,0
33,-83,2,5.404719,94.68,33.57,15,23:12.7,0
32,-83,-25,5.097144,94.68,33.57,15,23:12.7,0
17,-75,-22,5.097144,94.68,33.57,15,23:12.8,0
29,-73,-17,5.097144,94.68,33.57,15,23:12.8,0
2,-80,-38,5.097144,94.68,33.57,15,23:12.8,0
4,-76,-36,5.097144,94.68,33.57,15,23:12.9,0
11,-69,-32,5.097144,94.68,33.57,15,23:12.9,0
11,-69,-27,5.097144,94.68,33.57,15,23:12.9,0
6,-59,-28,5.097144,94.68,33.57,15,23:13.0,0
12,-55,-30,5.407282,94.6,33.59,15,23:13.0,0
7,-38,-29,5.407282,94.6,33.59,15,23:13.0,0
15,-25,-29,5.407282,94.6,33.59,15,23:13.1,0
17,-27,-21,5.407282,94.6,33.59,15,23:13.1,0
4,-25,-4,5.407282,94.6,33.59,15,23:13.1,0
6,-40,-2,5.407282,94.6,33.59,15,23:13.2,0
-13,-46,-18,5.407282,94.6,33.59,15,23:13.2,0
3,-42,-12,5.407282,94.6,33.59,15,23:13.2,0
19,-46,-5,5.494429,94.6,33.59,15,23:13.3,0
17,-49,-9,5.494429,94.6,33.59,15,23:13.3,0
30,-42,-24,5.494429,94.6,33.59,15,23:13.3,0
34,-44,-25,5.494429,94.6,33.59,15,23:13.3,0
42,-53,1,5.494429,94.6,33.59,15,23:13.4,0
39,-59,4,5.494429,94.6,33.59,15,23:13.4,0
19,-66,5,5.494429,94.6,33.59,15,23:13.4,0
10,-73,-5,5.494429,94.6,33.59,15,23:13.5,0
-2,-75,-23,5.368418,94.6,33.59,15,23:13.5,0
-13,-82,-22,5.368418,94.6,33.59,15,23:13.5,0
-24,-73,-34,5.368418,94.6,33.59,15,23:13.6,0
-49,-66,-40,5.368418,94.6,33.59,15,23:13.6,0
-59,-59,-31,5.368418,94.6,33.59,15,23:13.6,0
-72,-45,-25,5.368418,94.6,33.59,15,23:13.7,0
-76,-40,-22,5.368418,94.6,33.59,15,23:13.7,0
-80,-32,-26,5.368418,94.6,33.59,15,23:13.7,0
-62,-34,-19,5.440186,94.6,33.59,15,23:13.7,0
-46,-37,-13,5.440186,94.6,33.59,15,23:13.8,0
-63,-33,-32,5.440186,94.6,33.59,15,23:13.8,0
-30,-30,-12,5.440186,94.6,33.59,15,23:13.8,0
-19,-21,-17,5.440186,94.6,33.59,15,23:13.9,0
-33,-12,-21,5.440186,94.6,33.59,15,23:13.9,0
-20,-8,-15,5.440186,94.6,33.59,15,23:13.9,0
-15,-3,-8,5.440186,94.6,33.59,15,23:14.0,0
-20,-26,-9,4.784026,94.57,33.57,15,23:14.0,0
-18,-38,-6,4.784026,94.57,33.57,15,23:14.0,0
-29,-70,-14,4.784026,94.57,33.57,15,23:14.1,0
-39,-58,-2,4.784026,94.57,33.57,15,23:14.1,0
-45,-56,-30,4.784026,94.57,33.57,15,23:14.1,0
-4,-68,-33,4.784026,94.57,33.57,15,23:14.2,0
