movieid,title,genres,business_info
1689183,A Goofy Movie (1995),"Adventure, Animation, Comedy, Family, Musical, Romance","USD 35,348,597"
1689263,A Great Day in Harlem (1994),"Documentary, Music","USD 527,274"
1689475,A Hard Day's Night (1964),"Comedy, Musical","USD 560,000"
1690318,A Kid in King Arthur's Court (1995),"Adventure, Comedy, Family, Fantasy, Romance","USD 13,323,625"
1690616,A League of Their Own (1992),"Comedy, Drama, Sport","USD 40,000,000"
1690773,A Life Less Ordinary (1997),"Comedy, Crime, Fantasy, Romance","USD 12,000,000"
1691077,A Little Princess (1995),"Drama, Family, Fantasy","USD 17,000,000"
1691387,A Low Down Dirty Shame (1994),"Action, Comedy, Crime","USD 10,000,000"
1691642,A Man for All Seasons (1966),"Biography, Drama, History","USD 2,000,000"
1691685,A Man of No Importance (1994),"Comedy, Drama","USD 95,254"
1691793,A Map of the World (1999),Drama,"USD 544,538"
1692173,A Midsummer Night's Dream (1999),"Comedy, Fantasy, Romance","USD 16,071,990"
1692580,A Month by the Lake (1995),"Comedy, Drama, Romance","USD 2,196,534"
1693225,A Night at the Roxbury (1998),Comedy,"USD 17,000,000"
1693341,A Nightmare on Elm Street (1984),Horror,"USD 1,800,000"
1693345,A Nightmare on Elm Street 3: Dream Warriors (1987),"Horror, Thriller","USD 4,500,000"
1693346,A Nightmare on Elm Street 4: The Dream Master (1988),"Horror, Thriller","USD 7,000,000"
1693347,A Nightmare on Elm Street Part 2: Freddy's Revenge (1985),Horror,"USD 2,200,000"
1693348,A Nightmare on Elm Street: The Dream Child (1989),"Comedy, Fantasy, Horror, Thriller","USD 8,000,000"
1693818,A Perfect Candidate (1996),Documentary,"USD 48,522"
1693861,A Perfect Murder (1998),"Crime, Drama, Thriller","USD 67,629,105"
1693880,A Perfect World (1993),"Crime, Drama, Thriller","USD 31,160,784"
1694448,A Price Above Rubies (1998),"Drama, Romance","USD 1,081,957"
1694647,A Pyromaniac's Love Story (1995),"Comedy, Romance","USD 468,240"
1695219,A River Runs Through It (1992),Drama,"USD 43,440,294"
1695355,A Room with a View (1985),"Drama, Romance","USD 3,000,000"
1696148,A Simple Plan (1998),"Crime, Drama, Thriller","USD 17,000,000"
1696165,A Simple Twist of Fate (1994),"Comedy, Drama","USD 3,428,774"
1696168,A Simple Wish (1997),"Comedy, Fantasy","USD 28,000,000"
1696396,A Smile Like Yours (1997),"Comedy, Romance","USD 18,000,000"
1696473,A Soldier's Daughter Never Cries (1998),Drama,"USD 1,759,596"
1696496,A Soldier's Story (1984),"Drama, Mystery, War","USD 6,000,000"
1697037,A Streetcar Named Desire (1951),Drama,"USD 1,800,000"
1697674,A Thin Line Between Love and Hate (1996),"Comedy, Crime, Romance, Thriller","USD 8,000,000"
1697690,A Thousand Acres (1997),Drama,"USD 7,928,412"
1697856,A Time to Kill (1996),"Crime, Drama, Thriller","USD 40,000,000"
1698492,A Very Brady Sequel (1996),Comedy,"USD 15,000,000"
1698667,A View to a Kill (1985),"Action, Adventure, Crime, Thriller","USD 30,000,000"
1698944,A Walk in the Clouds (1995),"Drama, Romance","USD 20,000,000"
1698972,A Walk on the Moon (1999),"Drama, Romance","USD 14,000,000"
1699546,A Woman of Paris: A Drama of Fate (1923),"Drama, Romance","USD 351,000"
1703410,About Adam (2000),"Comedy, Romance","USD 151,559"
1703469,About Last Night... (1986),"Comedy, Drama, Romance","USD 38,702,310"
1703588,Above the Rim (1994),"Crime, Drama, Sport","USD 16,036,534"
1703679,Abre los ojos (1997),"Drama, Mystery, Romance, Sci-Fi","USD 368,234"
1703907,Absolute Power (1997),"Crime, Drama, Thriller","USD 50,000,000"
1704569,Ace Ventura: Pet Detective (1994),Comedy,"USD 12,000,000"
1704571,Ace Ventura: When Nature Calls (1995),Comedy,"USD 30,000,000"
1704645,Aces: Iron Eagle III (1992),"Action, Drama","USD 2,517,600"
1705196,Across the Sea of Time (1995),"Adventure, Drama, Family, History","USD 15,982,846"
1705417,Action Jackson (1988),"Action, Comedy, Crime, Thriller","USD 7,000,000"
1706079,Addams Family Values (1993),"Comedy, Fantasy","USD 48,919,043"
1706140,Addicted to Love (1997),"Comedy, Romance","USD 34,656,904"
1706887,Adrenalin: Fear the Rush (1996),"Action, Sci-Fi, Thriller","USD 37,536"
1707277,Adventures in Babysitting (1987),"Action, Adventure, Comedy, Thriller","USD 34,368,475"
1707941,Affliction (1997),"Drama, Mystery, Thriller","USD 6,000,000"
1708982,Afterglow (1997),"Comedy, Drama, Romance","USD 2,441,642"
1709238,Against All Odds (1984),"Action, Adventure, Crime, Drama, Romance, Thriller","USD 13,000,000"
1709892,Agnes Browne (1999),"Comedy, Drama, Romance","USD 140,426"
1709901,Agnes of God (1985),"Drama, Mystery, Thriller","USD 25,627,836"
1710622,Ai no korîda (1976),"Drama, History, Romance",
1710994,Aimée & Jaguar (1999),"Drama, Romance, War","USD 927,107"
1711133,Air America (1990),"Action, Comedy","USD 35,000,000"
1711143,Air Bud (1997),"Comedy, Drama, Family, Sport","USD 3,000,000"
1711145,Air Bud: Golden Receiver (1998),"Comedy, Family, Sport","USD 10,215,386"
1711175,Air Force One (1997),"Action, Adventure, Drama, Thriller","USD 85,000,000"
1711356,Airheads (1994),"Comedy, Crime, Music","USD 5,370,000"
1711383,Airplane II: The Sequel (1982),"Comedy, Romance, Sci-Fi","USD 27,150,534"
1711384,Airplane! (1980),Comedy,"USD 3,500,000"
1711393,Airport '77 (1977),"Action, Drama, Thriller","USD 30,000,000"
1711395,Airport (1970),"Drama, Thriller","USD 10,000,000"
1711398,Airport 1975 (1974),"Action, Drama, Thriller","USD 3,000,000"
1712152,Akira (1988),"Animation, Sci-Fi","USD 114,009"
1713183,Aladdin (1992),"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance","USD 28,000,000"
1713499,Alaska (1996),"Adventure, Family","USD 23,000,000"
1713755,Albino Alligator (1996),"Crime, Drama, Thriller","USD 5,000,000"
1714991,Alice et Martin (1998),"Drama, Romance","USD 498,106"
1715186,Alien (1979),"Horror, Sci-Fi","USD 11,000,000"
1715288,Alien Nation (1988),"Crime, Drama, Sci-Fi, Thriller","USD 16,000,000"
1715380,Alien: Resurrection (1997),"Action, Sci-Fi, Thriller","USD 75,000,000"
1715404,Aliens (1986),"Action, Adventure, Sci-Fi, Thriller","USD 18,500,000"
1715607,Alive (1993),"Action, Adventure, Biography, Drama, Sport, Thriller","USD 32,000,000"
1715793,All About Eve (1950),Drama,"USD 10,177"
1716019,All Dogs Go to Heaven (1989),"Animation, Comedy, Drama, Fantasy","USD 14,000,000"
1716020,All Dogs Go to Heaven 2 (1996),"Adventure, Animation, Family, Fantasy, Romance","USD 8,620,500"
1716411,All Over Me (1997),Drama,"USD 150,646"
1716615,All That Jazz (1979),"Drama, Fantasy, Music, Musical","USD 86,229"
1717117,All the Rage (1999),Drama,"USD 9,268"
1717144,All the Vermeers in New York (1990),"Comedy, Drama, Romance","USD 250,000"
1717455,Allan Quatermain and the Lost City of Gold (1986),"Action, Adventure, Comedy","USD 3,751,699"
1718318,Almost Famous (2000),"Drama, Music","USD 60,000,000"
1718342,Almost Heroes (1998),"Adventure, Comedy, Western","USD 6,114,928"
1720040,Amadeus (1984),"Biography, Drama, Music","USD 18,000,000"
1720443,Amateur (1994),"Comedy, Crime, Drama, Thriller","USD 856,422"
1721568,American Beauty (1999),Drama,"USD 15,000,000"
1721607,American Buffalo (1996),Drama,"USD 540,364"
1721750,American Dream (1990),Documentary,"USD 269,823"
1721864,American Flyers (1985),"Drama, Sport","USD 1,400,000"
1721888,American Gigolo (1980),"Crime, Drama, Thriller","USD 4,800,000"
1721919,American Graffiti (1973),"Comedy, Drama","USD 777,000"
1721967,American History X (1998),"Crime, Drama","USD 7,500,000"
1722098,American Movie (1999),Documentary,"USD 1,160,426"
1722164,American Pie (1999),"Comedy, Romance","USD 11,000,000"
1722174,American Pimp (1999),Documentary,"USD 650,000"
1722181,American Pop (1981),"Animation, Drama, Music","USD 6,000,000"
1722198,American Psycho (2000),"Crime, Drama","USD 7,000,000"
1722327,American Strays (1996),"Action, Comedy","USD 1,910"
1722761,Amistad (1997),"Drama, History, Mystery","USD 40,000,000"
1722776,Amityville 3-D (1983),"Horror, Thriller","USD 6,333,135"
1722777,Amityville II: The Possession (1982),"Drama, Horror, Thriller","USD 11,328,000"
1723002,Among Giants (1998),"Comedy, Romance","USD 64,359"
1723532,Amos & Andrew (1993),"Comedy, Crime","USD 9,745,803"
1724037,An Alan Smithee Film: Burn Hollywood Burn (1997),Comedy,"USD 10,000,000"
1724179,An American Tail (1986),"Animation, Comedy, Drama, Family, History, Musical","USD 47,483,002"
1724180,An American Tail: Fievel Goes West (1991),"Adventure, Animation, Comedy, Family, Musical, Western","USD 22,166,041"
1724190,An American Werewolf in London (1981),Horror,"USD 10,000,000"
1724193,An American Werewolf in Paris (1997),"Comedy, Horror, Romance, Thriller","USD 22,000,000"
1724201,An American in Paris (1951),"Musical, Romance","USD 2,723,903"
1724413,An Awfully Big Adventure (1995),"Comedy, Drama","USD 4,000,000"
1724880,An Ideal Husband (1999),"Comedy, Romance","USD 14,000,000"
1725774,Anaconda (1997),"Adventure, Thriller","USD 45,000,000"
1726761,Analyze This (1999),"Comedy, Crime","USD 30,000,000"
1726934,Anastasia (1997),"Adventure, Animation, Drama, Family, Fantasy, Musical","USD 53,000,000"
1727017,Anatomie (2000),"Horror, Thriller","USD 5,725"
1727348,And God Created Woman (1988),"Comedy, Drama, Romance","USD 717,376"
1727413,And Now for Something Completely Different (1971),Comedy,"USD 100,000"
1727885,Andre (1994),"Adventure, Drama, Family","USD 16,819,465"
1728802,Angel Heart (1987),"Horror, Mystery, Thriller","USD 17,000,000"
1729026,Angela's Ashes (1999),Drama,"USD 25,000,000"
1729240,Angels and Insects (1995),"Drama, Romance","USD 5,304,000"
1729260,Angels in the Outfield (1994),"Comedy, Family, Fantasy, Sport","USD 24,000,000"
1729569,Angus (1995),"Comedy, Drama","USD 4,821,759"
1729818,Animal House (1978),"Comedy, Romance","USD 3,000,000"
1730566,Anna Karenina (1997),"Drama, Romance","USD 35,000,000"
1730640,Anna and the King (1999),"Comedy, Drama, History, Romance","USD 75,000,000"
1730836,Anne Frank Remembered (1995),"Biography, Documentary, War","USD 1,310,200"
1730975,Annie Hall (1977),"Comedy, Drama, Romance","USD 4,000,000"
1731412,Another Day in Paradise (1998),"Crime, Drama, Thriller","USD 4,500,000"
1731582,Another Stakeout (1993),"Action, Comedy, Crime, Thriller","USD 20,208,496"
1732344,Antonia (1995),"Comedy, Drama","USD 4,823,217"
1732496,Antz (1998),"Adventure, Animation, Comedy, Family","USD 60,000,000"
1732658,Any Given Sunday (1999),"Drama, Sport","USD 55,000,000"
1732858,Anywhere But Here (1999),"Comedy, Drama","USD 23,000,000"
1733111,Aparajito (1956),Drama,"USD 170,215"
1733479,Apocalypse Now (1979),"Drama, War","USD 31,500,000"
1733566,Apollo 13 (1995),"Drama, History","USD 62,000,000"
1734162,April Fool's Day (1986),"Comedy, Horror, Mystery","USD 5,000,000"
1734321,Apt Pupil (1998),"Drama, Thriller","USD 14,000,000"
1734369,Apur Sansar (1959),Drama,"USD 160,00"
1734803,Arachnophobia (1990),"Comedy, Horror, Sci-Fi, Thriller","USD 31,000,000"
1735791,Arguing the World (1998),Documentary,"USD 47,044"
1736211,Arlington Road (1999),"Mystery, Thriller","USD 21,500,000"
1736268,Armageddon (1998),"Action, Adventure, Sci-Fi, Thriller","USD 140,000,000"
1736362,Armed and Dangerous (1986),"Action, Comedy, Crime","USD 12,000,000"
1736592,Army of Darkness (1992),"Comedy, Fantasy, Horror","USD 13,000,000"
1736794,Around the World in 80 Days (2004),"Action, Adventure, Comedy, Family, Romance, Western","USD 110,000,000"
1737713,Artemisia (1997),"Biography, Drama, Romance","USD 377,512"
1737766,Arthur (1981),"Comedy, Romance","USD 7,000,000"
1738481,As Good as It Gets (1997),"Comedy, Drama, Romance","USD 50,000,000"
1740732,Assassination (1987),"Action, Drama, Thriller","USD 6,075,793"
1740752,Assassins (1995),"Action, Crime, Thriller","USD 50,000,000"
1740811,Assault on Precinct 13 (1976),"Action, Thriller","USD 150,000"
1741682,At First Sight (1999),"Drama, Romance","USD 60,000,000"
1742509,Atlantic City (1980),"Crime, Drama, Romance","USD 7,200,000"
1744391,Auntie Mame (1958),"Comedy, Drama","USD 2,240,000"
1744809,Austin Powers: International Man of Mystery (1997),"Comedy, Crime","USD 17,000,000"
1744811,Austin Powers: The Spy Who Shagged Me (1999),"Action, Adventure, Comedy, Crime","USD 33,000,000"
1745406,Autumn in New York (2000),Drama,"USD 40,000,000"
1746382,Awakenings (1990),"Biography, Drama","USD 52,096,475"
1746829,Ayn Rand: A Sense of Life (1997),"Biography, Documentary","USD 209,244"
1747382,Azúcar amarga (1996),"Drama, Romance","USD 388,730"
1747494,B*A*P*S (1997),Comedy,"USD 7,240,837"
1747545,B. Monkey (1998),"Crime, Drama, Romance, Thriller","USD 34,524"
1747649,BASEketball (1998),"Comedy, Sport","USD 6,940,185"
1747899,Ba wang bie ji (1993),"Drama, Music, Romance, War","USD 5,216,888"
1748196,Babe (1995),"Adventure, Family, Fantasy","USD 30,000,000"
1748219,Babe: Pig in the City (1998),"Adventure, Comedy, Drama, Family, Fantasy","USD 80,000,000"
1748754,Baby Geniuses (1999),"Comedy, Crime, Family, Sci-Fi","USD 18,000,000"
1748996,Baby: Secret of the Lost Legend (1985),"Adventure, Family, Sci-Fi","USD 14,276,095"
1749026,Babyfever (1994),"Comedy, Drama","USD 269,904"
1749222,Bacheha-Ye aseman (1997),"Drama, Family","USD 180,000"
1749247,Bachelor Party (1984),"Comedy, Romance","USD 38,435,947"
1749683,Back to School (1986),"Comedy, Romance, Sport","USD 91,258,000"
1749731,Back to the Future (1985),"Adventure, Comedy, Sci-Fi","USD 19,000,000"
1749735,Back to the Future Part II (1989),"Adventure, Comedy, Sci-Fi","USD 40,000,000"
1749737,Back to the Future Part III (1990),"Adventure, Comedy, Sci-Fi, Western","USD 40,000,000"
1749806,Backbeat (1994),"Biography, Drama, Music","USD 2,392,599"
1749891,Backdraft (1991),"Action, Crime, Drama, Mystery, Thriller","USD 77,868,585"
1750364,Bad Boys (1995),"Action, Comedy, Crime, Drama, Thriller","USD 19,000,000"
1750424,Bad Company (1995),"Crime, Drama, Thriller","USD 3,700,000"
1750510,Bad Girls (1994),Western,"USD 15,240,435"
1750660,Bad Lieutenant (1992),"Crime, Drama","USD 1,000,000"
1750728,Bad Moon (1996),Horror,"USD 7,000,000"
1751059,Badkonake sefid (1995),"Drama, Family","USD 150,000"
1751872,Bait (2000),"Action, Crime, Thriller","USD 35,000,000"
1753266,Balto (1995),"Adventure, Animation, Drama, Family, History","USD 11,268,750"
1753348,Bambi (1942),"Animation, Drama, Family","USD 39,047,150"
1753400,Bamboozled (2000),"Comedy, Drama, Music","USD 10,000,000"
1753695,Band of the Hand (1986),"Action, Crime, Drama","USD 8,700,000"
1753837,Bandit Queen (1994),"Biography, Drama","USD 399,748"
1753860,Bandits (1997),"Drama, Music","USD 24,187"
1754754,Baraka (1992),"Documentary, War","USD 2,000,000"
1754799,Barb Wire (1996),"Action, Sci-Fi","USD 3,794,000"
1754884,Barbarella (1968),"Action, Adventure, Comedy, Fantasy, Sci-Fi","USD 9,000,000"
1755112,Barcelona (1994),"Comedy, Drama, Romance","USD 3,200,000"
1755524,Barefoot in the Park (1967),"Comedy, Romance","USD 19,994,515"
1755813,Barenaked in America (1999),Documentary,"USD 27,714"
1756051,Barney's Great Adventure (1998),"Adventure, Family","USD 15,000,000"
1756391,Barry Lyndon (1975),"Adventure, Drama, Romance, War","USD 11,000,000"
1756768,Basic Instinct (1992),"Mystery, Thriller","USD 40,000,000"
1756902,Basquiat (1996),"Biography, Drama","USD 3,300,000"
1757342,Batman & Robin (1997),"Action, Crime, Fantasy","USD 125,000,000"
1757347,Batman (1989),"Action, Fantasy","USD 35,000,000"
1757367,Batman Forever (1995),"Action, Adventure, Fantasy","USD 100,000,000"
1757378,Batman Returns (1992),"Action, Fantasy","USD 80,000,000"
1757423,Batman: Mask of the Phantasm (1993),"Action, Animation, Crime, Family, Mystery, Romance, Sci-Fi, Thriller","USD 6,000,000"
1757485,Bats (1999),"Horror, Sci-Fi, Thriller","USD 6,500,000"
1757698,Battle for the Planet of the Apes (1973),"Action, Sci-Fi","USD 1,800,000"
1757893,Battlefield Earth (2000),"Action, Sci-Fi","USD 44,000,000"
1758003,Battling Butler (1926),Comedy,
1758856,Bean (1997),"Comedy, Family","USD 22,000,000"
1759448,Beautiful (2000),"Comedy, Drama","USD 9,000,000"
1759573,Beautiful Girls (1996),"Comedy, Drama, Romance","USD 20,837,000"
1759654,Beautiful People (1999),"Comedy, Drama, War","USD 261,360"
1759685,Beautiful Thing (1996),"Comedy, Drama, Romance","USD 1,449,934"
1759851,Beauty and the Beast (1991),"Animation, Family, Fantasy, Musical, Romance","USD 25,000,000"
1759983,Beavis and Butt-Head Do America (1996),"Adventure, Animation, Comedy, Crime","USD 12,000,000"
1760306,Bed of Roses (1996),"Drama, Romance","USD 19,030,691"
1760386,Bedknobs and Broomsticks (1971),"Adventure, Family, Fantasy, Musical","USD 20,000,000"
1760449,Bedrooms and Hallways (1998),"Comedy, Romance","USD 16,459"
1760586,Beefcake (1998),Drama,"USD 275,996"
1760752,Beetle Juice (1988),"Comedy, Fantasy","USD 15,000,000"
1760876,Before Sunrise (1995),"Drama, Romance","USD 2,500,000"
1760927,Before and After (1996),"Crime, Drama, Mystery","USD 17,292,000"
1760978,Before the Rain (1994),"Drama, War","USD 763,847"
1762161,Being Human (1994),"Comedy, Drama, Fantasy","USD 30,000,000"
1762174,Being John Malkovich (1999),"Comedy, Drama, Fantasy, Sci-Fi","USD 13,000,000"
1762229,Being There (1979),"Comedy, Drama","USD 30,177,511"
1762644,Belizaire the Cajun (1986),"Drama, History, Romance","USD 1,142,243"
1762853,Belle de jour (1967),Drama,"USD 4,037,017"
1763019,Belly (1998),"Crime, Drama","USD 3,000,000"
1763083,Beloved (1998),"Drama, Horror, Mystery","USD 53,000,000"
1763465,Ben-Hur (1959),"Action, Adventure, Drama, History, Romance","USD 15,900,000"
1763653,Beneath the Planet of the Apes (1970),"Action, Adventure, Sci-Fi","USD 3,000,000"
1763877,Benji (1974),"Adventure, Family, Romance","USD 500,000"
1763883,Benji the Hunted (1987),"Adventure, Family","USD 22,257,624"
1763910,Benny & Joon (1993),"Comedy, Drama, Romance","USD 23,202,734"
1763974,Bent (1997),"Drama, History, Romance, War","USD 372,341"
1764861,Besieged (1998),"Drama, Romance","USD 2,032,621"
1765082,Best Laid Plans (1999),"Crime, Drama, Thriller","USD 7,000,000"
1765164,Best in Show (2000),Comedy,"USD 6,000,000"
1765652,Betrayed (1988),"Action, Drama, Romance, Thriller","USD 19,000,000"
1765787,Better Living (1998),Comedy,"USD 1,432"
1765789,Better Living Through Circuitry (1999),"Documentary, Drama, Music","USD 81,000"
1765811,Better Off Dead... (1985),"Comedy, Romance","USD 10,297,601"
1765827,Better Than Chocolate (1999),"Comedy, Drama, Romance","USD 2,011,254"
1766407,Beverly Hills Cop III (1994),"Action, Comedy, Crime, Thriller","USD 55,000,000"
1766427,Beverly Hills Ninja (1997),"Action, Comedy","USD 31,235,710"
1766849,Beyond Rangoon (1995),"Action, Drama","USD 23,000,000"
1767110,Beyond the Mat (1999),"Biography, Documentary, Sport","USD 500,000"
1767537,Bhaji on the Beach (1993),"Comedy, Drama","USD 735,192"
1768211,Bian Lian (1997),"Drama, Family","USD 1,104,619"
1768389,Bicentennial Man (1999),"Drama, Fantasy, Romance, Sci-Fi","USD 100,000,000"
1768698,Big (1988),"Comedy, Drama, Fantasy, Romance","USD 18,000,000"
1769145,Big Bully (1996),"Comedy, Drama","USD 15,000,000"
1769408,Big Daddy (1999),"Comedy, Drama","USD 34,200,000"
1769766,Big Momma's House (2000),"Action, Comedy, Crime","USD 30,000,000"
1769840,Big Night (1996),Drama,"USD 4,100,000"
1770285,Big Trouble in Little China (1986),"Action, Adventure, Comedy, Fantasy","USD 25,000,000"
1771528,Billy Madison (1995),Comedy,"USD 10,000,000"
1771673,Billy's Hollywood Screen Kiss (1998),"Comedy, Romance","USD 2,020,700"
1772092,Bio-Dome (1996),Comedy,"USD 15,000,000"
1772500,Bird on a Wire (1990),"Comedy, Crime, Thriller","USD 20,000,000"
1772651,Birdy (1984),"Drama, War","USD 454,463"
1772934,Bis ans Ende der Welt (1991),"Drama, Sci-Fi","USD 23,000,000"
1773358,Bitter Moon (1992),"Drama, Romance, Thriller","USD 5,000,000"
1773436,Bittersweet Motel (2000),Documentary,"USD 380,927"
1773944,Black Beauty (1994),"Adventure, Drama, Family, Romance","USD 4,630,377"
1774349,Black Dog (1998),"Action, Crime, Drama, Thriller","USD 12,829,351"
1775245,Black Sheep (1996),Comedy,"USD 32,377,000"
1776052,Blade (1998),"Action, Fantasy, Horror","USD 45,000,000"
1776063,Blade Runner (1982),"Drama, Sci-Fi, Thriller","USD 28,000,000"
1776173,Blame It on Rio (1984),"Comedy, Romance","USD 18,561,998"
1776338,Blank Check (1994),"Comedy, Family","USD 30,577,969"
1776407,Blast from the Past (1999),"Comedy, Drama, Romance, Sci-Fi","USD 35,000,000"
1776556,Blazing Saddles (1974),"Comedy, Western","USD 2,600,000"
1776732,Bless the Child (2000),"Crime, Drama, Horror, Thriller","USD 40,000,000"
1776893,Blind Date (1987),"Comedy, Romance","USD 18,000,000"
1777297,Blink (1994),"Crime, Drama, Thriller","USD 11,000,000"
1777374,Bliss (1997),"Drama, Romance","USD 207,751"
1778025,Blood Feast (1963),Horror,"USD 24,500"
1778258,Blood Simple. (1984),"Crime, Thriller","USD 1,500,000"
1778411,Blood and Wine (1996),"Crime, Drama, Thriller","USD 22,000,000"
1778536,"Blood, Guts, Bullets and Octane (1998)","Action, Comedy, Crime, Thriller","USD 7,300"
1778697,Bloodsport (1988),"Action, Biography, Drama, Sport","USD 1,100,000"
1778699,Bloodsport 2 (1996),"Action, Sport","USD 684,351"
1779176,Blown Away (1994),"Action, Thriller","USD 30,155,037"
1779201,Blowup (1966),"Drama, Mystery, Thriller","USD 1,800,000"
1779349,Blue Chips (1994),"Drama, Sport","USD 22,355,000"
1779474,Blue Hawaii (1961),"Comedy, Musical","USD 2,000,000"
1779735,Blue Sky (1994),"Drama, Romance","USD 3,359,465"
1779757,Blue Streak (1999),"Action, Comedy, Crime, Thriller","USD 65,000,000"
1779835,Blue Velvet (1986),"Crime, Mystery, Thriller","USD 6,000,000"
1779868,Blue in the Face (1995),Comedy,"USD 2,000,000"
1780022,Blues Brothers 2000 (1998),"Action, Comedy, Crime, Music","USD 28,000,000"
1780595,Bob Roberts (1992),Comedy,"USD 4,479,470"
1781241,Body Heat (1981),"Crime, Drama, Thriller","USD 24,058,838"
1781274,Body Parts (1991),"Horror, Thriller","USD 10,000,000"
1781295,Body Shots (1999),Drama,"USD 239,894"
1781303,Body Snatchers (1993),"Horror, Mystery, Sci-Fi, Thriller","USD 13,000,000"
1781518,Bogus (1996),"Comedy, Family, Fantasy","USD 30,000,000"
1781597,Boiler Room (2000),"Crime, Drama, Thriller","USD 8,000,000"
1783029,Bonnie and Clyde (1967),"Biography, Crime, Drama","USD 2,500,000"
1783282,Boogie Nights (1997),Drama,"USD 15,000,000"
1783500,Boomerang (1992),"Comedy, Drama, Romance","USD 40,000,000"
1783641,Bootmen (2000),"Comedy, Drama, Romance","USD 21,172"
1783685,Booty Call (1997),"Comedy, Romance","USD 20,060,051"
1783892,Bordello of Blood (1996),"Comedy, Horror","USD 5,587,855"
1784129,Boricua's Bond (2000),Drama,"USD 103,163"
1784206,Born American (1986),"Action, Drama, Thriller","USD 3,401,376"
1784275,Born Yesterday (1950),"Comedy, Drama, Romance","USD 12,000,000"
1784877,Bottle Rocket (1996),"Comedy, Crime","USD 7,000,000"
1785170,Bound (1996),"Crime, Drama, Thriller","USD 4,500,000"
1785251,Bound by Honor (1993),"Action, Crime, Drama, Thriller","USD 35,000,000"
1785529,Bowfinger (1999),Comedy,"USD 55,000,000"
1785755,Boxing Helena (1993),"Drama, Mystery, Romance, Thriller","USD 1,796,389"
1786099,Boys (1996),"Drama, Mystery, Romance","USD 516,350"
1786124,Boys Don't Cry (1999),"Biography, Drama","USD 2,000,000"
1786136,Boys Life 2 (1997),Drama,"USD 186,675"
1786142,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",Drama,"USD 624,573"
1786183,Boys and Girls (2000),"Comedy, Drama, Romance","USD 16,000,000"
1786236,Boys on the Side (1995),"Comedy, Drama","USD 21,000,000"
1786413,Braddock: Missing in Action III (1988),"Action, Adventure, Drama, Thriller, War","USD 6,193,901"
1786566,Braindead (1992),"Comedy, Horror","USD 3,000,000"
1786921,Brassed Off (1996),"Comedy, Drama, Romance","USD 2,560,471"
1787090,Braveheart (1995),"Action, Biography, Drama, History, War","USD 72,000,000"
1787149,Brazil (1985),"Drama, Fantasy, Sci-Fi","USD 15,000,000"
1787511,Breakfast at Tiffany's (1961),"Comedy, Drama, Romance","USD 2,500,000"
1787525,Breakfast of Champions (1999),Comedy,"USD 12,000,000"
