movieid,Budget,Gross Revenue,Additional Data,Copyright,Currency
1677631,10500000.0,239621.0,"2,911,076 (Spain) (20 December 20002)",Metro-Goldwyn-Mayer Inc.; 3 April 1968; LP36136 (in copyright registry),USD
1678036,28000000.0,40200000.0,"51,157 (Sweden)",MGM/UA Entertainment Co.,USD
1678591,,175418.0,"801 (Germany) (3 May 1998) (opening week) | 1,702 (Netherlands) (31 December 1998)",(1997) British Broadcasting Corporation,
1679029,43000000.0,37035515.0,"48,058 (Denmark) (14 September 2000) | 28,304 (Netherlands) (31 December 2000)","© 2000 Columbia Pictures Industries, Inc. (on print)",USD
1679461,,308082.0,,,
1679507,6000000.0,9821335.0,,,USD
1681633,,5186646.0,,"© MCMLXXXVI Cannon Films, Inc. and Cannon International B.V. (on print)",
1681655,13000000.0,16574731.0,"4,586 (Netherlands) (31 December 1999)",(1998) Miramax Film Corp.,USD
1682657,,3559990.0,,1997 Orion Pictures Corporation (on print),
1682692,7000000.0,19604000.0,,,USD
1682746,,417517.0,"4,561 (Netherlands) (31 December 2000)",,
1682922,40000000.0,36283504.0,"787,000 (Germany) (9 May 1999) | 733,351 (Germany) (2 May 1999) | 666,842 (Germany) (25 April 1999) | 124,555 (Netherlands) (31 December 1999)",Global Entertainment Productions GmbH & Co. Medien KG,USD
1684430,22000000.0,17266971.0,,,USD
1684442,,,,"1996 A Brother's Kiss, L.P. (on print)",
1684486,120000000.0,162792677.0,"3,570,275 (Germany) (31 December 1999) | 3,081,709 (Germany) (28 March 1999) | 2,985,622 (Germany) (21 March 1999) | 2,816,848 (Germany) (14 March 1999) | 2,570,128 (Germany) (7 March 1999) | 2,153,117 (Germany) (28 February 1999) | 488,677 (Netherlands) (31 December 2000) | 488,411 (Netherlands) (31 December 1999) | 633,708 (Sweden) (30 December 1999) | 623,803 (Sweden) (30 September 1999) | 610,057 (Sweden) (29 July 1999)",,USD
1685241,,,,"Copyright MCMXXXVIII in U.S.A. by Loew's Incorporated (on print); © Loew's, Inc.; 8 December 1938; LP8482 (in copyright registry)",
1685309,4000000.0,16743818.0,,© 1983 by MGM/UA Entertainment Co. (on print); MGM/UA Entertainment Company; 19 January 1984; PA12225 (in copyright registry),CAD
1685405,60000000.0,56702901.0,"66,083 (Germany) (25 April 1999) (opening week) | 37,443 (Netherlands) (31 December 1999)",copyright MCMXCVIII Touchstone Pictures and Paramount Pictures Corporation (on print),USD
1685463,2200000.0,26589355.0,"5,027,172 (Spain) (20 December 2002) | 4,229,886 (Spain) | 360,941 (Sweden) | 363,297 (West Germany) (1987) | 2,500,000 (West Germany) (1972)",© Copyright MCMLXXI by Warner Bros Inc. and Polaris Productions Inc. All Rights Reserved,USD
1685493,,,,© Wallace & Gromit Ltd. / BBC Worldwide Ltd. MCMXCV,
1685815,,,,,
1686209,1035000.0,,,"Copyright MCMXXXVII RKO Radio Pictures, Inc. (on print); RKO Radio Pictures, Inc.; 19 November 1937; LP7730 (in copyright registry)",USD
1687181,7000000.0,2148212.0,,,USD
1687544,,,,"Copyright MCMLXVII by Newtown Productions, Inc. (on print); Newtown Productions, Inc.; 1 June 1957; LP11253 (in copyright registry)",
1687685,,10118000.0,,,
1687730,,12890752.0,,"© MCMXCIII The Walt Disney Company and Amblin Entertainment, Inc. All Rights Reserved (on print)",
1687738,800000.0,,,"Paramount Productions, Inc.; 5 January 1933; LP3532 (in copyright registry)",USD
1687905,40000000.0,141340178.0,"263,898 (Sweden)","COPYRIGHT © 1992 COLUMBIA PICTURES INDUSTRIES, INC. AND CASTLE ROCK ENTERTAINMENT",USD
1688103,7500000.0,63493712.0,"3,775,753 (Germany) | 818,396 (Sweden)","Metro-Goldwyn-Mayer Pictures, Inc.",USD
1689117,20000000.0,2308390.0,,,USD
1689183,,35348597.0,"380,000 (France) (6 August 1996) | 231,249 (Netherlands) (31 December 1997) | 230,363 (Netherlands) (1 January 1997) | 5,944 (Portugal) (25 July 1996)",© MCMXCV The Walt Disney Company,
1689210,,,,© National Film and Television School 1989,
1689263,,527274.0,,Jean Bach,
1689475,560000.0,1000549.0,"680,000 (Sweden)",Proscenium Films; 6 July 1964; LP28626 (in copyright registry),USD
1690318,,13323625.0,,Alpine Releasing Corporation,
1690377,,,,Copyright MCMLVII Attica Film Company Limited (on print),
1690616,40000000.0,107458785.0,,,USD
1690710,,,,,
1690773,12000000.0,4266243.0,"207,644 (France) (30 December 1997) | 100,271 (France) (opening week) | 149,425 (Germany) (2 February 1998) | 66,698 (Germany) (26 January 1998) (opening week) | 96,534 (Netherlands) (31 December 1998) | 84,009 (Netherlands) (1 January 1998)",Life Less Limited,USD
1690958,,,"6,364 (Germany) (5 July 1998) (opening week)",,
1691077,17000000.0,10019307.0,"3,375 (Netherlands) (31 December 1997) | 3,351 (Netherlands) (1 January 1997)",,USD
1691387,10000000.0,29392418.0,,Hollywood Pictures Company,USD
1691642,2000000.0,28350000.0,,"Copyright 1966, renewed 1994 Highland Films, Ltd.",USD
1691685,,95254.0,,"BBC Northern Ireland, 1994 (on print)",
1691793,,544538.0,"31,301 (France) (7 March 2000)",,
1692173,,16071990.0,"13,910 (Netherlands) (31 December 2001) | 13,849 (Netherlands) (31 December 2000)","Copyright ©1999 by Twentieth Century Fox Film Corporation, Monarchy Enterprises B.V. and Regency Entertainment (USA), Inc. All Rights Reserved (on print)",
1692580,,2196534.0,"4,484 (Netherlands) (1 January 1998) | 6,199 (Portugal) (11 September 1997) | 3,867 (Portugal) (4 September 1997) (opening week)",,
1693225,17000000.0,30324946.0,67 (Netherlands) (31 December 2000),,USD
1693305,1680000.0,,,© The Rank Organisation Film Productions Limited MCMLVIII (on print),USD
1693341,1800000.0,10777659.0,,1984 The Elm Street Venture,USD
1693345,4500000.0,44053755.0,,The Third Elm Street Venture,USD
1693346,7000000.0,49336557.0,,,USD
1693347,2200000.0,23060333.0,"15,671 (Sweden)",The Second Elm Street Venture,USD
1693348,8000000.0,22168359.0,,,USD
1693818,,48522.0,,,
1693861,,67629105.0,"593,701 (Germany) (31 May 1999) | 472,878 (Germany) (8 November 1998) | 358,684 (Germany) (1 November 1998) | 188,319 (Germany) (25 October 1998) (opening week) | 240,120 (Netherlands) (31 December 1999) | 155,599 (Netherlands) (31 December 1998)",,
1693880,,31160784.0,"1,904,539 (Germany) (1994) | 260,552 (Sweden)",© 1993 Warner Bros.,
1694141,2295304.0,,,Copyright MCMLI by Paramount Pictures Corporation (on print); Paramount Pictures Corporation; 2 September 1951; LP1149 (in copyright registry),USD
1694448,,1081957.0,,"Miramax Film Corp., 1998",
1694647,,468240.0,,,
1694901,1500000.0,,,,USD
1695219,,43440294.0,,,
1695355,3000000.0,15905912.0,"152,861 (Sweden)","© Copyright MCMLXXXV A ROOM WITH A VIEW PRODUCTIONS LIMITED. 34, South Molton Street, London, England.",USD
1696148,17000000.0,16311763.0,"37,837 (Germany) | 24,016 (Netherlands) (31 December 2000) | 23,702 (Netherlands) (31 December 1999) | 69,448 (Spain) (31 March 2003)","Paramount Pictures Corp., 1998",USD
1696165,,3428774.0,,1994 Touchstone Pictures,
1696168,28000000.0,8119205.0,,"copyright © 1997 Universal City Studios, Inc. (on print)",USD
1696396,18000000.0,3247524.0,928 (Netherlands) (1 January 1998),,USD
1696473,,1759596.0,,"Merchant Ivory Productions, 1998 (on print)",
1696496,6000000.0,19758558.0,,,USD
1696789,1173639.0,,,"Selznick International Pictures, Inc.; 7 June 1937; LP7184",USD
1697037,1800000.0,8000000.0,,Copyright MCMLI Charles K. Feldman Group Productions (on print); Charles K. Feldman Group Productions; 15 October 1951; LP1240 (in copyright registry),USD
1697674,8000000.0,34746109.0,,,USD
1697690,,7928412.0,"15,549 (Germany) (28 June 1998) (opening week) | 19,932 (Netherlands) (31 December 1999) | 19,805 (Netherlands) (31 December 1998)","1997 Beacon Communications Corp. and PolyGram Filmed Entertainment, Inc. (on print)",
1697856,40000000.0,108706165.0,"1,247,425 (Germany) (15 December 1996) | 1,057,222 (Germany) (1 December 1996) | 649,435 (Germany) (17 November 1996) | 155,207 (Netherlands) (31 December 1997) | 154,795 (Netherlands) (1 January 1997) | 116,445 (Portugal) (31 October 1996) | 101,543 (Portugal) (24 October 1996) | 67,401 (Portugal) (10 October 1996) | 36,190 (Portugal) (3 October 1996) | 394,681 (Spain)",Monarchy Enterprises B.V.,USD
1698492,15000000.0,21397954.0,,TM & Copyright ©MCMXCVI by Paramount Pictures Corporation,USD
1698547,,,,© MCMLXXIV Montage Creations Inc.,
1698667,30000000.0,49667091.0,"14,100,000 (USA) | 2,423,306 (France) | 1,553,971 (Spain) | 947,853 (Sweden)",Danjaq S.A.,USD
1698944,20000000.0,50012507.0,"17,548 (Netherlands) (1 January 1997)",Copyright ©1995 by Twentieth Century Fox Film Corporation All Rights Reserved (on print),USD
1698960,800000.0,,,COPYRIGHT MCMXLV - LEWIS MILESTONE PRODUCTIONS ALL RIGHTS RESERVED,USD
1698972,14000000.0,4741987.0,,"©1998 Blouseman Productions, Inc. (on print)",USD
1699546,351000.0,36358.0,"37,887 (Spain) (31 August 2002)",United Artists Corporation; 17 October 1923; LP19504 (in copyright registry),USD
1703410,,151559.0,"24,900 (Germany) | 36,943 (Spain) (31 August 2002)",,
1703469,,38702310.0,"77,843 (Sweden)","1986 Tri-Star Pictures, Inc.",
1703588,,16036534.0,,,
1703679,370000000.0,368234.0,"72,976 (USA) | 16,367 (UK) | 21,195 (France) (26 March 2002) | 4,181 (Netherlands) (31 December 2001) | 1,794,047 (Spain)","© Copyright Sociedad General de Cine, S.A. Las Producciones del Escorpión, S.L. Les Films Alain Sarde Lucky Red SRL",ESP
1703907,50000000.0,50007168.0,"813,293 (France) (24 June 1997) | 298,196 (France) (27 May 1997) | 106,920 (France) (27 May 1997) (opening week) | 16,402 (France) (21 May 1997) (opening day) | 977,659 (France) | 322,270 (France) | 617,293 (Germany) (30 June 1997) | 585,470 (Germany) (23 June 1997) | 533,791 (Germany) (16 June 1997) | 472,436 (Germany) (9 June 1997) | 372,588 (Germany) (2 June 1997) | 171,997 (Germany) (opening week) | 42,828 (Netherlands) (1 January 1998) | 114,159 (Portugal) (26 June 1997) | 104,895 (Portugal) (19 June 1997) | 94,021 (Portugal) (12 June 1997) | 72,665 (Portugal) (5 June 1997) | 47,306 (Portugal) (29 May 1997) (opening week)",(1996) Castle Rock Entertainment,USD
1704569,12000000.0,72217000.0,"490,132 (France) (25 April 1995) | 117,711 (Sweden)",© 1994 Morgan Creek Productions Inc.,USD
1704571,30000000.0,108344348.0,"540,949 (France) (3 September 1996) | 434,589 (France) (6 August 1996) | 329,421 (Netherlands) (1 January 1997) | 173,029 (Portugal) (18 April 1996)",,USD
1704577,1821052.0,,,,USD
1704645,,2517600.0,,Carolco Pictures Inc. (United States & Canada); Carolco International N.V. (all other countries),
1705196,,15982846.0,,,
1705417,7000000.0,20257000.0,,,USD
1706079,,48919043.0,"554,756 (Germany)",,
1706140,,34656904.0,"1,016,883 (Germany) (22 September 1997) | 987,187 (Germany) (15 September 1997) | 934,282 (Germany) (8 September 1997) | 862,660 (Germany) (1 September 1997) | 774,968 (Germany) (25 August 1997) | 668,895 (Germany) (18 August 1997) | 563,074 (Germany) (11 August 1997) | 433,467 (Germany) (4 August 1997) | 181,859 (Germany) (opening week) | 47,199 (Netherlands) (31 December 1998) | 47,056 (Netherlands) (1 January 1998) | 73,937 (Portugal) (23 October 1997) | 70,086 (Portugal) (16 October 1997) | 61,931 (Portugal) (9 October 1997) | 45,717 (Portugal) (2 October 1997) | 27,108 (Portugal) (25 September 1997) (opening week)",,
1706887,,37536.0,,,
1707277,,34368475.0,,"'THE MIGHTY THOR'TM& © 1987 MARVEL ENTERTAINMENT GROUP, INC. ALL RIGHTS RESERVED",
1707941,6000000.0,6302154.0,"5,778 (Netherlands) (31 December 2001)","Largo Entertainment, Inc., 1997 (on print)",USD
1708591,25000.0,,,,USD
1708982,,2441642.0,"4,511 (Netherlands) (31 December 1999) | 4,467 (Netherlands) (31 December 1998)","Afterglow, Inc., 1997",
1709238,13000000.0,25100000.0,"165,777 (Sweden)",,USD
1709892,,140426.0,736 (Netherlands) (31 December 2001),,
1709901,,25627836.0,,"Columbia Pictures Industries, Inc. (1985)",
1710622,,1424906.0,"96,503 (Sweden)",,
1710994,15000000.0,927107.0,"980,177 (Germany) (28 March 1999) | 924,511 (Germany) (21 March 1999) | 843,299 (Germany) (14 March 1999) | 729,727 (Germany) (7 March 1999) | 571,253 (Germany) (28 February 1999) | 1,196,000 (Germany) | 22,497 (Netherlands) (31 December 2000) | 13,686 (Netherlands) (31 December 1999)",(1998) Senator Film Produktion GmbH,DEM
1711133,35000000.0,31053601.0,"73,804 (Sweden)",,USD
1711143,3000000.0,23125940.0,"70,380 (Netherlands) (31 December 1999) | 70,099 (Netherlands) (31 December 1998)",© Copyright 1997 Buddy Films Inc. All Rights Reserved (on print),USD
1711145,,10215386.0,"20,414 (Netherlands) (31 December 2001) | 20,318 (Netherlands) (31 December 2000)",© Copyright 1998 Golden Receiver Productions Inc. All Rights Reserved (on print),
1711175,85000000.0,172650002.0,"862,331 (France) (28 October 1997) | 394,197 (France) (opening week) | 20,824 (France) (opening day) | 2,275,901 (Germany) (1 December 1997) | 2,205,167 (Germany) (24 November 1997) | 2,056,849 (Germany) (17 November 1997) | 1,772,811 (Germany) (10 November 1997) | 1,320,076 (Germany) (3 November 1997) | 602,597 (Germany) (27 October 1997) (opening week) | 342,234 (Netherlands) (31 December 1998) | 335,854 (Netherlands) (1 January 1998)",Copyright © 1997 Beacon Communications Corp.,USD
1711356,,5370000.0,"13,489 (Germany) | 57,832 (Spain)",,
1711383,,27150534.0,"67,865 (Sweden)",Paramount Pictures Corporation,
1711384,3500000.0,83453539.0,"467,615 (Sweden)",Paramount Pictures Corporation,USD
1711393,,30000000.0,,,
1711395,10000000.0,100489150.0,,"© MCMLXIX by Universal Pictures and Ross Hunter Productions, Inc. (on print); Ross Hunter Productions; 5 March 1970; LP38968 (in copyright registry)",USD
1711398,3000000.0,47285152.0,"260,926 (Sweden)",© MCMLXXIV BY UNIVERSAL PICTURES. (on print),USD
1712152,1100000000.0,114009.0,"135,647 (Spain)",Pioneer Entertainment,JPY
1713183,28000000.0,217042825.0,"1,386,980 (Argentina) | 6,347,000 (Germany) | 1,047,615 (Sweden)",Walt Disney Company; 25 November 1992; PA583905 (in copyright registry),USD
1713499,23000000.0,11567023.0,"246,665 (Germany) (1996) | 5,504 (Spain)",Copyright ©1996 Castle Rock Entertainment,USD
1713755,5000000.0,326308.0,,Motion Picture Corporation of America,USD
1714481,,,,"Copyright MCMXXXVIII by Walter Wanger Productions, Incorporated (on print); © Walter Wanger Productions, Inc., LP8193, 8 August 1938 (in copyright registry)",
1714991,,498106.0,,,
1715025,3000000.0,,,Copyright MCMLI Walt Disney Productions (on print); Walt Disney Productions; 4 May 1951; LP1477 (in copyright registry),USD
1715186,11000000.0,80930630.0,"2,809,875 (France) | 1,385,423 (Spain) (31 August 2002) | 284,649 (Sweden)",Copyright © 1979 by Twentieth Century-Fox Film Corporation All Rights Reserved,USD
1715253,1000000.0,,,,USD
1715288,16000000.0,25216243.0,"30,666 (Sweden)",Twentieth Century Fox Film Corporation,USD
1715380,75000000.0,47748610.0,"2,523,389 (France) (30 December 1997) | 1,811,773 (Germany) (5 January 1998) | 1,696,878 (Germany) (29 December 1997) | 1,538,977 (Germany) (22 December 1997) | 1,398,198 (Germany) (15 December 1997) | 1,062,372 (Germany) (8 December 1997) | 586,143 (Germany) (1 December 1997) (opening week) | 136,371 (Netherlands) (31 December 1998) | 114,220 (Netherlands) (1 January 1998) | 1,568,859 (Spain) (31 August 2002)",Twentieth Century Fox Film Corporation,USD
1715404,18500000.0,77632096.0,"1,720,593 (France) (31 August 2002) | 401,077 (France) | 1,718,564 (France) | 982,600 (Spain) (31 August 2002) | 218,833 (Sweden)",Twentieth Century Fox Film Corporation,USD
1715607,32000000.0,36733909.0,,,USD
1715793,,10177.0,,Copyright MCML by Twentieth Century-Fox Film Corporation (on print); Twentieth Century-Fox Film Corporation; 13 October 1950; LP572 (in copyright registry),
1716019,14000000.0,27100027.0,,Copyright © MCMLXXXIX Goldcrest and Sullivan Bluth Limited. All rights reserved.,USD
1716020,,8620500.0,,© 1996 Metro-Goldwyn-Mayer Animation Inc.,
1716411,,150646.0,,,
1716452,1448864.0,,,Copyright MCMXXX by Universal Pictures Corp. (on print); Universal Pictures Corporation; 17 May 1930; LP1323 (in copyright registry),USD
1716615,,86229.0,,"copyright © 1979 by Columbia Pictures Industries, Inc. (on print)",
1717077,,,,Columbia Pictures Corporation; 5 January 1950; LP2764 (in copyright registry),
1717117,,9268.0,,"1999 All The Rage Productions, Inc.",
1717144,250000.0,142721.0,,,USD
1717455,,3751699.0,"735,346 (West Germany) (1986)","© MCMLXXXVI CANNON FILMS, INC. and CANNON INTERNATIONAL B. V. (on print",
1717910,1500000.0,,"270,845 (Germany)",,USD
1718318,60000000.0,32522352.0,"80,831 (France) (27 March 2001) | 42,946 (Netherlands) (31 December 2002) | 32,908 (Netherlands) (31 December 2001) | 212,680 (Spain) (31 August 2002) | 185,853 (Spain) (30 June 2001)","DreamWorks LLC and Columbia Pictures Industries, Inc.",USD
1718342,,6114928.0,,,
1718968,220000.0,,,,USD
1719502,,,,"Copyright MCMLXVI by Ray David Productions, Inc. All Rights Reserved",
1720040,18000000.0,366401.0,"1,876,753 (Argentina) (20 December 1994) (re-release) | 1,620,842 (Argentina) | 1,061,779 (Sweden)",© 1984 The Saul Zaentz Company (on print),USD
1720443,,856422.0,,,
1721568,15000000.0,130058047.0,"340,965 (Denmark) | 4,010,034 (Germany) (16 November 2003) | 3,990,820 (Germany) (31 December 2000) | 636,477 (Netherlands) (31 December 2001) | 634,772 (Netherlands) (31 December 2000) | 4,105,424 (Spain) | 625,917 (Switzerland)",1999 Dreamworks LLC (onprint),USD
1721607,,540364.0,"29,578 (Spain)","Prairie Oyster Productions Inc., 1996 (on print)",
1721750,,269823.0,,©1990 Cabin Creek Films,
1721864,,1400000.0,,Warner Bros. Inc.,
1721888,4800000.0,23000000.0,,Paramount Pictures Corporation (renewal); 18 August 1988; PA0000399918,USD
1721919,777000.0,21300000.0,"1,100,000 (Sweden) | 1,075,976 (Sweden)",COPYRIGHT © MCMLXXIII BY UNIVERSAL PICTURES ALL RIGHTS RESERVED,USD
1721967,7500000.0,6712241.0,"330,652 (Germany) (31 December 1999) | 94,927 (Germany) (7 March 1999) | 46,710 (Netherlands) (31 December 2000) | 46,265 (Netherlands) (31 December 1999)","(1998) New Line Productions, Inc.",USD
1722098,,1160426.0,,,
1722164,11000000.0,101736215.0,"927,212 (Argentina) (7 March 2000) | 6,140,123 (Germany) (31 December 2000) | 5,801,407 (Germany) | 332,143 (Netherlands) (31 December 2000) | 156,467 (Sweden) (30 September 1999)",,USD
1722174,650000.0,287724.0,,,USD
1722181,,6000000.0,,Copyright © 1980 Barclay's Mercantile Industrial Finance Limited (on print),
1722198,7000000.0,15070285.0,"2,740,051 (USA) (31 December 2001) | 832,265 (UK) (31 December 2001) | 91,049 (Belgium) (31 December 2001) | 367,154 (France) (31 December 2001) | 324,717 (Germany) (31 December 2001) | 142,623 (Italy) (31 December 2001) | 64,485 (Netherlands) (31 December 2001) | 63,145 (Netherlands) (31 December 2000) | 690,104 (Spain) (10 August 2002) | 683,906 (Spain) (25 June 2001)","Am Psycho Productions, Inc.",USD
1722327,,1910.0,,,
1722617,150000000.0,,,"Els Films de la Rambla, S.A., Casp, 59, 3er, 2ª, 08010 Barcelona, Tel. 93 265 30 26, Fax 93 232 38 70, E-mail: ponssala@ibernet.com, www.venturapons.com",ESP
1722761,40000000.0,44175394.0,"77,408 (Germany) (1 March 1998) (opening week) | 79,121 (Netherlands) (31 December 1999) | 78,908 (Netherlands) (31 December 1998) | 403,392 (Spain) | 90,605 (Switzerland)",copyright © 1997 Dreamworks LLC (on print),USD
1722776,,6333135.0,,,
1722777,,11328000.0,"88,558 (West Germany) (1984)",,
1723002,2500000.0,64359.0,,Among Giants Ltd. (on print),GBP
1723532,,9745803.0,165 (Netherlands) (1 January 1997) | 164 (Netherlands) (1 January 1997),Castle Rock Entertainment,
1724000,,,,"©1957 Jerry Wald Productions, Inc. and Twentieth Century-Fox Film Corporation",
1724037,10000000.0,43904.0,"4,519 (Germany) (14 June 1998) (opening week)",,USD
1724179,,47483002.0,,"Copyright © MCMLXXXVI by UNIVERSAL CITY STUDIOS, INC. and U-DRIVE PRODUCTIONS, INC. All rights reserved. [on Screen]",
1724180,,22166041.0,,"Copyright © 1991 Universal City Studios, Inc. and Amblin Entertainment, Inc. All rights reserved. [on Screen]",
1724190,10000000.0,20445527.0,"127,618 (Sweden)","Copyright 1981 American Werewolf, Inc.",USD
1724193,22000000.0,26521435.0,"76,478 (Germany) (19 January 1998) (opening week)",© 1997 Stonewood Communications B.V. and Hollywood Pictures Company,USD
1724201,2723903.0,4500000.0,,Loew's Incorporated; 5 September 1951; LP1161 (in copyright registry),USD
1724413,4000000.0,258195.0,,,USD
1724880,14000000.0,18535191.0,"20,288 (Netherlands) (31 December 2001) | 20,100 (Netherlands) (31 December 2000)",,USD
1725774,45000000.0,65557989.0,"606,052 (France) (29 July 1997) | 443,422 (France) (opening week) | 747,318 (Germany) (11 August 1997) | 685,329 (Germany) (4 August 1997) | 527,213 (Germany) (28 July 1997) | 291,802 (Germany) (opening week) | 60,141 (Netherlands) (1 January 1998) | 145,918 (Portugal) (4 September 1997) | 124,953 (Portugal) (28 August 1997) | 99,247 (Portugal) (21 August 1997) | 65,388 (Portugal) (14 August 1997) (opening week)","©1997 COLUMBIA PICTURES INDUSTRIES, INC.",USD
1726761,30000000.0,106694016.0,"1,148,208 (Germany) (11 July 1999) | 1,119,582 (Germany) (4 July 1999) | 1,080,695 (Germany) (27 June 1999) | 924,112 (Germany) (13 June 1999) | 780,157 (Germany) (6 June 1999) | 553,935 (Germany) (30 May 1999) | 188,486 (Netherlands) (31 December 2000) | 184,592 (Netherlands) (31 December 1999) | 1,216,178 (Spain) (20 December 2002)",,USD
1726934,53000000.0,58297830.0,"629,339 (Germany) (27 April 1998) | 159,066 (Germany) (6 April 1998) | 247,227 (Netherlands) (31 December 1998)",,USD
1727017,8400000.0,5725.0,"146,946 (Austria) (31 December 2000) | 92,642 (France) (31 December 2001) | 2,013,931 (Germany) (31 December 2000) | 115,917 (Spain) (31 December 2001)",(2000) Deutsche Columbia TriStar Filmproduktion,DEM
1727082,,,,"Copyright MCMLIX by Columbia Productions, Inc. (on print); Carlyle Productions; 1 July 1959; LP14706 (in copyright registry)",
1727237,,,,COPYRIGHT MCMXLV IN U.S.A. BY LOEW'S INCORPORATED ALL RIGHTS IN THIS MOTION PICTURE RESERVED UNDER INTERNATIONAL CONVENTIONS (on print); Loew's Incorporated; 9 July 1945; LP13444 (in copyright registry),
1727348,,717376.0,,,
1727413,100000.0,378828.0,"130,331 (Denmark) (1980) | 175,559 (Spain)",Copyright © MCMLXXI Kettledrum/Lownes Productions Ltd.,USD
1727885,,16819465.0,,TM & Copyright MCMXCIV by THE KUSHNER-LOCKE COMPANY All rights reserved (on print),
1728742,,,"9,741 (Netherlands) (31 December 1997) | 9,617 (Netherlands) (1 January 1997)",,
1728802,17000000.0,17185632.0,"116,973 (Sweden) | 1,327,597 (West Germany) (1987)",,USD
1728889,,,,Copyright MCMXLVI by Republic Pictures Corporation With All Rights Reserved,
1729026,25000000.0,13038660.0,"59,280 (Netherlands) (31 December 2001) | 58,176 (Netherlands) (31 December 2000)",,USD
1729240,,5304000.0,848 (Netherlands) (31 December 1997) | 554 (Netherlands) (1 January 1997),,
1729260,24000000.0,50236831.0,,,USD
1729569,,4821759.0,,"Turner Pictures Worldwide, Inc.",
1729579,,336789.0,"7,269 (Spain)",,
1729818,3000000.0,201747.0,"379,493 (Sweden)","Universal City Studios, Inc.",USD
1730566,35000000.0,791830.0,"301,107 (France) (24 June 1997) | 135,123 (France) (opening week)",,USD
1730640,75000000.0,39251128.0,"1,206,020 (Germany) | 194,414 (Netherlands) (31 December 2001) | 194,185 (Netherlands) (31 December 2000) | 1,547,334 (Spain) (10 August 2002)",,USD
1730836,,1310200.0,,,
1730975,4000000.0,38251425.0,"1,344,539 (France) | 200,544 (Hungary) (1980) | 1,915,584 (Spain) | 291,482 (Sweden)","© 1977 by Metro-Goldwyn-Mayer Studios, Inc.",USD
1731412,4500000.0,1025234.0,"4,010 (Netherlands) (31 December 1999)","1998 Another Day, Inc.",USD
1731505,,,,"Dougfair Corporation (original for USA), U.S. Copyright LP1451, 16 January 1952",
1731582,,20208496.0,"84,353 (Sweden)",© MCMXCIII Touchstone Pictures All Rights Reserved (on print),
1732344,,4823217.0,"897,584 (Argentina) (26 September 1996) | 10,553 (Belgium) | 544,108 (Germany) (31 December 1996)",(1995) Antonia's Line International N.V.,
1732496,60000000.0,90646554.0,"1,096,698 (Germany) (20 December 1998) | 1,036,023 (Germany) (13 December 1998) | 959,281 (Germany) (6 December 1998) | 755,210 (Germany) (22 November 1998) | 555,236 (Germany) (15 November 1998) | 253,563 (Germany) (8 November 1998) (opening week) | 122,084 (Netherlands) (31 December 1999) | 183,312 (Switzerland)",,USD
1732658,55000000.0,75530832.0,"384,331 (Germany) | 47,839 (Netherlands) (31 December 2001) | 47,808 (Netherlands) (31 December 2000)",,USD
1732858,23000000.0,18653615.0,,Twentieth Century Fox Film Corporation,USD
1733111,,170215.0,,,
1733479,31500000.0,4626290.0,"1,061,543 (Hungary) | 2,327,173 (Spain) (first release) | 320,721 (Sweden) | 3,366,675 (West Germany) (1979)",Omni Zoetrope,USD
1733566,62000000.0,1736281.0,"1,911,470 (France) (2 January 1996)","© 1995 Universal City Studios, Inc.",USD
