movieid,Gross,USD,Title,Year,Genre
2593313,"GR: USD 4,087,361 (USA)",4087361,Átame! (1990),1990,Comedy
1703410,"GR: USD 151,559 (USA) (27 May 2001)",151559,About Adam (2000),2000,Comedy
1703469,"GR: USD 38,702,310 (USA) (2 November 1986)",38702310,About Last Night... (1986),1986,Comedy
1703588,"GR: USD 16,036,534 (USA)",16036534,Above the Rim (1994),1994,Crime
1703679,"GR: USD 368,234 (USA) (20 June 1999)",368234,Abre los ojos (1997),1997,Drama
1703907,"GR: USD 50,007,168 (USA) (15 June 1997)",50007168,Absolute Power (1997),1997,Crime
1704569,"GR: USD 72,217,000 (USA)",72217000,Ace Ventura: Pet Detective (1994),1994,Comedy
1704571,"GR: USD 108,344,348 (USA)",108344348,Ace Ventura: When Nature Calls (1995),1995,Comedy
1705196,"GR: USD 15,982,846 (USA) (4 May 2003)",15982846,Across the Sea of Time (1995),1995,Adventure
1705417,"GR: USD 20,257,000 (USA)",20257000,Action Jackson (1988),1988,Action
1706079,"GR: USD 48,919,043 (USA)",48919043,Addams Family Values (1993),1993,Comedy
1706140,"GR: USD 34,656,904 (USA) (17 August 1997)",34656904,Addicted to Love (1997),1997,Comedy
1707941,"GR: USD 6,302,154 (USA) (16 May 1999)",6302154,Affliction (1997),1997,Drama
1708982,"GR: USD 2,441,642 (USA) (5 April 1998)",2441642,Afterglow (1997),1997,Comedy
1709238,"GR: USD 25,100,000 (USA)",25100000,Against All Odds (1984),1984,Action
1709892,"GR: USD 140,426 (USA) (19 March 2000)",140426,Agnes Browne (1999),1999,Comedy
1709901,"GR: USD 25,627,836 (USA) (8 December 1985)",25627836,Agnes of God (1985),1985,Drama
1710994,"GR: USD 927,107 (USA) (11 March 2001)",927107,Aimee & Jaguar (1999),1999,Drama
1711133,"GR: USD 31,053,601 (USA)",31053601,Air America (1990),1990,Action
1711143,"GR: USD 23,125,940 (USA) (7 December 1997)",23125940,Air Bud (1997),1997,Comedy
1711145,"GR: USD 10,215,386 (USA) (18 October 1998)",10215386,Air Bud: Golden Receiver (1998),1998,Comedy
1711175,"GR: USD 172,650,002 (USA) (8 February 1998)",172650002,Air Force One (1997),1997,Action
1711356,"GR: USD 5,370,000 (USA)",5370000,Airheads (1994),1994,Comedy
1711383,"GR: USD 27,150,534 (USA)",27150534,Airplane II: The Sequel (1982),1982,Comedy
1711384,"GR: USD 83,453,539 (USA) (30 June 2012)",83453539,Airplane! (1980),1980,Comedy
1711398,"GR: USD 47,285,152 (USA)",47285152,Airport 1975 (1974),1974,Action
1711393,"GR: USD 30,000,000 (USA)",30000000,Airport '77 (1977),1977,Action
1712152,"GR: USD 114,009 (USA) (2001)",114009,Akira (1988),1988,Animation
1713183,"GR: USD 217,042,825 (USA) (3 October 1993)",217042825,Aladdin (1992),1992,Adventure
1713499,"GR: USD 11,567,023 (USA) (17 November 1996)",11567023,Alaska (1996),1996,Adventure
1713755,"GR: USD 326,308 (USA) (9 February 1997)",326308,Albino Alligator (1996),1996,Crime
1714991,"GR: USD 498,106 (USA) (22 October 2000)",498106,Alice et Martin (1998),1998,Drama
1715186,"GR: USD 80,930,630 (USA) (2004)",80930630,Alien (1979),1979,Horror
1715288,"GR: USD 25,216,243 (USA)",25216243,Alien Nation (1988),1988,Crime
1715380,"GR: USD 47,748,610 (USA) (15 February 1998)",47748610,Alien: Resurrection (1997),1997,Action
1715404,"GR: USD 77,632,096 (USA) (26 October 1986)",77632096,Aliens (1986),1986,Action
1715607,"GR: USD 36,733,909 (USA)",36733909,Alive (1993),1993,Action
1716019,"GR: USD 27,100,027 (USA)",27100027,All Dogs Go to Heaven (1989),1989,Animation
1716411,"GR: USD 150,646 (USA) (18 May 1997)",150646,All Over Me (1997),1997,Drama
1716615,"GR: USD 86,229 (USA) (23 December 1979)",86229,All That Jazz (1979),1979,Drama
1717117,"GR: USD 9,268 (USA) (23 July 2000)",9268,All the Rage (1999),1999,Drama
1717144,"GR: USD 142,721 (USA)",142721,All the Vermeers in New York (1990),1990,Comedy
1718318,"GR: USD 32,522,352 (USA) (25 March 2001)",32522352,Almost Famous (2000),2000,Drama
1718342,"GR: USD 6,114,928 (USA) (12 July 1998)",6114928,Almost Heroes (1998),1998,Adventure
1720040,"GR: USD 366,401 (USA) (19 May 2002)",366401,Amadeus (1984),1984,Biography
1721568,"GR: USD 130,058,047 (USA) (4 June 2000)",130058047,American Beauty (1999),1999,Drama
1721607,"GR: USD 540,364 (USA) (6 October 1996)",540364,American Buffalo (1996),1996,Drama
1721750,"GR: USD 269,823 (USA)",269823,American Dream (1990),1990,Documentary
1721919,"GR: USD 21,300,000 (USA) (1974)",21300000,American Graffiti (1973),1973,Comedy
1721967,"GR: USD 6,712,241 (USA) (28 March 1999)",6712241,American History X (1998),1998,Crime
1722098,"GR: USD 1,160,426 (USA) (23 April 2000)",1160426,American Movie (1999),1999,Documentary
1722164,"GR: USD 101,736,215 (USA) (24 October 1999)",101736215,American Pie (1999),1999,Comedy
1722174,"GR: USD 287,724 (USA) (13 August 2000)",287724,American Pimp (1999),1999,Documentary
1722181,"GR: USD 6,000,000 (USA)",6000000,American Pop (1981),1981,Animation
1722198,"GR: USD 15,070,285 (USA) (30 July 2000)",15070285,American Psycho (2000),2000,Crime
1722761,"GR: USD 44,175,394 (USA) (5 April 1998)",44175394,Amistad (1997),1997,Drama
1722776,"GR: USD 6,333,135 (USA) (4 December 1983)",6333135,Amityville 3-D (1983),1983,Horror
1722777,"GR: USD 11,328,000 (USA) (17 October 1982)",11328000,Amityville II: The Possession (1982),1982,Drama
1723002,"GR: USD 64,359 (USA) (25 April 1999)",64359,Among Giants (1998),1998,Comedy
1724037,"GR: USD 43,904 (USA) (8 March 1998)",43904,An Alan Smithee Film: Burn Hollywood Burn (1997),1997,Comedy
1724180,"GR: USD 22,166,041 (USA)",22166041,An American Tail: Fievel Goes West (1991),1991,Adventure
1724190,"GR: USD 20,445,527 (USA) (27 September 1981)",20445527,An American Werewolf in London (1981),1981,Horror
1724193,"GR: USD 26,521,435 (USA) (29 March 1998)",26521435,An American Werewolf in Paris (1997),1997,Comedy
1724413,"GR: USD 258,195 (USA)",258195,An Awfully Big Adventure (1995),1995,Comedy
1724880,"GR: USD 18,535,191 (USA) (3 October 1999)",18535191,An Ideal Husband (1999),1999,Comedy
1725774,"GR: USD 65,557,989 (USA) (1 September 1997)",65557989,Anaconda (1997),1997,Adventure
1726761,"GR: USD 106,694,016 (USA) (18 July 1999)",106694016,Analyze This (1999),1999,Comedy
1726934,"GR: USD 58,297,830 (USA) (5 April 1998)",58297830,Anastasia (1997),1997,Adventure
1727017,"GR: USD 5,725 (USA) (10 September 2000)",5725,Anatomie (2000),2000,Horror
1727885,"GR: USD 16,819,465 (USA)",16819465,Andre (1994),1994,Adventure
1728802,"GR: USD 17,185,632 (USA)",17185632,Angel Heart (1987),1987,Horror
1729026,"GR: USD 13,038,660 (USA) (21 May 2000)",13038660,Angela's Ashes (1999),1999,Drama
1729240,"GR: USD 5,304,000 (USA)",5304000,Angels and Insects (1995),1995,Drama
1729569,"GR: USD 4,821,759 (USA)",4821759,Angus (1995),1995,Comedy
1729818,"GR: USD 201,747 (USA) (23 September 1979)",201747,Animal House (1978),1978,Comedy
1730640,"GR: USD 39,251,128 (USA) (9 April 2000)",39251128,Anna and the King (1999),1999,Comedy
1730566,"GR: USD 791,830 (USA) (1 June 1997)",791830,Anna Karenina (1997),1997,Drama
1730836,"GR: USD 1,310,200 (USA)",1310200,Anne Frank Remembered (1995),1995,Biography
1730975,"GR: USD 38,251,425 (USA) (1977)",38251425,Annie Hall (1977),1977,Comedy
1731412,"GR: USD 1,025,234 (USA) (11 April 1999)",1025234,Another Day in Paradise (1998),1998,Crime
1731582,"GR: USD 20,208,496 (USA)",20208496,Another Stakeout (1993),1993,Action
1732344,"GR: USD 4,823,217 (USA)",4823217,Antonia (1995),1995,Comedy
1732496,"GR: USD 90,646,554 (USA) (7 February 1999)",90646554,Antz (1998),1998,Adventure
1732658,"GR: USD 75,530,832 (USA) (26 March 2000)",75530832,Any Given Sunday (1999),1999,Drama
1732858,"GR: USD 18,653,615 (USA) (20 February 2000)",18653615,Anywhere But Here (1999),1999,Comedy
1733111,"GR: USD 170,215 (USA)",170215,Aparajito (1956),1956,Drama
1733479,"GR: USD 4,626,290 (USA) (15 November 2001)",4626290,Apocalypse Now (1979),1979,Drama
1733566,"GR: USD 1,736,281 (USA) (11 April 2004)",1736281,Apollo 13 (1995),1995,Drama
1734162,"GR: USD 12,543,892 (USA) (4 May 1986)",12543892,April Fool's Day (1986),1986,Comedy
1734321,"GR: USD 8,838,938 (USA) (3 January 1999)",8838938,Apt Pupil (1998),1998,Drama
1734369,"GR: USD 160,00 (USA)",16000,Apur Sansar (1959),1959,Drama
1734803,"GR: USD 53,133,888 (USA)",53133888,Arachnophobia (1990),1990,Comedy
1735791,"GR: USD 47,044 (USA) (19 January 1998)",47044,Arguing the World (1998),1998,Documentary
1736211,"GR: USD 24,362,501 (USA) (26 September 1999)",24362501,Arlington Road (1999),1999,Mystery
1736268,"GR: USD 201,573,391 (USA) (6 December 1998)",201573391,Armageddon (1998),1998,Action
1736362,"GR: USD 15,945,534 (USA)",15945534,Armed and Dangerous (1986),1986,Action
1736592,"GR: USD 11,502,976 (USA)",11502976,Army of Darkness (1992),1992,Comedy
1736794,"GR: USD 24,004,159 (USA) (12 September 2004)",24004159,Around the World in 80 Days (2004),2004,Action
1737713,"GR: USD 377,512 (USA) (7 June 1998)",377512,Artemisia (1997),1997,Biography
1737766,"GR: USD 88,595,661 (USA) (21 March 1982)",88595661,Arthur (1981),1981,Comedy
1738481,"GR: USD 147,637,474 (USA) (21 June 1998)",147637474,As Good as It Gets (1997),1997,Comedy
1740752,"GR: USD 30,306,268 (USA)",30306268,Assassins (1995),1995,Action
1741682,"GR: USD 22,326,247 (USA) (28 March 1999)",22326247,At First Sight (1999),1999,Drama
1744809,"GR: USD 53,868,030 (USA) (28 September 1997)",53868030,Austin Powers: International Man of Mystery (1997),1997,Comedy
1744811,"GR: USD 205,399,422 (USA) (12 September 1999)",205399422,Austin Powers: The Spy Who Shagged Me (1999),1999,Action
1745406,"GR: USD 37,752,931 (USA) (26 November 2000)",37752931,Autumn in New York (2000),2000,Drama
1746829,"GR: USD 209,244 (USA) (26 September 1999)",209244,Ayn Rand: A Sense of Life (1997),1997,Biography
1747382,"GR: USD 388,730 (USA) (29 December 1996)",388730,Azucar amarga (1996),1996,Drama
1747494,"GR: USD 7,240,837 (USA) (26 May 1997)",7240837,B*A*P*S (1997),1997,Comedy
1747545,"GR: USD 34,524 (USA) (19 September 1999)",34524,B. Monkey (1998),1998,Crime
1747899,"GR: USD 5,216,888 (USA)",5216888,Ba wang bie ji (1993),1993,Drama
1748196,"GR: USD 66,600,000 (USA)",66600000,Babe (1995),1995,Adventure
1748219,"GR: USD 18,318,000 (USA) (28 March 1999)",18318000,Babe: Pig in the City (1998),1998,Adventure
1748754,"GR: USD 27,141,959 (USA) (5 September 1999)",27141959,Baby Geniuses (1999),1999,Comedy
1748996,"GR: USD 14,276,095 (USA) (12 May 1985)",14276095,Baby: Secret of the Lost Legend (1985),1985,Adventure
1749222,"GR: USD 925,402 (USA) (23 May 1999)",925402,Bacheha-Ye aseman (1997),1997,Drama
1749247,"GR: USD 38,435,947 (USA) (8 October 1984)",38435947,Bachelor Party (1984),1984,Comedy
1749731,"GR: USD 197,902,294 (USA) (26 January 1986)",197902294,Back to the Future (1985),1985,Adventure
1749735,"GR: USD 118,450,002 (USA) (1990)",118450002,Back to the Future Part II (1989),1989,Adventure
1749737,"GR: USD 87,666,629 (USA)",87666629,Back to the Future Part III (1990),1990,Adventure
1749806,"GR: USD 2,392,599 (USA)",2392599,Backbeat (1994),1994,Biography
1750364,"GR: USD 65,637,842 (USA) (10 September 1995)",65637842,Bad Boys (1995),1995,Action
1750510,"GR: USD 15,240,435 (USA)",15240435,Bad Girls (1994),1994,Western
1750660,"GR: USD 1,995,334 (USA) (6 June 1993)",1995334,Bad Lieutenant (1992),1992,Crime
1750728,"GR: USD 1,055,525 (USA) (17 November 1996)",1055525,Bad Moon (1996),1996,Horror
1751059,"GR: USD 474,047 (USA)",474047,Badkonake sefid (1995),1995,Drama
1751872,"GR: USD 15,325,127 (USA) (19 November 2000)",15325127,Bait (2000),2000,Action
1753266,"GR: USD 11,268,750 (USA)",11268750,Balto (1995),1995,Adventure
1753348,"GR: USD 39,047,150 (USA) (1988)",39047150,Bambi (1942),1942,Animation
1753400,"GR: USD 2,185,266 (USA) (19 November 2000)",2185266,Bamboozled (2000),2000,Comedy
1753695,"GR: USD 4,865,912 (USA) (27 April 1986)",4865912,Band of the Hand (1986),1986,Action
1753837,"GR: USD 399,748 (USA)",399748,Bandit Queen (1994),1994,Biography
1753860,"GR: USD 24,187 (USA) (31 October 1999)",24187,Bandits (1997),1997,Drama
1754754,"GR: USD 1,250,322 (USA)",1250322,Baraka (1992),1992,Documentary
1754799,"GR: USD 3,794,000 (USA)",3794000,Barb Wire (1996),1996,Action
1754884,"GR: USD 613,285 (USA) (1977)",613285,Barbarella (1968),1968,Action
1755112,"GR: USD 7,266,973 (USA)",7266973,Barcelona (1994),1994,Comedy
1756051,"GR: USD 11,144,518 (USA) (28 June 1998)",11144518,Barney's Great Adventure (1998),1998,Adventure
1756391,"GR: USD 20,000,000 (USA) (1975)",20000000,Barry Lyndon (1975),1975,Adventure
1747649,"GR: USD 6,940,185 (USA) (30 August 1998)",6940185,BASEketball (1998),1998,Comedy
1756768,"GR: USD 117,727,000 (USA)",117727000,Basic Instinct (1992),1992,Mystery
1756902,"GR: USD 2,961,991 (USA) (24 November 1996)",2961991,Basquiat (1996),1996,Biography
1757342,"GR: USD 107,285,004 (USA) (21 September 1997)",107285004,Batman & Robin (1997),1997,Action
1757347,"GR: USD 251,188,924 (USA) (14 December 1989)",251188924,Batman (1989),1989,Action
1757367,"GR: USD 183,997,904 (USA) (5 November 1995)",183997904,Batman Forever (1995),1995,Action
1757378,"GR: USD 162,744,850 (USA) (18 October 1992)",162744850,Batman Returns (1992),1992,Action
1757423,"GR: USD 5,588,699 (USA) (6 February 1994)",5588699,Batman: Mask of the Phantasm (1993),1993,Action
1757485,"GR: USD 10,149,779 (USA) (12 December 1999)",10149779,Bats (1999),1999,Horror
1757698,"GR: USD 8,800,000 (USA)",8800000,Battle for the Planet of the Apes (1973),1973,Action
1757893,"GR: USD 21,471,685 (USA) (16 July 2000)",21471685,Battlefield Earth (2000),2000,Action
1758856,"GR: USD 45,298,656 (USA) (25 January 1998)",45298656,Bean (1997),1997,Comedy
1759448,"GR: USD 3,060,963 (USA) (22 October 2000)",3060963,Beautiful (2000),2000,Comedy
1759654,"GR: USD 261,360 (USA) (16 April 2000)",261360,Beautiful People (1999),1999,Comedy
1759685,"GR: USD 1,449,934 (USA) (12 January 1997)",1449934,Beautiful Thing (1996),1996,Comedy
1759851,"GR: USD 47,611,331 (USA) (29 April 2012)",47611331,Beauty and the Beast (1991),1991,Animation
1759983,"GR: USD 63,071,133 (USA) (13 April 1997)",63071133,Beavis and Butt-Head Do America (1996),1996,Adventure
1760586,"GR: USD 275,996 (USA) (23 July 2000)",275996,Beefcake (1998),1998,Drama
1760752,"GR: USD 73,326,666 (USA)",73326666,Beetle Juice (1988),1988,Comedy
1760876,"GR: USD 5,381,891 (USA) (23 April 1995)",5381891,Before Sunrise (1995),1995,Drama
1760978,"GR: USD 763,847 (USA)",763847,Before the Rain (1994),1994,Drama
1762174,"GR: USD 22,858,926 (USA) (7 May 2000)",22858926,Being John Malkovich (1999),1999,Comedy
1762644,"GR: USD 1,142,243 (USA) (19 October 1986)",1142243,Belizaire the Cajun (1986),1986,Drama
1762853,"GR: USD 4,037,017 (USA) (1995) (re-issue)",4037017,Belle de jour (1967),1967,Drama
1763019,"GR: USD 9,630,169 (USA) (24 January 1999)",9630169,Belly (1998),1998,Crime
1763083,"GR: USD 22,843,047 (USA) (14 March 1999)",22843047,Beloved (1998),1998,Drama
1763465,"GR: USD 70,000,000 (USA)",70000000,Ben-Hur (1959),1959,Action
1763877,"GR: USD 39,552,600 (USA)",39552600,Benji (1974),1974,Adventure
1763910,"GR: USD 23,202,734 (USA)",23202734,Benny & Joon (1993),1993,Comedy
1763974,"GR: USD 372,341 (USA) (28 December 1997)",372341,Bent (1997),1997,Drama
1764861,"GR: USD 2,032,621 (USA) (1 August 1999)",2032621,Besieged (1998),1998,Drama
1765164,"GR: USD 18,621,249 (USA) (29 April 2001)",18621249,Best in Show (2000),2000,Comedy
1765082,"GR: USD 25,651 (USA) (19 September 1999)",25651,Best Laid Plans (1999),1999,Crime
1765652,"GR: USD 25,816,139 (USA)",25816139,Betrayed (1988),1988,Action
1765789,"GR: USD 81,000 (USA) (16 July 2000)",81000,Better Living Through Circuitry (1999),1999,Documentary
1765811,"GR: USD 10,297,601 (USA) (24 November 1985)",10297601,Better Off Dead... (1985),1985,Comedy
1765827,"GR: USD 2,011,254 (USA) (7 November 1999)",2011254,Better Than Chocolate (1999),1999,Comedy
1766407,"GR: USD 42,610,000 (USA)",42610000,Beverly Hills Cop III (1994),1994,Action
1766427,"GR: USD 31,235,710 (USA) (15 June 1997)",31235710,Beverly Hills Ninja (1997),1997,Action
1766849,"GR: USD 5,750,110 (USA)",5750110,Beyond Rangoon (1995),1995,Action
1767110,"GR: USD 2,047,570 (USA) (14 May 2000)",2047570,Beyond the Mat (1999),1999,Biography
1767537,"GR: USD 735,192 (USA)",735192,Bhaji on the Beach (1993),1993,Comedy
1768211,"GR: USD 1,104,619 (USA) (27 February 2000)",1104619,Bian Lian (1997),1997,Drama
1768389,"GR: USD 58,220,776 (USA) (28 May 2000)",58220776,Bicentennial Man (1999),1999,Drama
1768698,"GR: USD 114,968,774 (USA)",114968774,Big (1988),1988,Comedy
1769408,"GR: USD 163,479,795 (USA) (31 October 1999)",163479795,Big Daddy (1999),1999,Comedy
1769766,"GR: USD 117,559,438 (USA) (19 November 2000)",117559438,Big Momma's House (2000),2000,Action
1769840,"GR: USD 11,881,039 (USA) (17 February 1997)",11881039,Big Night (1996),1996,Drama
1770285,"GR: USD 11,100,000 (USA)",11100000,Big Trouble in Little China (1986),1986,Action
1771528,"GR: USD 25,588,750 (USA)",25588750,Billy Madison (1995),1995,Comedy
1771673,"GR: USD 2,020,700 (USA) (20 September 1998)",2020700,Billy's Hollywood Screen Kiss (1998),1998,Comedy
1772092,"GR: USD 13,427,615 (USA) (22 March 1996)",13427615,Bio-Dome (1996),1996,Comedy
1772500,"GR: USD 70,980,000 (USA)",70980000,Bird on a Wire (1990),1990,Comedy
1772651,"GR: USD 454,463 (USA) (24 February 1985)",454463,Birdy (1984),1984,Drama
1772934,"GR: USD 752,856 (USA)",752856,Bis ans Ende der Welt (1991),1991,Drama
1773358,"GR: USD 1,862,805 (USA)",1862805,Bitter Moon (1992),1992,Drama
1773436,"GR: USD 380,927 (USA) (10 December 2000)",380927,Bittersweet Motel (2000),2000,Documentary
1773944,"GR: USD 4,630,377 (USA)",4630377,Black Beauty (1994),1994,Adventure
1774349,"GR: USD 12,829,351 (USA) (5 July 1998)",12829351,Black Dog (1998),1998,Action
1776052,"GR: USD 70,001,065 (USA) (20 December 1998)",70001065,Blade (1998),1998,Action
1776063,"GR: USD 32,868,943 (USA) (27 July 2012)",32868943,Blade Runner (1982),1982,Drama
1776173,"GR: USD 18,561,998 (USA) (15 April 1984)",18561998,Blame It on Rio (1984),1984,Comedy
1776407,"GR: USD 26,494,611 (USA) (16 May 1999)",26494611,Blast from the Past (1999),1999,Comedy
1776732,"GR: USD 29,374,178 (USA) (5 November 2000)",29374178,Bless the Child (2000),2000,Crime
1776893,"GR: USD 39,321,715 (USA)",39321715,Blind Date (1987),1987,Comedy
1777297,"GR: USD 16,696,219 (USA)",16696219,Blink (1994),1994,Crime
1777374,"GR: USD 207,751 (USA) (29 June 1997)",207751,Bliss (1997),1997,Drama
1778411,"GR: USD 1,075,288 (USA) (30 March 1997)",1075288,Blood and Wine (1996),1996,Crime
1778258,"GR: USD 1,690,913 (USA) (22 October 2000)",1690913,Blood Simple. (1984),1984,Crime
1778536,"GR: USD 13,674 (USA) (18 April 1999)",13674,"Blood, Guts, Bullets and Octane (1998)",1998,Action
1778697,"GR: USD 11,806,119 (USA)",11806119,Bloodsport (1988),1988,Action
1779176,"GR: USD 30,155,037 (USA)",30155037,Blown Away (1994),1994,Action
1779757,"GR: USD 68,518,533 (USA) (13 February 2000)",68518533,Blue Streak (1999),1999,Action
1779835,"GR: USD 7,200,346 (USA) (23 November 1987)",7200346,Blue Velvet (1986),1986,Crime
1780022,"GR: USD 13,979,599 (USA) (22 March 1998)",13979599,Blues Brothers 2000 (1998),1998,Action
1781241,"GR: USD 24,058,838 (USA) (31 December 1981)",24058838,Body Heat (1981),1981,Crime
1781295,"GR: USD 239,894 (USA) (9 January 2000)",239894,Body Shots (1999),1999,Drama
1781518,"GR: USD 4,340,826 (USA) (20 October 1996)",4340826,Bogus (1996),1996,Comedy
1781597,"GR: USD 16,938,179 (USA) (4 July 2000)",16938179,Boiler Room (2000),2000,Crime
1783029,"GR: USD 50,700,000 (USA) (January 1973)",50700000,Bonnie and Clyde (1967),1967,Biography
1783282,"GR: USD 26,384,919 (USA) (12 April 1998)",26384919,Boogie Nights (1997),1997,Drama
