movieid,title,year,genres,Currency,Budget,Gross_Revenue,Additional_Data,Copyright
2509481,Top Hat (1935),1935,"Comedy, Musical, Romance",USD,"609,000.00","1,782,000.00",,"COPYRIGHT MCMXXXV - RKO RADIO PICTURES,INC.- ALL RIGHTS RESERVED (on print); RKO Radio Pictures, Inc.; 29 August 1935; LP5812 (in copyright registry)"
2179939,Modern Times (1936),1936,"Comedy, Drama",USD,"1,500,000.00","163,245.00",,Charles Chaplin; 5 February 1936; LP6124 (in copyright registry)
2357543,Snow White and the Seven Dwarfs (1937),1937,"Animation, Family, Fantasy, Musical, Romance",USD,"2,000,000.00","41,634,000.00","1,870,500 (Argentina)","RKO Radio Pictures, Inc.; 21 December 1937; LP7689 (in copyright registry)"
1789269,Bringing Up Baby (1938),1938,"Comedy, Romance",USD,"1,073,000.00","10,863.00",,"Copyright MCMXXXVIII . . .RKO Radio Pictures, Inc. (on print); RKO Radio Pictures, Inc.; 18 February 1938; LP7859 (in copyright registry)"
2211751,Ninotchka (1939),1939,"Comedy, Romance",USD,"1,365,000.00","1,187,000.00",,Copyright MCMXXXIX in U.S.A. by Loew's Incorporated (on print); © Loew's Incorporated; U.S. Copyright LP9158; 2 October 1939 (in copyright registry)
1972884,Gone with the Wind (1939),1939,"Drama, Romance, War",USD,"3,977,000.00","198,655,278.00",,"Copyright MCMXXXIX by Selznick International Pictures, Inc. (on print); Selznick International Pictures, Inc.; 31 December 1939; LP9390 (in copyright registry)"
2493444,The Wizard of Oz (1939),1939,"Adventure, Family, Fantasy, Musical",USD,"2,777,000.00","14,792,232.00",,"1989 Turner Entertainment, Co."
2438541,The Great Dictator (1940),1940,"Comedy, Drama, War",USD,"2,000,000.00","395,872.00",,Charles Chaplin Film Corporation; 31 October 1940; LP10041 (in copyright registry)
2293500,Rebecca (1940),1940,"Drama, Mystery, Thriller",USD,"1,288,000.00","26,957.00",,"Copyright MCMXL by Selznick International Pictures, Inc. (on print); Selznick International Pictures, Inc.; 16 April 1940; LP9550 (in copyright registry)"
2261598,Pinocchio (1940),1940,"Adventure, Animation, Drama, Family, Fantasy, Music",USD,"2,600,000.00","18,863,559.00",,Walt Disney Productions; 3 January 1940; LP9415 (in copyright registry)
1930793,Fantasia (1940),1940,"Animation, Family, Fantasy, Music",USD,"2,280,000.00","25,363,371.00",,Walt Disney Productions
1821599,Citizen Kane (1941),1941,"Drama, Mystery",USD,"686,033.00","1,140,769.00","634,665 (Spain)","© RKO Radio Pictures, Inc.; 1 May 1941; LP10457 (in copyright registry)"
2011220,How Green Was My Valley (1941),1941,"Drama, Family",USD,"1,250,000.00","6,000,000.00",,Copyright MCMXLI by Twentieth Century-Fox Film Corporation (on print); Twentieth Century-Fox Film Corporation; 26 December 1941; LP11257 (in copyright registry)
1805799,Casablanca (1942),1942,"Drama, Romance, War",USD,"950,000.00","1,661,267.00","1,240,658 (Argentina) | 1,023,029 (Spain)",Turner Entertainment Co.(renewal)
2165666,Meet Me in St. Louis (1944),1944,"Family, Musical, Romance",USD,"1,707,561.00","7,566,000.00",,Copyright MCMXLIV in U.S.A. by Loew's Incorporated (on print); Loew's Incorporated; 2 November 1944; LP12965 (in copyright registry)
2366649,Spellbound (1945),1945,"Film-Noir, Mystery, Romance, Thriller",USD,"1,696,377.00","7,000,000.00",,"Vanguard Films, Inc.; 28 December 1945; LP13711 (in copyright registry)"
2217782,Notorious (1946),1946,"Drama, Romance, Thriller",USD,"2,000,000.00","8,000,000.00",,"Copyright MCMXLVI R K O Radio Pictures, Inc. All Rights Reserved (on print); RKO Radio Pictures, Inc.; 15 August 1946; LP557 (in copyright registry)"
2043588,It's a Wonderful Life (1946),1946,"Drama, Family, Fantasy",USD,"3,180,000.00","682,222.00",,"copyright MCMXLVII Liberty Films, Inc. (on print)"
1838850,Crossfire (1947),1947,"Crime, Drama, Film-Noir, Mystery",USD,"250,000.00","1,300,000.00",,"RKO Radio Pictures, Inc. (original), U.S. Copyright LP1194, 22 July 1947"
2182564,Monsieur Verdoux (1947),1947,"Comedy, Crime, Drama",USD,"2,000,000.00","64,636.00",,"Copyright MCMXLVII by The Chaplin Studio, Inc. (on print); Chaplin Studios, Inc.; 24 October 1947; LP1256 (in copyright registry)"
1972108,Golden Earrings (1947),1947,"Adventure, Romance",USD,"1,000,000.00","7,000,000.00",,copyright MCMXLVII Paramount Pictures Inc.
1820400,Cinderella (1950),1950,"Animation, Family, Fantasy, Musical, Romance",USD,"2,900,000.00","34,101,149.00",,Walt Disney Productions; 4 November 1949; LP2819 (in copyright registry)
2383252,Sunset Blvd. (1950),1950,"Drama, Film-Noir",USD,"1,752,000.00","5,000,000.00",,Paramount Pictures Corporation; 4 August 1950; LP260 (in copyright registry)
1697037,A Streetcar Named Desire (1951),1951,Drama,USD,"1,800,000.00","8,000,000.00",,Copyright MCMLI Charles K. Feldman Group Productions (on print); Charles K. Feldman Group Productions; 15 October 1951; LP1240 (in copyright registry)
2377282,Strangers on a Train (1951),1951,"Crime, Film-Noir, Thriller",USD,"1,200,000.00","23,764.00",,"Copyright MCMLI by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc.; 2 June 1951; LP988 (in copyright registry)"
1724201,An American in Paris (1951),1951,"Musical, Romance",USD,"2,723,903.00","4,500,000.00",,Loew's Incorporated; 5 September 1951; LP1161 (in copyright registry)
2439154,The Greatest Show on Earth (1952),1952,"Drama, Family, Romance",USD,"4,000,000.00","14,000,000.00",,Copyright MCMLII Paramount Pictures Corporation (on print)
1999210,High Noon (1952),1952,"Drama, Western",USD,"750,000.00","3,750,000.00",,"Stanley Kramer Productions, Inc.; 30 August 1952; LP1846 (in copyright registry)"
2257265,Peter Pan (1953),1953,"Adventure, Animation, Family, Fantasy, Music",USD,"4,000,000.00","29,445,131.00",,©1952 Walt Disney Productions
2370704,Stalag 17 (1953),1953,"Comedy, Drama, War",USD,"1,661,530.00","10,000,000.00",,Copyright MCMLII by Paramount Pictures Corporation (on print); Paramount Pictures Corporation; 1 July 1953; LP2895 (in copyright registry)
2308229,Roman Holiday (1953),1953,"Comedy, Drama, Romance",USD,"1,500,000.00","5,000,000.00",,Paramount Pictures Corporation; 2 September 1953; LP2890 (in copyright registry)
1952923,From Here to Eternity (1953),1953,"Drama, Romance, War",USD,"1,650,000.00","30,500,000.00",,Columbia Pictures Corporation; 1 September 1953; LP2899 (in copyright registry)
2339347,Shane (1953),1953,"Drama, Western",USD,"3,100,000.00","20,000,000.00",,Copyright MCMLIII by Paramount Pictures Corporation (on print); Paramount Pictures Corporation; 27 May 1953; LP2892 (in copyright registry)
1871833,Dial M for Murder (1954),1954,"Crime, Mystery, Thriller",USD,"1,400,000.00","12,562.00",,"Warner Bros. Pictures, Inc.; 29 May 1954; LP4758 (in copyright registry)"
2230917,On the Waterfront (1954),1954,"Crime, Drama",USD,"910,000.00","9,600,000.00",,copyright MCMLIV Columbia Pictures Corporation (on print); Columbia Pictures Corporation; 29 July 1954; LP3901 (in copyright registry)
2293416,Rear Window (1954),1954,"Mystery, Thriller",USD,"1,000,000.00","1,559,601.00","528,076 (Spain)",Copyright 2001 Universal Studios (DVD)
2316046,Sabrina (1954),1954,"Comedy, Drama, Romance",USD,"2,238,813.00","10,000,000.00",,Copyright 1954 by Paramount Pictures
2071566,Killer's Kiss (1955),1955,"Crime, Drama, Film-Noir, Thriller",USD,"75,000.00","57,944.00","29,714 (Spain)","© MCMIV Minotaur Productions, Inc - Released through United Artists"
2103866,Lady and the Tramp (1955),1955,"Adventure, Animation, Comedy, Romance",USD,"4,000,000.00","93,600,000.00","413,813 (Germany) (11 August 1997) (re-release) | 388,394 (Germany) (4 August 1997) (re-release) | 332,397 (Germany) (28 July 1997) (re-release) | 258,346 (Germany) (21 July 1997) (re-release) | 160,238 (Germany) (14 July 1997) (re-release) | 104,807 (Germany) (7 July 1997) (re-release) | 23,659 (Portugal) (17 July 1997) (re-release) | 18,132 (Portugal) (10 July 1997) (re-release) | 10,556 (Portugal) (3 July 1997) (re-release) (opening week)",Walt Disney Productions; 28 February 1955; LP4675 (in copyright registry)
2505066,To Catch a Thief (1955),1955,"Crime, Mystery, Romance, Thriller",USD,"2,500,000.00","8,750,000.00",,Copyright MCMLIV by Paramount Pictures Corporation (on print)
1981170,Guys and Dolls (1955),1955,"Comedy, Musical, Romance",USD,"5,500,000.00","390,000.00",,"Copyright © MCMLV by Samuel Goldwyn Productions, Inc. (on print)"
2456021,The Man Who Knew Too Much (1956),1956,Thriller,USD,"2,500,000.00","10,250,000.00",,"Copyright © 1955 by Filwite Productions, Inc. All Rights Reserved (on print); Filwite Productions, Inc.; 16 May 1956; LP6469 (in copyright registry)"
1946327,Forbidden Planet (1956),1956,"Action, Adventure, Sci-Fi",USD,"1,900,000.00","3,250,000.00",,copyright © MCMLVI in U.S.A. by Loew's Incorporated (on print); Loew's Incorporated; 27 February 1956; LP6177 (in copyright registry)
2447022,The Killing (1956),1956,"Crime, Film-Noir, Thriller",USD,"320,000.00","269,337.00","125,678 (Spain)",© MCMLVI Harris-Kubrick Pictures Corporation
1965850,Giant (1956),1956,"Drama, Romance, Western",USD,"5,400,000.00","169,928.00",,©Copyright MCMLVI by Giant Productions (on print); Giant Productions; 24 November 1956; LP9719 (in copyright registry)
1921463,Et Dieu... créa la femme (1956),1956,"Drama, Romance",USD,"300,000.00","4,000,000.00",,Raoul Levy
2476233,The Searchers (1956),1956,Western,USD,"3,750,000.00","37,500,000.00",,"© MCMLVI by C.V. Whitney Pictures, Inc. (on print); C.V. Whitney Pictures, Inc.; 26 May 1956; LP8335 (in copyright registry)"
2141230,Love in the Afternoon (1957),1957,"Comedy, Drama, Romance",USD,"2,100,000.00","5,000,000.00",,©1957 Allied Artists Pictures Corporation
2251241,Paths of Glory (1957),1957,"Drama, War",USD,"935,000.00","899,327.00","464,841 (Spain) (31 December 2001)",© Copyright MCMLVII Harris-Kubrick Pictures Corporation (on print); Harris-Kubrick Pictures Corporation; 20 December 1957; LP10329 (in copyright registry)
2415964,The Bridge on the River Kwai (1957),1957,"Adventure, Drama, War",USD,"3,000,000.00","33,300,000.00","13,481,000 (France)",Horizon Pictures (G.B.) Ltd.; 4 October 1957; LP10231 (in copyright registry)
1744391,Auntie Mame (1958),1958,"Comedy, Drama",USD,"2,240,000.00","23,300,000.00",,"Copyright MCMLVIII by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 ; Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 (in copyright registry)"
1806896,Cat on a Hot Tin Roof (1958),1958,Drama,USD,"3,000,000.00","17,570,324.00",,"Copyright 1958 Loew's Inc. and Avon Productions, Inc. (on print); Loew's Inc. & Avon Productions, Inc.; 12 August 1958; LP11871 (in copyright registry)"
2433612,The Fly (1958),1958,"Horror, Sci-Fi",USD,"700,000.00","3,000,000.00",,Twentieth Century-Fox Film Corporation
2511131,Touch of Evil (1958),1958,"Crime, Film-Noir, Thriller",USD,"829,000.00","2,237,659.00",,Copyright MCMLVIII by Universal Pictures Company Inc. (on print); Universal Pictures Company Inc.; 15 March 1958; LP10314 (in copyright registry)
2364486,South Pacific (1958),1958,"Musical, Romance, War",USD,"6,000,000.00","36,800,000.00",,"Copyright © MCMLVIII by South Pacific Enterprises, Inc. (on print); South Pacific Enterprises, Inc.; 19 March 1958; LP13570 (in copyright registry)"
2544531,Vertigo (1958),1958,"Mystery, Romance, Thriller",USD,"2,479,000.00","15,000,000.00",,"Alfred J. Hitchcock Productions, Inc. and Paramount Pictures Corporation (original); 9 May 1958; LP10837 (in copyright registry)"
2446984,The Killer Shrews (1959),1959,"Horror, Sci-Fi",USD,"123,000.00","1,000,000.00",,
2354271,Sleeping Beauty (1959),1959,"Animation, Family, Fantasy, Musical, Romance",USD,"6,000,000.00","10,161.00",,Walt Disney Productions; 30 December 1958; LP13782 (in copyright registry)
2360675,Some Like It Hot (1959),1959,Comedy,USD,"2,883,848.00","25,000,000.00",,"© Copyright MCMLIX by Ashton Productions, Inc. (on print); Ashton Productions, Inc.; 18 March 1959; LP13838 (in copyright registry)"
1763465,Ben-Hur (1959),1959,"Action, Adventure, Drama, History, Romance",USD,"15,900,000.00","70,000,000.00",,Loew's Incorporated; 18 November 1959; LP15874 (in copyright registry)
2216316,North by Northwest (1959),1959,"Action, Adventure, Crime, Mystery, Thriller",USD,"3,101,000.00","13,275,000.00",,© MCMLIX by Loew's Incorporated (on print); Loew's Incorporated; 30 June 1959; LP13942 (in copyright registry)
2365844,Spartacus (1960),1960,"Adventure, Biography, Drama, History",USD,"12,000,000.00","1,830,650.00","3,525,328 (France) | 2,052,343 (Spain) (31 December 2001)","Copyright 1960 Universal Pictures Company, Inc. & Bryna Productions, Inc. (on print); Universal Pictures Company, Inc. & Bryna Productions, Inc.; 6 October 1960; LP24917 (in copyright registry)"
2280097,Psycho (1960),1960,"Horror, Mystery, Thriller",USD,"806,947.00","32,000,000.00","724,160 (Spain)","Copyright 1960 Shamley Productions, Inc. Renewed 1988 by Universal City Studios, Inc."
2408078,The Apartment (1960),1960,"Comedy, Drama, Romance",USD,"3,000,000.00","18,600,000.00",,"Copyright MCMLX by The Mirisch Company, Inc. (on print); The Mirisch Company, Inc.; 15 June 1960; LP16970 (in copyright registry)"
2439860,The Guns of Navarone (1961),1961,"Action, Adventure, Drama, War",USD,"6,000,000.00","28,900,000.00","10,198,000 (France)",MCMLXI Open Road Films Limited
2561516,West Side Story (1961),1961,"Crime, Drama, Musical, Romance",USD,"6,000,000.00","43,656,822.00","429,185 (Argentina) | 65,095 (France) (25 June 1970)",Beta Productions; 18 October 1961; LP21934 (in copyright registry)
2262428,Pit and the Pendulum (1961),1961,Horror,USD,"200,000.00","2,000,000.00",,
1779474,Blue Hawaii (1961),1961,"Comedy, Musical",USD,"2,000,000.00","10,440,453.00",,"Copyright © 1961 by Hal B. Wallis and Joseph H. Hazen. Renewed by Viacom International, Inc."
1787511,Breakfast at Tiffany's (1961),1961,"Comedy, Drama, Romance",USD,"2,500,000.00","8,000,000.00",,Copyright © 1961 by Paramount Pictures Corporation and Jurow-Shepherd Productions (on print); Jurow-Shepherd Productions; 5 October 1961; LP20389 (in copyright registry)
2505263,To Kill a Mockingbird (1962),1962,"Crime, Drama, Mystery",USD,"2,000,000.00","13,129,846.00",,"© MCMLXII by Pakula-Mulligan Productions, Inc. & Brentwood Productions, Inc. (on print); Pakula-Mulligan Productions, Inc., Brentwood Productions, Inc.; 16 March 1963; LP35477 (in copyright registry)"
1890357,Dr. No (1962),1962,"Action, Adventure, Crime, Thriller",USD,"1,100,000.00","16,067,035.00","19,000,000 (USA)",'Dr. NO' COPYRIGHT © 1962 BY EON PRODUCTIONS LIMITED-ALL RIGHTS RESERVED
2134055,Lolita (1962),1962,"Drama, Romance",USD,"2,000,000.00","27,958.00","440,353 (Spain) (20 December 2002)",Copyright © MCMLXI by A.A. Productions Ltd. All Rights Reserved (on print)
2562422,What Ever Happened to Baby Jane? (1962),1962,"Drama, Horror, Thriller",USD,"980,000.00","9,000,000.00",,"Copyright 1962 The Associates & Aldrich Company, Inc."
2452768,The Longest Day (1962),1962,"Action, Drama, History, War",USD,"10,000,000.00","50,000,000.00","11,906,000 (France)","Copyright © MCMLXII by Darryl F. Zanuck Productions,Inc. & Twentieth Century Fox Film Corp."
2109093,Lawrence of Arabia (1962),1962,"Adventure, Biography, Drama, History, War",USD,"15,000,000.00","342,481.00",,Horizon Pictures (G.B.) Limited; 19 December 1962; LP25769 (in copyright registry)
1778025,Blood Feast (1963),1963,Horror,USD,"24,500.00","4,000,000.00",,"Box Office Spectaculars, Inc. (1963)"
2113512,Le mépris (1963),1963,Drama,USD,"900,000.00","153,141.00","1,597,000 (France) | 5,841 (Germany) (2002)",© 1963 StudioCanal Image/Compagnia Cinematographica Champion S.P.A.
1811626,Charade (1963),1963,"Comedy, Mystery, Romance, Thriller",USD,"4,000,000.00","59,420.00","410,075 (Spain)","MCMLXIII by Universal Pictures Company, Inc. and Stanley Donen Films, Inc. All Rights Reserved"
2507690,Tom Jones (1963),1963,"Adventure, Comedy, Romance",USD,"1,000,000.00","37,600,000.00",,Copyright 1963 Woodfall Films Productions
1953106,From Russia with Love (1963),1963,"Action, Adventure, Crime, Thriller",USD,"2,000,000.00","24,796,765.00","26,800,000 (USA) | 1,600,000 (Sweden)",© 1963 Danjaq S.A. (on print)
2413168,The Birds (1963),1963,"Horror, Thriller",USD,"2,500,000.00","11,403,529.00",,Alfred J. Hitchcock Productions; 21 April 1963; LP35397 (in copyright registry)
2013180,Hud (1963),1963,Drama,USD,"2,500,000.00","16,446.00","114,557 (Spain) (1963)","COPYRIGHT © 1962 BY PARAMOUNT PICTURES CORPORATION SALEM PRODUCTIONS,INC. and DOVER PRODUCTIONS,INC. ALL RIGHTS RESERVED (on print); Salem Productions - Doyle Productions; 31 December 1962; LP25023 (in copyright registry)"
2040689,Irma la Douce (1963),1963,"Comedy, Romance",USD,"5,000,000.00","20,000,000.00",,"Copyright 1963 Metro-Goldwyn-Mayer Studios, Inc."
1689475,A Hard Day's Night (1964),1964,"Comedy, Musical",USD,"560,000.00","1,000,549.00","680,000 (Sweden)",Proscenium Films; 6 July 1964; LP28626 (in copyright registry)
2193264,My Fair Lady (1964),1964,"Drama, Musical, Romance",USD,"17,000,000.00","72,000,000.00","811,000 (Sweden)",Warner Bros. Pictures Inc.; 23 April 1964; LP33509 (in copyright registry)
2255064,Per un pugno di dollari (1964),1964,Western,USD,"200,000.00","3,500,000.00","3,281,146 (Spain) | 629,527 (West Germany) (1980)",© COPYRIGHT MCMLXIV JOLLY FILM S.R.L.
1972324,Goldfinger (1964),1964,"Action, Adventure, Crime, Thriller",USD,"3,000,000.00","51,081,062.00","50,600,000 (USA) | 2,300,000 (Sweden)",© COPYRIGHT 1964 DANJAQ S.A. ALL RIGHTS RESERVED
2160428,Mary Poppins (1964),1964,"Comedy, Family, Fantasy, Musical",USD,"6,000,000.00","9,396,754.00","4,317,618 (France) (1965) | 630,000 (Sweden)",© Copyright MCMLXIV Walt Disney Productions (on print); Walt Disney Productions; 18 August 1964; LP28936 (in copyright registry)
2159258,Marnie (1964),1964,"Drama, Mystery, Romance, Thriller",USD,"3,000,000.00","7,000,000.00",,"Copyright © MCMLXIV by Geoffrey Stanley Inc. All Rights Reserved (on print); Geoffrey Stanley, Inc.; 22 July 1964; LP29190 (in copyright registry)"
1890437,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,"Comedy, Sci-Fi, War",USD,"1,800,000.00","9,440,272.00","681,103 (Spain) (20 December 2002) | 679,721 (Spain) (31 December 2001)",Copyright (c) MCMLXIII Hawk Films Ltd. All Rights Reserved. (on print)
2255035,Per qualche dollaro in più (1965),1965,Western,USD,"600,000.00","15,000,000.00","5,520,971 (Spain)",©COPYRIGHT 1965 BY SERGIO LEONE AND FULVIO MORSELLA ALL RIGHTS RESERVED
2480294,The Sound of Music (1965),1965,"Biography, Drama, Family, Musical, Romance",USD,"8,200,000.00","657,168.00","3,650,700 (Argentina) | 1,884,738 (Sweden) (8 December 1967) | 3,400,000 (Sweden)","Copyright © MCMLXV by Argyle Enterprises, Inc., Twentieth Century-Fox Film Corporation; 2 March 1959; LP30289"
2438827,The Great Race (1965),1965,"Action, Adventure, Comedy, Family, Musical, Romance, Sport",USD,"12,000,000.00","25,333,333.00",,"© Copyright MCMLXV by Warner Bros. Pictures, Inc. and Patricia-Jalem-Reynard Company"
2475387,The Sandpiper (1965),1965,Drama,USD,"5,300,000.00","14,000,000.00","364,070 (France) (1965) | 522,721 (Spain)","© MCMLXV BY METRO-GOLDWYN-MAYER. INC. AND VENICE PRODUCTION, INC. (on print)"
1883660,Doctor Zhivago (1965),1965,"Drama, Romance, War",USD,"11,000,000.00","111,721,910.00","6,083,616 (Spain) | 1,800,000 (Sweden)","Metro-Goldwyn-Mayer, Inc.; 31 December 1965: LP33315 (in copyright registry)"
2500886,Thunderball (1965),1965,"Action, Adventure, Crime, Thriller",USD,"9,000,000.00","63,595,658.00","58,100,000 (USA) | 1,800,000 (Sweden)",©1965 Danjaq S.A.
1994580,Help! (1965),1965,"Adventure, Comedy, Musical",USD,"1,500,000.00","4,831,000.00","561,000 (Sweden)",Copyright MCMLXV Walter Shenson Films Ltd. - Subafilms Ltd. All rights reserved (on print); Walter Shenson Films; 30 July 1965; LP31863 (in copyright registry)
1691642,A Man for All Seasons (1966),1966,"Biography, Drama, History",USD,"2,000,000.00","28,350,000.00",,"Copyright 1966, renewed 1994 Highland Films, Ltd."
2567890,Who's Afraid of Virginia Woolf? (1966),1966,Drama,USD,"7,500,000.00","28,000,000.00",,"© Copyright MCMLXVI by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc. - Chenault Productions; 2 July 1966; LP33596 (in copyright registry)"
2235600,Operazione paura (1966),1966,"Horror, Mystery",USD,"50,000.00","201,000,000.00",,
1779201,Blowup (1966),1966,"Drama, Mystery, Thriller",USD,"1,800,000.00","20,000,000.00",,Copyright 1966 Turner Entertainment Company
2024833,"Il buono, il brutto, il cattivo. (1966)",1966,"Adventure, Western",USD,"1,200,000.00","25,100,000.00",,2003 Restoration and Remastering © 2003 Metro-Goldwyn-Mayer Studios Inc. All Rights Reserved.
2469496,The Producers (1967),1967,Comedy,USD,"941,000.00","111,866.00",,"""Copyright MCMLXVIII by Embassy Pictures Corp., All Rights Reserved"" (on print)"
2505515,"To Sir, with Love (1967)",1967,Drama,USD,"640,000.00","42,432,803.00",,Copyright © MCMLXVI Columbia (British) Productions Limited All Rights Reserved
1883527,Doctor Dolittle (1967),1967,"Adventure, Comedy, Family, Fantasy, Musical, Romance",USD,"18,000,000.00","9,000,000.00",,
1979447,Guess Who's Coming to Dinner (1967),1967,Drama,USD,"4,000,000.00","56,700,000.00",,Columbia Pictures Corporation; 31 December 1967; LP35733 (in copyright registry)
1783029,Bonnie and Clyde (1967),1967,"Biography, Crime, Drama",USD,"2,500,000.00","50,700,000.00","986,000 (Sweden)","© Copyright MCMLXVII by Warner Bros.-Seven Arts, Inc. and Tatira-Hiller Productions All Rights Reserved"
2438147,The Graduate (1967),1967,"Comedy, Drama, Romance",USD,"3,000,000.00","43,153.00","763,000 (Sweden)","© Embassy Pictures Corporation & Lawrence Turman, Inc.; 20 December 1967; LP40200 (in copyright registry)"
2484054,The Taming of the Shrew (1967),1967,"Comedy, Drama, Romance",USD,"4,000,000.00","8,000,000.00",,"Copyright 1967 Columbia Pictures Industries, Inc."
2228754,Oliver! (1968),1968,"Crime, Drama, Family, Musical",USD,"10,000,000.00","16,800,000.00",,Copyright © MCMLXXVIII by Warwick Film Productions Limited (on print); Warwick Film Productions Limited; 1 December 1968; LP36464 (in copyright registry)
1754884,Barbarella (1968),1968,"Action, Adventure, Comedy, Fantasy, Sci-Fi",USD,"9,000,000.00","613,285.00",,
1677631,2001: A Space Odyssey (1968),1968,"Adventure, Mystery, Sci-Fi",USD,"10,500,000.00","239,621.00","2,911,076 (Spain) (20 December 20002)",Metro-Goldwyn-Mayer Inc.; 3 April 1968; LP36136 (in copyright registry)
2263331,Planet of the Apes (1968),1968,"Adventure, Mystery, Sci-Fi",USD,"5,800,000.00","32,600,000.00",,"Copyright © MCMLXVII APJAC Productions, Inc. and Twentieth Century-Fox Film Corporation"
2210196,Night of the Living Dead (1968),1968,Horror,USD,"114,000.00","12,000,000.00",,Public domain (16mm print)
2310119,Rosemary's Baby (1968),1968,"Drama, Horror, Mystery",USD,"2,300,000.00","33,395,426.00","1,229,871 (Spain)",Paramount Pictures Corporation and William Castle Enterprises Inc. (1968)
1797365,C'era una volta il West (1968),1968,"Adventure, Western",USD,"5,000,000.00","5,321,508.00","14,911,000 (France)",Copyright 1968 by Paramount Pictures Corporation (on print); Rafran Cinematografica; 20 December 1968; LF34 (in copyright registry)
2172808,Midnight Cowboy (1969),1969,Drama,USD,"3,600,000.00","44,785,053.00",,Jerome Hellman Productions Inc.; 26 May 1969; LP37236 (in copyright registry)
2229656,On Her Majesty's Secret Service (1969),1969,"Action, Adventure, Crime, Romance, Thriller",USD,"7,000,000.00","22,774,493.00","764,000 (Sweden)",ON HER MAJESTY'S SECRET SERVICE Copyright © 1969 Danjaq S.A.
1898814,Easy Rider (1969),1969,Drama,USD,"400,000.00","41,728,598.00","358,455 (Hungary) (1980)","Raybert Productions, Inc."
1795698,Butch Cassidy and the Sundance Kid (1969),1969,"Adventure, Biography, Crime, Western",USD,"6,000,000.00","96,700,000.00",,Copyright 1969 Campanile Productions Inc. and Twentieth Century Fox Film Corporation. Renewed 1997 Campanile Productions Inc. and Twentieth Century Fox Film Corporation.
2492725,The Wild Bunch (1969),1969,Western,USD,"6,244,087.00","638,641.00",,"Warner Bros. -Seven Arts, Inc."
2025172,Il conformista (1970),1970,Drama,USD,"750,000.00","13,345.00","324,658 (Spain) (31 August 2002)","copyright © 1970 . Mars Film Produzione, S.p.A. , Roma"
2145942,MASH (1970),1970,"Comedy, Drama, War",USD,"3,500,000.00","73,200,000.00","1,033,000 (Sweden)",Aspen Productions; 30 December 1969; LP37644 (in copyright registry)
1711395,Airport (1970),1970,"Drama, Thriller",USD,"10,000,000.00","100,489,150.00",,"© MCMLXIX by Universal Pictures and Ross Hunter Productions, Inc. (on print); Ross Hunter Productions; 5 March 1970; LP38968 (in copyright registry)"
