movieid,title,year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue
1711395,Airport (1970),1970,"Drama, Thriller",USD,"10,000,000.00","81,346,965.92","100,489,150.00","817,448,746.00"
1776556,Blazing Saddles (1974),1974,"Comedy, Western",USD,"2,600,000.00","17,250,448.25","119,500,000.00","792,857,140.75"
2486246,The Towering Inferno (1974),1974,"Action, Thriller",USD,"14,000,000.00","92,887,029.04","116,000,000.00","769,635,383.49"
1763465,Ben-Hur (1959),1959,"Action, Adventure, Drama, History, Romance",USD,"15,900,000.00","168,645,340.30","70,000,000.00","742,463,762.31"
1965236,Ghost Busters (1984),1984,"Comedy, Family, Fantasy",USD,"32,000,000.00","96,927,749.41","238,632,124.00","722,814,834.90"
2193264,My Fair Lady (1964),1964,"Drama, Musical, Romance",USD,"17,000,000.00","168,707,586.03","72,000,000.00","714,526,246.72"
1947355,Forrest Gump (1994),1994,"Drama, Romance",USD,"55,000,000.00","115,932,241.80","329,691,196.00","694,942,535.54"
2005459,Home Alone (1990),1990,"Comedy, Family",USD,"15,000,000.00","36,550,445.19","281,493,907.00","685,915,174.58"
2231909,One Flew Over the Cuckoo's Nest (1975),1975,Drama,USD,"4,400,000.00","25,995,606.65","112,000,000.00","661,706,351.15"
2307228,Rocky (1976),1976,"Drama, Sport",USD,"1,100,000.00","6,079,421.57","117,235,247.00","647,929,536.27"
1757347,Batman (1989),1989,"Action, Fantasy",USD,"35,000,000.00","89,207,453.22","251,188,924.00","640,226,405.37"
2500886,Thunderball (1965),1965,"Action, Adventure, Crime, Thriller",USD,"9,000,000.00","88,431,466.18","63,595,658.00","624,873,031.06"
2034166,Independence Day (1996),1996,"Action, Adventure, Sci-Fi, Thriller",USD,"75,000,000.00","150,178,754.73","306,169,255.00","613,068,232.72"
2145942,MASH (1970),1970,"Comedy, Drama, War",USD,"3,500,000.00","28,471,438.07","73,200,000.00","595,459,790.50"
1749731,Back to the Future (1985),1985,"Adventure, Comedy, Sci-Fi",USD,"19,000,000.00","55,390,617.14","197,902,294.00","576,943,694.69"
2583633,Young Frankenstein (1974),1974,Comedy,USD,"2,800,000.00","18,577,405.81","86,300,000.00","572,582,186.17"
1930793,Fantasia (1940),1940,"Animation, Family, Fantasy, Music",USD,"2,280,000.00","49,888,834.74","25,363,371.00","554,977,642.18"
2479029,The Sixth Sense (1999),1999,"Drama, Mystery, Thriller",USD,"40,000,000.00","75,039,899.62","293,501,675.00","550,608,405.77"
2034473,Indiana Jones and the Temple of Doom (1984),1984,"Action, Adventure",USD,"28,000,000.00","84,811,780.74","179,870,271.00","544,825,642.32"
1965214,Ghost (1990),1990,"Drama, Fantasy, Mystery, Romance, Thriller",USD,"22,000,000.00","53,607,319.61","217,631,306.00","530,301,408.09"
1898372,Earthquake (1974),1974,"Action, Drama, Thriller",USD,"7,000,000.00","46,443,514.52","79,700,000.00","528,792,586.76"
1979447,Guess Who's Coming to Dinner (1967),1967,Drama,USD,"4,000,000.00","37,265,742.07","56,700,000.00","528,241,893.80"
2452768,The Longest Day (1962),1962,"Action, Drama, History, War",USD,"10,000,000.00","102,138,351.30","50,000,000.00","510,691,756.48"
1972324,Goldfinger (1964),1964,"Action, Adventure, Crime, Thriller",USD,"3,000,000.00","29,771,926.95","51,081,062.00","506,927,215.41"
2509455,Top Gun (1986),1986,"Action, Drama, Romance",USD,"15,000,000.00","42,128,549.70","179,767,866.00","504,890,631.81"
2034464,Indiana Jones and the Last Crusade (1989),1989,"Action, Adventure",USD,"48,000,000.00","122,341,650.14","197,171,806.00","502,548,418.88"
2251761,Patton (1970),1970,"Biography, Drama, History, War",USD,"12,000,000.00","97,616,359.10","61,700,000.00","501,910,779.70"
2168207,Men in Black (1997),1997,"Comedy, Sci-Fi",USD,"90,000,000.00","174,457,411.11","250,147,615.00","484,890,058.99"
2522318,Twister (1996),1996,"Action, Adventure, Drama, Thriller",USD,"92,000,000.00","184,219,272.47","241,721,524.00","484,019,166.22"
1713183,Aladdin (1992),1992,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",USD,"28,000,000.00","62,371,385.89","217,042,825.00","483,473,635.47"
1783029,Bonnie and Clyde (1967),1967,"Biography, Crime, Drama",USD,"2,500,000.00","23,291,088.79","50,700,000.00","472,343,280.70"
1977589,Gremlins (1984),1984,"Comedy, Horror",USD,"11,000,000.00","33,318,913.86","153,083,102.00","463,687,517.18"
2512050,Toy Story 2 (1999),1999,"Adventure, Animation, Comedy, Family, Fantasy",USD,"90,000,000.00","168,839,774.15","245,852,179.00","461,218,070.85"
2289039,Rain Man (1988),1988,Drama,USD,"25,000,000.00","66,523,272.26","172,825,435.00","459,876,538.65"
2401750,Terminator 2: Judgment Day (1991),1991,"Action, Sci-Fi, Thriller",USD,"94,000,000.00","215,880,731.87","198,116,802.00","454,995,746.93"
2561516,West Side Story (1961),1961,"Crime, Drama, Musical, Romance",USD,"6,000,000.00","61,711,991.85","43,656,822.00","449,024,907.27"
1847080,Dances with Wolves (1990),1990,"Adventure, Drama, Western",USD,"19,000,000.00","46,297,230.57","184,208,848.00","448,861,026.81"
2453333,The Lost World: Jurassic Park (1997),1997,"Action, Adventure, Sci-Fi",USD,"73,000,000.00","141,504,344.57","229,074,524.00","444,041,648.99"
1820400,Cinderella (1950),1950,"Animation, Family, Fantasy, Musical, Romance",USD,"2,900,000.00","37,700,784.42","34,101,149.00","443,324,161.01"
2290136,Rambo: First Blood Part II (1985),1985,"Action, Adventure, Thriller, War",USD,"44,000,000.00","128,273,008.13","150,415,432.00","438,505,452.98"
2274575,Pretty Woman (1990),1990,"Comedy, Romance",USD,"14,000,000.00","34,113,748.84","178,406,268.00","434,721,901.32"
2476233,The Searchers (1956),1956,Western,USD,"3,750,000.00","42,914,975.30","37,500,000.00","429,149,753.02"
2261598,Pinocchio (1940),1940,"Adventure, Animation, Drama, Family, Fantasy, Music",USD,"2,600,000.00","56,890,776.45","18,863,559.00","412,754,814.69"
2324123,Saving Private Ryan (1998),1998,"Action, Drama, War",USD,"70,000,000.00","133,420,941.53","216,540,909.00","412,729,885.11"
2567467,Who Framed Roger Rabbit (1988),1988,"Animation, Comedy, Crime, Family, Fantasy",USD,"70,000,000.00","186,265,162.33","154,222,492.00","410,375,392.96"
2384532,Superman II (1980),1980,"Action, Sci-Fi",USD,"54,000,000.00","215,907,147.46","101,347,629.00","405,216,249.62"
2434561,The French Connection (1971),1971,"Action, Crime, Thriller",USD,"1,800,000.00","13,865,960.10","51,700,000.00","398,261,187.30"
2434795,The Fugitive (1993),1993,"Action, Adventure, Crime, Mystery, Thriller",USD,"40,000,000.00","86,590,845.33","183,875,760.00","398,048,937.36"
2364486,South Pacific (1958),1958,"Musical, Romance, War",USD,"6,000,000.00","64,785,266.57","36,800,000.00","397,349,634.99"
2505515,"To Sir, with Love (1967)",1967,Drama,USD,"640,000.00","5,962,518.73","42,432,803.00","395,322,472.94"
1932389,Fatal Attraction (1987),1987,"Drama, Thriller",USD,"14,000,000.00","38,892,165.89","142,200,833.00","395,035,599.10"
2177992,Mission: Impossible II (2000),2000,"Action, Adventure, Thriller",USD,"125,000,000.00","228,334,650.75","215,409,889.00","393,484,334.18"
2263670,Platoon (1986),1986,"Action, Drama, War",USD,"6,000,000.00","16,851,419.88","137,963,328.00","387,479,661.36"
2172808,Midnight Cowboy (1969),1969,Drama,USD,"3,600,000.00","31,100,572.01","44,785,053.00","386,900,212.71"
1744811,Austin Powers: The Spy Who Shagged Me (1999),1999,"Action, Adventure, Comedy, Crime",USD,"33,000,000.00","61,907,917.19","205,399,422.00","385,328,800.23"
2005467,Home Alone 2: Lost in New York (1992),1992,"Adventure, Comedy, Crime, Family",USD,"18,000,000.00","40,095,890.93","172,667,450.00","384,625,291.25"
1736268,Armageddon (1998),1998,"Action, Adventure, Sci-Fi, Thriller",USD,"140,000,000.00","266,841,883.05","201,573,391.00","384,201,594.49"
2246675,Papillon (1973),1973,"Biography, Crime, Drama",USD,"12,000,000.00","86,544,171.92","53,267,000.00","384,162,367.12"
2437299,The Godfather: Part II (1974),1974,"Crime, Drama",USD,"13,000,000.00","86,252,241.25","57,300,000.00","380,173,340.29"
2305976,Robin Hood: Prince of Thieves (1991),1991,"Action, Adventure, Drama, Romance",USD,"48,000,000.00","110,236,969.47","165,493,908.00","380,073,893.40"
2507690,Tom Jones (1963),1963,"Adventure, Comedy, Romance",USD,"1,000,000.00","10,082,759.26","37,600,000.00","379,111,748.15"
1757367,Batman Forever (1995),1995,"Action, Adventure, Fantasy",USD,"100,000,000.00","205,244,298.14","183,997,904.00","377,645,206.65"
2415964,The Bridge on the River Kwai (1957),1957,"Adventure, Drama, War",USD,"3,000,000.00","33,332,019.65","33,300,000.00","369,985,418.14"
1715186,Alien (1979),1979,"Horror, Sci-Fi",USD,"11,000,000.00","49,830,569.98","80,930,630.00","366,619,947.42"
2307248,Rocky IV (1985),1985,"Drama, Sport",USD,"30,000,000.00","87,458,869.18","125,409,936.00","365,607,039.53"
1757378,Batman Returns (1992),1992,"Action, Fantasy",USD,"80,000,000.00","178,203,959.69","162,744,850.00","362,522,208.62"
2177983,Mission: Impossible (1996),1996,"Action, Adventure, Thriller",USD,"80,000,000.00","160,190,671.72","180,981,856.00","362,395,063.51"
1898814,Easy Rider (1969),1969,Drama,USD,"400,000.00","3,455,619.11","41,728,598.00","360,495,351.93"
2125443,Liar Liar (1997),1997,Comedy,USD,"45,000,000.00","87,228,705.56","181,395,380.00","351,619,648.70"
1952923,From Here to Eternity (1953),1953,"Drama, Romance, War",USD,"1,650,000.00","18,957,190.54","30,500,000.00","350,420,794.86"
1973432,"Good Morning, Vietnam (1987)",1987,"Comedy, Drama, War",USD,"13,000,000.00","36,114,154.05","123,922,370.00","344,257,812.29"
1861004,Deliverance (1972),1972,"Adventure, Drama, Thriller",USD,"2,000,000.00","14,914,445.63","46,122,355.00","343,944,677.92"
2269410,Porky's (1982),1982,Comedy,USD,"4,000,000.00","13,054,277.75","105,124,546.00","343,081,255.58"
1968813,Gladiator (2000),2000,"Action, Adventure, Drama",USD,"103,000,000.00","188,147,752.22","187,705,427.00","342,877,224.94"
2432757,The Firm (1993),1993,"Drama, Mystery, Thriller",USD,"42,000,000.00","90,920,387.60","158,348,400.00","342,788,045.32"
2257265,Peter Pan (1953),1953,"Adventure, Animation, Family, Fantasy, Music",USD,"4,000,000.00","45,956,825.56","29,445,131.00","338,301,187.21"
2496353,There's Something About Mary (1998),1998,"Comedy, Romance",USD,"23,000,000.00","43,838,309.36","176,483,808.00","336,380,511.82"
1711175,Air Force One (1997),1997,"Action, Adventure, Drama, Thriller",USD,"85,000,000.00","164,765,332.72","172,650,002.00","334,667,470.86"
2280097,Psycho (1960),1960,"Horror, Mystery, Thriller",USD,"806,947.00","8,415,913.83","32,000,000.00","333,738,451.94"
1711384,Airplane! (1980),1980,Comedy,USD,"3,500,000.00","13,993,981.78","83,453,539.00","333,670,658.35"
2466403,The Perfect Storm (2000),2000,"Action, Adventure, Drama, Thriller",USD,"140,000,000.00","255,734,808.84","182,618,434.00","333,584,930.78"
2006702,"Honey, I Shrunk the Kids (1989)",1989,"Adventure, Comedy, Family, Sci-Fi",USD,"18,000,000.00","45,878,118.80","130,724,200.00","333,187,798.76"
2401814,Terms of Endearment (1983),1983,"Comedy, Drama",USD,"8,000,000.00","25,152,750.97","105,237,012.00","330,875,044.49"
2398900,Teenage Mutant Ninja Turtles (1990),1990,"Action, Adventure, Comedy, Crime, Drama, Family, Sci-Fi",USD,"13,500,000.00","32,895,400.67","135,270,000.00","329,611,914.71"
2493444,The Wizard of Oz (1939),1939,"Adventure, Family, Fantasy, Musical",USD,"2,777,000.00","60,763,725.47","14,792,232.00","323,669,832.29"
2124358,Lethal Weapon 3 (1992),1992,"Action, Crime, Thriller",USD,"35,000,000.00","77,964,232.37","144,731,527.00","322,396,640.05"
2457464,The Matrix (1999),1999,"Action, Adventure, Sci-Fi",USD,"63,000,000.00","118,187,841.90","171,479,930.00","321,695,918.36"
2396330,Tarzan (1999),1999,"Adventure, Animation, Drama, Family, Romance",USD,"130,000,000.00","243,879,673.77","171,085,177.00","320,955,362.72"
1798275,Cabaret (1972),1972,"Drama, Musical",USD,"6,000,000.00","44,743,336.88","42,765,000.00","318,908,133.62"
1737766,Arthur (1981),1981,"Comedy, Romance",USD,"7,000,000.00","24,878,189.83","88,595,661.00","314,871,381.80"
1687905,A Few Good Men (1992),1992,"Crime, Drama, Mystery, Thriller",USD,"40,000,000.00","89,101,979.85","141,340,178.00","314,842,242.29"
1711398,Airport 1975 (1974),1974,"Action, Drama, Thriller",USD,"3,000,000.00","19,904,363.37","47,285,152.00","313,726,949.08"
1684486,A Bug's Life (1998),1998,"Adventure, Animation, Comedy, Family",USD,"120,000,000.00","228,721,614.05","162,792,677.00","310,285,031.99"
2518451,True Lies (1994),1994,"Action, Thriller",USD,"115,000,000.00","242,403,778.31","146,261,000.00","308,297,556.70"
2491349,The Waterboy (1998),1998,"Comedy, Sport",USD,"20,000,000.00","38,120,269.01","161,487,252.00","307,796,874.38"
2050532,Jerry Maguire (1996),1996,"Comedy, Drama, Romance, Sport",USD,"50,000,000.00","100,119,169.82","153,620,822.00","307,607,783.32"
1769408,Big Daddy (1999),1999,"Comedy, Drama",USD,"34,200,000.00","64,159,114.18","163,479,795.00","306,687,685.17"
1768698,Big (1988),1988,"Comedy, Drama, Fantasy, Romance",USD,"18,000,000.00","47,896,756.03","114,968,774.00","305,923,962.17"
2475423,The Santa Clause (1994),1994,"Comedy, Drama, Family, Fantasy",USD,"22,000,000.00","46,372,896.72","144,833,357.00","305,288,286.63"
2165832,Meet the Parents (2000),2000,"Comedy, Romance",USD,"55,000,000.00","100,467,246.33","166,244,045.00","303,674,207.63"
2310119,Rosemary's Baby (1968),1968,"Drama, Horror, Mystery",USD,"2,300,000.00","20,803,690.96","33,395,426.00","302,064,400.86"
1749735,Back to the Future Part II (1989),1989,"Adventure, Comedy, Sci-Fi",USD,"40,000,000.00","101,951,375.11","118,450,002.00","301,903,514.65"
2478414,The Silence of the Lambs (1991),1991,"Crime, Drama, Thriller",USD,"19,000,000.00","43,635,467.08","130,742,922.00","300,264,656.26"
2439860,The Guns of Navarone (1961),1961,"Action, Adventure, Drama, War",USD,"6,000,000.00","61,711,991.85","28,900,000.00","297,246,094.09"
2378750,Stripes (1981),1981,"Comedy, War",USD,"10,000,000.00","35,540,271.19","83,339,362.00","296,190,352.61"
2263331,Planet of the Apes (1968),1968,"Adventure, Mystery, Sci-Fi",USD,"5,800,000.00","52,461,481.55","32,600,000.00","294,869,706.65"
2443509,The Hunt for Red October (1990),1990,"Action, Adventure, Thriller",USD,"30,000,000.00","73,100,890.38","120,709,868.00","294,133,294.27"
2460384,The Mummy (1999),1999,"Action, Adventure, Fantasy",USD,"80,000,000.00","150,079,799.24","155,247,825.00","291,244,530.11"
2265771,Pocahontas (1995),1995,"Adventure, Animation, Drama, Family, History, Musical, Romance",USD,"55,000,000.00","112,884,363.98","141,579,773.00","290,584,411.40"
2577314,X-Men (2000),2000,"Action, Adventure, Sci-Fi",USD,"75,000,000.00","137,000,790.45","157,299,717.00","287,335,807.55"
2420761,The Color Purple (1985),1985,Drama,USD,"15,000,000.00","43,729,434.59","98,467,863.00","287,062,931.61"
2325153,Scary Movie (2000),2000,Comedy,USD,"19,000,000.00","34,706,866.91","156,997,084.00","286,782,994.75"
1965516,Ghostbusters II (1989),1989,"Action, Adventure, Comedy, Fantasy, Sci-Fi",USD,"37,000,000.00","94,305,021.98","112,494,738.00","286,724,830.80"
1738481,As Good as It Gets (1997),1997,"Comedy, Drama, Romance",USD,"50,000,000.00","96,920,783.95","147,637,474.00","286,182,794.42"
2312852,Runaway Bride (1999),1999,"Comedy, Romance",USD,"70,000,000.00","131,319,824.34","152,149,590.00","285,432,249.03"
2562822,What Lies Beneath (2000),2000,"Drama, Horror, Mystery, Thriller",USD,"90,000,000.00","164,400,948.54","155,370,362.00","283,811,498.75"
1874284,Die Hard 2 (1990),1990,"Action, Thriller",USD,"70,000,000.00","170,568,744.21","115,288,665.00","280,923,468.73"
2451832,The Little Mermaid (1989),1989,"Animation, Family, Fantasy, Musical, Romance",USD,"40,000,000.00","101,951,375.11","109,859,444.00","280,008,034.62"
2433445,The Flintstones (1994),1994,"Comedy, Family, Fantasy",USD,"45,000,000.00","94,853,652.38","130,512,915.00","275,102,814.91"
2007305,Hook (1991),1991,"Adventure, Comedy, Family, Fantasy",USD,"70,000,000.00","160,762,247.14","119,654,823.00","274,799,688.95"
1883528,Doctor Dolittle (1998),1998,"Comedy, Family, Fantasy",USD,"71,500,000.00","136,279,961.70","144,156,464.00","274,764,159.35"
2354392,Sleepless in Seattle (1993),1993,"Comedy, Drama, Romance",USD,"21,000,000.00","45,460,193.80","126,533,006.00","273,914,998.80"
1691642,A Man for All Seasons (1966),1966,"Biography, Drama, History",USD,"2,000,000.00","19,285,021.52","28,350,000.00","273,365,180.04"
2290793,Ransom (1996),1996,"Crime, Thriller",USD,"80,000,000.00","160,190,671.72","136,448,821.00","273,222,853.64"
1674388,101 Dalmatians (1996),1996,"Adventure, Comedy, Family",USD,"54,000,000.00","108,128,703.41","136,182,161.00","272,688,898.08"
1892991,Driving Miss Daisy (1989),1989,"Comedy, Drama",USD,"7,500,000.00","19,115,882.83","106,593,296.00","271,683,327.62"
2558441,Wayne's World (1992),1992,"Comedy, Music",USD,"20,000,000.00","44,550,989.92","121,697,350.00","271,086,870.68"
2567890,Who's Afraid of Virginia Woolf? (1966),1966,Drama,USD,"7,500,000.00","72,318,830.70","28,000,000.00","269,990,301.27"
2313464,Rush Hour (1998),1998,"Action, Comedy, Crime, Thriller",USD,"33,000,000.00","62,898,443.86","141,153,686.00","269,040,824.09"
2474020,The Rock (1996),1996,"Action, Adventure, Thriller",USD,"70,000,000.00","140,166,837.75","134,006,721.00","268,332,833.14"
1973625,Good Will Hunting (1997),1997,Drama,USD,"10,000,000.00","19,384,156.79","138,339,411.00","268,159,283.31"
1895102,Dumb & Dumber (1994),1994,Comedy,USD,"16,000,000.00","33,725,743.07","127,175,354.00","268,067,707.11"
1859617,Deep Impact (1998),1998,"Action, Drama, Sci-Fi, Thriller",USD,"75,000,000.00","142,951,008.78","140,459,099.00","267,716,931.92"
2360675,Some Like It Hot (1959),1959,Comedy,USD,"2,883,848.00","30,587,894.80","25,000,000.00","265,165,629.40"
2413799,The Blair Witch Project (1999),1999,"Horror, Mystery",USD,"60,000.00","112,559.85","140,539,099.00","263,650,997.05"
2379184,Stuart Little (1999),1999,"Adventure, Animation, Comedy, Family, Fantasy",USD,"133,000,000.00","249,507,666.24","140,015,224.00","262,668,208.86"
1763877,Benji (1974),1974,"Adventure, Family, Romance",USD,"500,000.00","3,317,393.89","39,552,600.00","262,423,107.49"
1756768,Basic Instinct (1992),1992,"Mystery, Thriller",USD,"40,000,000.00","89,101,979.85","117,727,000.00","262,242,719.53"
2406080,The Addams Family (1991),1991,"Comedy, Fantasy, Horror",USD,"38,000,000.00","87,270,934.16","113,502,000.00","260,669,093.92"
1971149,Godzilla (1998),1998,"Action, Sci-Fi, Thriller",USD,"130,000,000.00","247,781,748.55","136,023,813.00","259,263,217.15"
2462959,The Nutty Professor (1996),1996,"Comedy, Romance, Sci-Fi",USD,"54,000,000.00","108,128,703.41","128,769,345.00","257,845,598.40"
2251093,Patch Adams (1998),1998,"Biography, Comedy, Drama",USD,"50,000,000.00","95,300,672.52","135,014,968.00","257,340,345.01"
1823223,Clear and Present Danger (1994),1994,"Action, Drama, Thriller",USD,"45,000,000.00","94,853,652.38","122,012,710.00","257,185,581.79"
2130342,Little Big Man (1970),1970,"History, Western",USD,"15,000,000.00","122,020,448.87","31,559,552.00","256,727,380.09"
2439306,The Green Mile (1999),1999,"Crime, Drama, Fantasy, Mystery",USD,"60,000,000.00","112,559,849.43","136,801,374.00","256,639,034.33"
2371705,Star Trek: The Wrath of Khan (1982),1982,"Action, Adventure, Sci-Fi, Thriller",USD,"11,000,000.00","35,899,263.83","78,633,541.00","256,626,021.26"
2366403,Speed (1994),1994,"Action, Thriller",USD,"25,000,000.00","52,696,473.55","121,248,145.00","255,573,986.62"
2131729,Live and Let Die (1973),1973,"Action, Crime, Thriller",USD,"7,000,000.00","50,484,100.28","35,377,836.00","255,145,460.07"
2239941,Out of Africa (1985),1985,"Biography, Drama, Romance",USD,"31,000,000.00","90,374,164.82","87,100,000.00","253,922,250.17"
2457168,The Mask (1994),1994,"Comedy, Crime, Fantasy, Romance",USD,"18,000,000.00","37,941,460.95","119,936,108.00","252,808,397.70"
1872662,Dick Tracy (1990),1990,"Action, Comedy, Crime, Romance, Thriller",USD,"46,000,000.00","112,088,031.91","103,738,726.00","252,779,774.57"
1879599,Dinosaur (2000),2000,"Adventure, Animation, Family, Sci-Fi, Thriller",USD,"127,500,000.00","232,901,343.76","137,748,063.00","251,621,246.85"
1744391,Auntie Mame (1958),1958,"Comedy, Drama",USD,"2,240,000.00","24,186,499.52","23,300,000.00","251,582,785.19"
1953106,From Russia with Love (1963),1963,"Action, Adventure, Crime, Thriller",USD,"2,000,000.00","20,165,518.52","24,796,765.00","250,019,811.90"
2438827,The Great Race (1965),1965,"Action, Adventure, Comedy, Family, Musical, Romance, Sport",USD,"12,000,000.00","117,908,621.57","25,333,333.00","248,918,197.82"
2124359,Lethal Weapon 4 (1998),1998,"Action, Crime, Thriller",USD,"140,000,000.00","266,841,883.05","129,734,803.00","247,276,279.50"
2425222,The Deer Hunter (1978),1978,"Drama, War",USD,"15,000,000.00","74,066,347.19","50,000,000.00","246,887,823.98"
2267111,Police Academy (1984),1984,"Comedy, Crime",USD,"4,500,000.00","13,630,464.76","81,198,894.00","245,950,814.07"
2192642,My Best Friend's Wedding (1997),1997,"Comedy, Romance",USD,"46,000,000.00","89,167,121.24","126,805,112.00","245,801,017.28"
1856727,Dead Poets Society (1989),1989,Drama,USD,"16,400,000.00","41,800,063.80","95,860,116.00","244,326,766.12"
1721568,American Beauty (1999),1999,Drama,USD,"15,000,000.00","28,139,962.36","130,058,047.00","243,988,569.80"
2267777,Poltergeist (1982),1982,Horror,USD,"10,700,000.00","34,920,192.99","74,706,019.00","243,808,280.49"
2508265,Tomorrow Never Dies (1997),1997,"Action, Adventure, Crime, Thriller",USD,"110,000,000.00","213,225,724.70","125,332,007.00","242,945,527.46"
2024833,"Il buono, il brutto, il cattivo. (1966)",1966,"Adventure, Western",USD,"1,200,000.00","11,571,012.91","25,100,000.00","242,027,020.07"
2094683,La guerre du feu (1981),1981,"Adventure, Drama, Sci-Fi",USD,"12,500,000.00","44,425,338.98","67,400,000.00","239,541,427.80"
2487366,The Truman Show (1998),1998,"Comedy, Drama, Sci-Fi",USD,"60,000,000.00","114,360,807.02","125,603,360.00","239,401,693.57"
1690616,A League of Their Own (1992),1992,"Comedy, Drama, Sport",USD,"40,000,000.00","89,101,979.85","107,458,785.00","239,369,762.38"
2494140,The World Is Not Enough (1999),1999,"Action, Adventure, Crime, Thriller",USD,"135,000,000.00","253,259,661.22","126,930,660.00","238,121,599.63"
2564194,When Harry Met Sally... (1989),1989,"Comedy, Drama, Romance",USD,"16,000,000.00","40,780,550.05","92,823,546.00","236,587,203.94"
2414153,The Blue Lagoon (1980),1980,"Adventure, Drama, Romance",USD,"4,500,000.00","17,992,262.29","58,853,106.00","235,311,226.59"
1984278,Halloween (1978),1978,"Horror, Thriller",USD,"325,000.00","1,604,770.86","47,000,000.00","232,074,554.54"
2305931,Robin Hood (1973),1973,"Adventure, Animation, Comedy, Family, Romance",USD,"15,000,000.00","108,180,214.90","32,056,467.00","231,191,699.26"
2034091,Indecent Proposal (1993),1993,Drama,USD,"38,000,000.00","82,261,303.07","106,614,100.00","230,795,126.08"
2189721,Mulan (1998),1998,"Adventure, Animation, Family, Musical",USD,"70,000,000.00","133,420,941.53","120,618,403.00","229,900,298.48"
2339347,Shane (1953),1953,"Drama, Western",USD,"3,100,000.00","35,616,539.81","20,000,000.00","229,784,127.78"
1945150,Footloose (1984),1984,"Drama, Music, Romance",USD,"8,200,000.00","24,837,735.79","75,846,770.00","229,739,272.38"
1918615,Erin Brockovich (2000),2000,"Biography, Drama",USD,"52,000,000.00","94,987,214.71","125,548,685.00","229,336,921.13"
1949502,Frankenstein (1931),1931,"Horror, Sci-Fi",USD,"291,000.00","5,536,618.84","12,000,000.00","228,314,178.86"
2280997,Pulp Fiction (1994),1994,"Crime, Drama, Thriller",USD,"8,000,000.00","16,862,871.53","107,928,762.00","227,498,606.07"
2308476,Romancing the Stone (1984),1984,"Action, Adventure, Comedy, Romance",USD,"10,000,000.00","30,289,921.69","75,078,260.00","227,411,461.61"
2219992,Nutty Professor II: The Klumps (2000),2000,"Comedy, Romance, Sci-Fi",USD,"65,000,000.00","118,734,018.39","123,307,945.00","225,243,812.45"
2437452,The Golden Child (1986),1986,"Action, Adventure, Comedy, Fantasy, Mystery",USD,"25,000,000.00","70,214,249.50","79,817,937.00","224,174,261.72"
1704571,Ace Ventura: When Nature Calls (1995),1995,Comedy,USD,"30,000,000.00","61,573,289.44","108,344,348.00","222,370,596.62"
2038757,Interview with the Vampire: The Vampire Chronicles (1994),1994,"Horror, Romance",USD,"60,000,000.00","126,471,536.51","105,264,608.00","221,882,945.23"
