movieid,title,year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue,Additional_Data,Copyright
2211751,Ninotchka (1939),1939,"Comedy, Romance",USD,"1,365,000.00","29,867,657.64","1,187,000.00","25,972,827.56",,Copyright MCMXXXIX in U.S.A. by Loew's Incorporated (on print); © Loew's Incorporated; U.S. Copyright LP9158; 2 October 1939 (in copyright registry)
2438541,The Great Dictator (1940),1940,"Comedy, Drama, War",USD,"2,000,000.00","43,762,135.73","395,872.00","8,662,102.10",,Charles Chaplin Film Corporation; 31 October 1940; LP10041 (in copyright registry)
2261598,Pinocchio (1940),1940,"Adventure, Animation, Drama, Family, Fantasy, Music",USD,"2,600,000.00","56,890,776.45","18,863,559.00","412,754,814.69",,Walt Disney Productions; 3 January 1940; LP9415 (in copyright registry)
2293500,Rebecca (1940),1940,"Drama, Mystery, Thriller",USD,"1,288,000.00","28,182,815.41","26,957.00","589,847.95",,"Copyright MCMXL by Selznick International Pictures, Inc. (on print); Selznick International Pictures, Inc.; 16 April 1940; LP9550 (in copyright registry)"
1930793,Fantasia (1940),1940,"Animation, Family, Fantasy, Music",USD,"2,280,000.00","49,888,834.74","25,363,371.00","554,977,642.18",,Walt Disney Productions
2011220,How Green Was My Valley (1941),1941,"Drama, Family",USD,"1,250,000.00","27,161,206.39","6,000,000.00","130,373,790.67",,Copyright MCMXLI by Twentieth Century-Fox Film Corporation (on print); Twentieth Century-Fox Film Corporation; 26 December 1941; LP11257 (in copyright registry)
1821599,Citizen Kane (1941),1941,"Drama, Mystery",USD,"686,033.00","14,906,787.12","1,140,769.00","24,787,729.80","634,665 (Spain)","© RKO Radio Pictures, Inc.; 1 May 1941; LP10457 (in copyright registry)"
1805799,Casablanca (1942),1942,"Drama, Romance, War",USD,"950,000.00","18,782,999.87","1,661,267.00","32,845,871.41","1,240,658 (Argentina) | 1,023,029 (Spain)",Turner Entertainment Co.(renewal)
1753348,Bambi (1942),1942,"Animation, Drama, Family",,,,"39,047,150.00","772,023,803.49",,Copyright MCMXLII Walt Disney Productions (on print); Walt Disney Productions; 28 February 1942; LP12270 (in copyright registry)
2504995,To Be or Not to Be (1942),1942,"Comedy, War",,,,"294,734.00","5,827,356.51",,copyright MCMXLII by Romaine Film Corporation (on print); Romaine Film Corporation; 27 March 1942; LP11178 (in copyright registry)
2165666,Meet Me in St. Louis (1944),1944,"Family, Musical, Romance",USD,"1,707,561.00","30,071,414.34","7,566,000.00","133,242,865.65",,Copyright MCMXLIV in U.S.A. by Loew's Incorporated (on print); Loew's Incorporated; 2 November 1944; LP12965 (in copyright registry)
2366649,Spellbound (1945),1945,"Film-Noir, Mystery, Romance, Thriller",USD,"1,696,377.00","29,202,791.61","7,000,000.00","120,503,603.42",,"Vanguard Films, Inc.; 28 December 1945; LP13711 (in copyright registry)"
2120569,Les enfants du paradis (1945),1945,"Drama, Romance",,,,"41,000,000.00","705,806,820.06",,
2217782,Notorious (1946),1946,"Drama, Romance, Thriller",USD,"2,000,000.00","33,688,454.97","8,000,000.00","134,753,819.88",,"Copyright MCMXLVI R K O Radio Pictures, Inc. All Rights Reserved (on print); RKO Radio Pictures, Inc.; 15 August 1946; LP557 (in copyright registry)"
2043588,It's a Wonderful Life (1946),1946,"Drama, Family, Fantasy",USD,"3,180,000.00","53,564,643.40","682,222.00","11,491,502.56",,"copyright MCMXLVII Liberty Films, Inc. (on print)"
2362207,Song of the South (1946),1946,"Animation, Family, Music",,,,"15,495,830.00","261,015,285.58",,
2176083,Miracle on 34th Street (1947),1947,"Comedy, Drama, Family, Fantasy",,,,"2,650,000.00","37,796,107.40",,© Twentieth Century-Fox Film Corporation; 4 June 1947; LP1101 (in copyright registry)
2182564,Monsieur Verdoux (1947),1947,"Comedy, Crime, Drama",USD,"2,000,000.00","28,525,364.07","64,636.00","921,882.72",,"Copyright MCMXLVII by The Chaplin Studio, Inc. (on print); Chaplin Studios, Inc.; 24 October 1947; LP1256 (in copyright registry)"
1972108,Golden Earrings (1947),1947,"Adventure, Romance",USD,"1,000,000.00","14,262,682.04","7,000,000.00","99,838,774.25",,copyright MCMXLVII Paramount Pictures Inc.
1838850,Crossfire (1947),1947,"Crime, Drama, Film-Noir, Mystery",USD,"250,000.00","3,565,670.51","1,300,000.00","18,541,486.65",,"RKO Radio Pictures, Inc. (original), U.S. Copyright LP1194, 22 July 1947"
2103526,Ladri di biciclette (1948),1948,"Crime, Drama",,,,"332,930.00","4,364,406.92",,
2485156,The Third Man (1949),1949,"Film-Noir, Mystery, Thriller",,,,"596,349.00","7,589,891.64",,"Copyright 2002 Warner Home Video, Burbank."
1869304,Destination Moon (1950),1950,"Adventure, Drama, Sci-Fi",,,,"5,000,000.00","65,001,352.45",,"COPYRIGHT MCML GEORGE PAL PRODUCTIONS, INC. ALL RIGHTS RESERVED (on print); George Pal Productions, Inc.; 1 August 1950; LP232 (in copyright registry)"
1715793,All About Eve (1950),1950,Drama,,,,"10,177.00","132,303.75",,Copyright MCML by Twentieth Century-Fox Film Corporation (on print); Twentieth Century-Fox Film Corporation; 13 October 1950; LP572 (in copyright registry)
1784275,Born Yesterday (1950),1950,"Comedy, Drama, Romance",,,,"12,000,000.00","156,003,245.88",,Copyright MCMLI by Columbia Pictures Corporation International Copyright Secured · All Rights Reserved
1820400,Cinderella (1950),1950,"Animation, Family, Fantasy, Musical, Romance",USD,"2,900,000.00","37,700,784.42","34,101,149.00","443,324,161.01",,Walt Disney Productions; 4 November 1949; LP2819 (in copyright registry)
2383252,Sunset Blvd. (1950),1950,"Drama, Film-Noir",USD,"1,752,000.00","22,776,473.90","5,000,000.00","65,001,352.45",,Paramount Pictures Corporation; 4 August 1950; LP260 (in copyright registry)
1697037,A Streetcar Named Desire (1951),1951,Drama,USD,"1,800,000.00","22,096,777.04","8,000,000.00","98,207,897.94",,Copyright MCMLI Charles K. Feldman Group Productions (on print); Charles K. Feldman Group Productions; 15 October 1951; LP1240 (in copyright registry)
2377282,Strangers on a Train (1951),1951,"Crime, Film-Noir, Thriller",USD,"1,200,000.00","14,731,184.69","23,764.00","291,726.56",,"Copyright MCMLI by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc.; 2 June 1951; LP988 (in copyright registry)"
1724201,An American in Paris (1951),1951,"Musical, Romance",USD,"2,723,903.00","33,438,598.48","4,500,000.00","55,241,942.59",,Loew's Incorporated; 5 September 1951; LP1161 (in copyright registry)
2406749,The African Queen (1951),1951,"Adventure, Romance, War",,,,"536,118.00","6,581,377.73",,copyright 1951 Horizon Enterprises Inc. (on print)
1999210,High Noon (1952),1952,"Drama, Western",USD,"750,000.00","8,685,840.03","3,750,000.00","43,429,200.15",,"Stanley Kramer Productions, Inc.; 30 August 1952; LP1846 (in copyright registry)"
2439154,The Greatest Show on Earth (1952),1952,"Drama, Family, Romance",USD,"4,000,000.00","46,324,480.16","14,000,000.00","162,135,680.56",,Copyright MCMLII Paramount Pictures Corporation (on print)
1952923,From Here to Eternity (1953),1953,"Drama, Romance, War",USD,"1,650,000.00","18,957,190.54","30,500,000.00","350,420,794.86",,Columbia Pictures Corporation; 1 September 1953; LP2899 (in copyright registry)
2308229,Roman Holiday (1953),1953,"Comedy, Drama, Romance",USD,"1,500,000.00","17,233,809.58","5,000,000.00","57,446,031.94",,Paramount Pictures Corporation; 2 September 1953; LP2890 (in copyright registry)
2257265,Peter Pan (1953),1953,"Adventure, Animation, Family, Fantasy, Music",USD,"4,000,000.00","45,956,825.56","29,445,131.00","338,301,187.21",,©1952 Walt Disney Productions
2370704,Stalag 17 (1953),1953,"Comedy, Drama, War",USD,"1,661,530.00","19,089,661.09","10,000,000.00","114,892,063.89",,Copyright MCMLII by Paramount Pictures Corporation (on print); Paramount Pictures Corporation; 1 July 1953; LP2895 (in copyright registry)
2339347,Shane (1953),1953,"Drama, Western",USD,"3,100,000.00","35,616,539.81","20,000,000.00","229,784,127.78",,Copyright MCMLIII by Paramount Pictures Corporation (on print); Paramount Pictures Corporation; 27 May 1953; LP2892 (in copyright registry)
2293416,Rear Window (1954),1954,"Mystery, Thriller",USD,"1,000,000.00","11,409,341.00","1,559,601.00","17,794,019.64","528,076 (Spain)",Copyright 2001 Universal Studios (DVD)
1871833,Dial M for Murder (1954),1954,"Crime, Mystery, Thriller",USD,"1,400,000.00","15,973,077.40","12,562.00","143,324.14",,"Warner Bros. Pictures, Inc.; 29 May 1954; LP4758 (in copyright registry)"
2316046,Sabrina (1954),1954,"Comedy, Drama, Romance",USD,"2,238,813.00","25,543,380.96","10,000,000.00","114,093,410.02",,Copyright 1954 by Paramount Pictures
1837340,Creature from the Black Lagoon (1954),1954,"Adventure, Horror, Sci-Fi",,,,"1,300,000.00","14,832,143.30",,"Universal Pictures Company, Inc."
1971706,Gojira (1954),1954,"Drama, Horror, Sci-Fi, Thriller",JPY,"100,000,000.00","1,140,934,100.19","412,520.00","4,706,581.35","9,610,000 (Japan)",© 1954 Toho Co. Ltd/Tôhô Kabushiki Kaisha
2230917,On the Waterfront (1954),1954,"Crime, Drama",USD,"910,000.00","10,382,500.31","9,600,000.00","109,529,673.62",,copyright MCMLIV Columbia Pictures Corporation (on print); Columbia Pictures Corporation; 29 July 1954; LP3901 (in copyright registry)
2251197,Pather Panchali (1955),1955,Drama,,,,"536,364.00","6,162,698.67",,
2103866,Lady and the Tramp (1955),1955,"Adventure, Animation, Comedy, Romance",USD,"4,000,000.00","45,959,077.55","93,600,000.00","1,075,442,414.68","413,813 (Germany) (11 August 1997) (re-release) | 388,394 (Germany) (4 August 1997) (re-release) | 332,397 (Germany) (28 July 1997) (re-release) | 258,346 (Germany) (21 July 1997) (re-release) | 160,238 (Germany) (14 July 1997) (re-release) | 104,807 (Germany) (7 July 1997) (re-release) | 23,659 (Portugal) (17 July 1997) (re-release) | 18,132 (Portugal) (10 July 1997) (re-release) | 10,556 (Portugal) (3 July 1997) (re-release) (opening week)",Walt Disney Productions; 28 February 1955; LP4675 (in copyright registry)
2178276,Mister Roberts (1955),1955,"Comedy, Drama, War",,,,"21,200,000.00","243,583,111.02",,©1955 Orange Productions Ltd.
1981170,Guys and Dolls (1955),1955,"Comedy, Musical, Romance",USD,"5,500,000.00","63,193,731.63","390,000.00","4,481,010.06",,"Copyright © MCMLV by Samuel Goldwyn Productions, Inc. (on print)"
2071566,Killer's Kiss (1955),1955,"Crime, Drama, Film-Noir, Thriller",USD,"75,000.00","861,732.70","57,944.00","665,763.20","29,714 (Spain)","© MCMIV Minotaur Productions, Inc - Released through United Artists"
2505066,To Catch a Thief (1955),1955,"Crime, Mystery, Romance, Thriller",USD,"2,500,000.00","28,724,423.47","8,750,000.00","100,535,482.14",,Copyright MCMLIV by Paramount Pictures Corporation (on print)
2456021,The Man Who Knew Too Much (1956),1956,Thriller,USD,"2,500,000.00","28,609,983.53","10,250,000.00","117,300,932.49",,"Copyright © 1955 by Filwite Productions, Inc. All Rights Reserved (on print); Filwite Productions, Inc.; 16 May 1956; LP6469 (in copyright registry)"
2476233,The Searchers (1956),1956,Western,USD,"3,750,000.00","42,914,975.30","37,500,000.00","429,149,753.02",,"© MCMLVI by C.V. Whitney Pictures, Inc. (on print); C.V. Whitney Pictures, Inc.; 26 May 1956; LP8335 (in copyright registry)"
1921463,Et Dieu... créa la femme (1956),1956,"Drama, Romance",USD,"300,000.00","3,433,198.02","4,000,000.00","45,775,973.66",,Raoul Levy
2447163,The King and I (1956),1956,"Drama, Musical, Romance",,,,"21,300,000.00","243,757,059.72",,copyright MCMLVI by Twentieth Century-Fox Film Corporation (on print); Twentieth Century-Fox Film Corporation; 28 June 1956; LP7381 (in copyright registry)
1946327,Forbidden Planet (1956),1956,"Action, Adventure, Sci-Fi",USD,"1,900,000.00","21,743,587.49","3,250,000.00","37,192,978.60",,copyright © MCMLVI in U.S.A. by Loew's Incorporated (on print); Loew's Incorporated; 27 February 1956; LP6177 (in copyright registry)
1733111,Aparajito (1956),1956,Drama,,,,"170,215.00","1,947,939.34",,
2447022,The Killing (1956),1956,"Crime, Film-Noir, Thriller",USD,"320,000.00","3,662,077.89","269,337.00","3,082,290.85","125,678 (Spain)",© MCMLVI Harris-Kubrick Pictures Corporation
1965850,Giant (1956),1956,"Drama, Romance, Western",USD,"5,400,000.00","61,797,564.44","169,928.00","1,944,654.91",,©Copyright MCMLVI by Giant Productions (on print); Giant Productions; 24 November 1956; LP9719 (in copyright registry)
2113595,Le notti di Cabiria (1957),1957,Drama,,,,"752,045.00","8,355,726.24",,
2251241,Paths of Glory (1957),1957,"Drama, War",USD,"935,000.00","10,388,479.46","899,327.00","9,992,128.41","464,841 (Spain) (31 December 2001)",© Copyright MCMLVII Harris-Kubrick Pictures Corporation (on print); Harris-Kubrick Pictures Corporation; 20 December 1957; LP10329 (in copyright registry)
2415964,The Bridge on the River Kwai (1957),1957,"Adventure, Drama, War",USD,"3,000,000.00","33,332,019.65","33,300,000.00","369,985,418.14","13,481,000 (France)",Horizon Pictures (G.B.) Ltd.; 4 October 1957; LP10231 (in copyright registry)
2141230,Love in the Afternoon (1957),1957,"Comedy, Drama, Romance",USD,"2,100,000.00","23,332,413.76","5,000,000.00","55,553,366.09",,©1957 Allied Artists Pictures Corporation
2423437,The Curse of Frankenstein (1957),1957,"Drama, Horror, Sci-Fi, Thriller",GBP,"65,000.00","722,193.76","7,000,000.00","77,774,712.52",,Copyright MCMLVII Clarion Film Productions
1744391,Auntie Mame (1958),1958,"Comedy, Drama",USD,"2,240,000.00","24,186,499.52","23,300,000.00","251,582,785.19",,"Copyright MCMLVIII by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 ; Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 (in copyright registry)"
1806896,Cat on a Hot Tin Roof (1958),1958,Drama,USD,"3,000,000.00","32,392,633.29","17,570,324.00","189,716,354.02",,"Copyright 1958 Loew's Inc. and Avon Productions, Inc. (on print); Loew's Inc. & Avon Productions, Inc.; 12 August 1958; LP11871 (in copyright registry)"
2511131,Touch of Evil (1958),1958,"Crime, Film-Noir, Thriller",USD,"829,000.00","8,951,164.33","2,237,659.00","24,161,222.47",,Copyright MCMLVIII by Universal Pictures Company Inc. (on print); Universal Pictures Company Inc.; 15 March 1958; LP10314 (in copyright registry)
2364486,South Pacific (1958),1958,"Musical, Romance, War",USD,"6,000,000.00","64,785,266.57","36,800,000.00","397,349,634.99",,"Copyright © MCMLVIII by South Pacific Enterprises, Inc. (on print); South Pacific Enterprises, Inc.; 19 March 1958; LP13570 (in copyright registry)"
2433612,The Fly (1958),1958,"Horror, Sci-Fi",USD,"700,000.00","7,558,281.10","3,000,000.00","32,392,633.29",,Twentieth Century-Fox Film Corporation
2544531,Vertigo (1958),1958,"Mystery, Romance, Thriller",USD,"2,479,000.00","26,767,112.64","15,000,000.00","161,963,166.43",,"Alfred J. Hitchcock Productions, Inc. and Paramount Pictures Corporation (original); 9 May 1958; LP10837 (in copyright registry)"
2354271,Sleeping Beauty (1959),1959,"Animation, Family, Fantasy, Musical, Romance",USD,"6,000,000.00","63,639,751.05","10,161.00","107,773.92",,Walt Disney Productions; 30 December 1958; LP13782 (in copyright registry)
2216316,North by Northwest (1959),1959,"Action, Adventure, Crime, Mystery, Thriller",USD,"3,101,000.00","32,891,144.67","13,275,000.00","140,802,949.21",,© MCMLIX by Loew's Incorporated (on print); Loew's Incorporated; 30 June 1959; LP13942 (in copyright registry)
2360675,Some Like It Hot (1959),1959,Comedy,USD,"2,883,848.00","30,587,894.80","25,000,000.00","265,165,629.40",,"© Copyright MCMLIX by Ashton Productions, Inc. (on print); Ashton Productions, Inc.; 18 March 1959; LP13838 (in copyright registry)"
2446984,The Killer Shrews (1959),1959,"Horror, Sci-Fi",USD,"123,000.00","1,304,614.90","1,000,000.00","10,606,625.18",,
1734369,Apur Sansar (1959),1959,Drama,,,,"16,000.00","169,706.00",,
1763465,Ben-Hur (1959),1959,"Action, Adventure, Drama, History, Romance",USD,"15,900,000.00","168,645,340.30","70,000,000.00","742,463,762.31",,Loew's Incorporated; 18 November 1959; LP15874 (in copyright registry)
2095261,La legge (1959),1959,Drama,FRF,"450,000,000.00","4,772,981,329.11","17,351.00","184,035.55",,"Cite Films (original for USA), U.S. Copyright LP19251, 6 September 1960, (onscreen notice in U.S. version states 1959, incorrect)"
2096283,La maschera del demonio (1960),1960,Horror,,,,"139,000,000.00","1,449,676,400.63",,Galatea S.p.A.
2365844,Spartacus (1960),1960,"Adventure, Biography, Drama, History",USD,"12,000,000.00","125,151,919.48","1,830,650.00","19,092,446.78","3,525,328 (France) | 2,052,343 (Spain) (31 December 2001)","Copyright 1960 Universal Pictures Company, Inc. & Bryna Productions, Inc. (on print); Universal Pictures Company, Inc. & Bryna Productions, Inc.; 6 October 1960; LP24917 (in copyright registry)"
2265148,Plein soleil (1960),1960,"Crime, Drama, Thriller",,,,"618,090.00","6,446,262.49","2,437,000 (France) (1960)",© Copyright MCMLX by Paris Film Production
2280097,Psycho (1960),1960,"Horror, Mystery, Thriller",USD,"806,947.00","8,415,913.83","32,000,000.00","333,738,451.94","724,160 (Spain)","Copyright 1960 Shamley Productions, Inc. Renewed 1988 by Universal City Studios, Inc."
2253441,Peeping Tom (1960),1960,"Horror, Thriller",GBP,"135,000.00","1,407,959.09","83,957.00","875,614.98",,© Copyright MCMLX Michael Powell (Theatre) Ltd
2408078,The Apartment (1960),1960,"Comedy, Drama, Romance",USD,"3,000,000.00","31,287,979.87","18,600,000.00","193,985,475.19",,"Copyright MCMLX by The Mirisch Company, Inc. (on print); The Mirisch Company, Inc.; 15 June 1960; LP16970 (in copyright registry)"
1787511,Breakfast at Tiffany's (1961),1961,"Comedy, Drama, Romance",USD,"2,500,000.00","25,713,329.94","8,000,000.00","82,282,655.80",,Copyright © 1961 by Paramount Pictures Corporation and Jurow-Shepherd Productions (on print); Jurow-Shepherd Productions; 5 October 1961; LP20389 (in copyright registry)
2439860,The Guns of Navarone (1961),1961,"Action, Adventure, Drama, War",USD,"6,000,000.00","61,711,991.85","28,900,000.00","297,246,094.09","10,198,000 (France)",MCMLXI Open Road Films Limited
1779474,Blue Hawaii (1961),1961,"Comedy, Musical",USD,"2,000,000.00","20,570,663.95","10,440,453.00","107,383,525.08",,"Copyright © 1961 by Hal B. Wallis and Joseph H. Hazen. Renewed by Viacom International, Inc."
2465320,The Parent Trap (1961),1961,"Comedy, Romance",,,,"25,150,385.00","258,680,059.04",,"© Copyright MCMLXI Walt Disney Productions (on print); Walt Disney Productions, Inc.; 14 April 1961; LP19429 (in copyright registry)"
2561516,West Side Story (1961),1961,"Crime, Drama, Musical, Romance",USD,"6,000,000.00","61,711,991.85","43,656,822.00","449,024,907.27","429,185 (Argentina) | 65,095 (France) (25 June 1970)",Beta Productions; 18 October 1961; LP21934 (in copyright registry)
2405818,The AbsentMinded Professor (1961),1961,"Comedy, Family, Sci-Fi, Sport",,,,"25,381,407.00","261,056,197.00",,MCMLXI Walt Disney Productions
2262428,Pit and the Pendulum (1961),1961,Horror,USD,"200,000.00","2,057,066.40","2,000,000.00","20,570,663.95",,
2057507,Jules et Jim (1962),1962,"Drama, Romance",,,,"25,589.00","261,361.83","1,567,176 (France) | 99,631 (West Germany) (1985)",© Copyright Les Films du Carrosse MCMLXII
2109093,Lawrence of Arabia (1962),1962,"Adventure, Biography, Drama, History, War",USD,"15,000,000.00","153,207,526.94","342,481.00","3,498,044.47",,Horizon Pictures (G.B.) Limited; 19 December 1962; LP25769 (in copyright registry)
2073156,Kingu Kongu tai Gojira (1962),1962,"Action, Adventure, Comedy, Horror, Sci-Fi",,,,"2,725,000.00","27,832,700.73","12,550,000 (Japan)",American version ©1963 Universal Studios
2452768,The Longest Day (1962),1962,"Action, Drama, History, War",USD,"10,000,000.00","102,138,351.30","50,000,000.00","510,691,756.48","11,906,000 (France)","Copyright © MCMLXII by Darryl F. Zanuck Productions,Inc. & Twentieth Century Fox Film Corp."
2134055,Lolita (1962),1962,"Drama, Romance",USD,"2,000,000.00","20,427,670.26","27,958.00","285,558.40","440,353 (Spain) (20 December 2002)",Copyright © MCMLXI by A.A. Productions Ltd. All Rights Reserved (on print)
2505263,To Kill a Mockingbird (1962),1962,"Crime, Drama, Mystery",USD,"2,000,000.00","20,427,670.26","13,129,846.00","134,106,082.32",,"© MCMLXII by Pakula-Mulligan Productions, Inc. & Brentwood Productions, Inc. (on print); Pakula-Mulligan Productions, Inc., Brentwood Productions, Inc.; 16 March 1963; LP35477 (in copyright registry)"
1890357,Dr. No (1962),1962,"Action, Adventure, Crime, Thriller",USD,"1,100,000.00","11,235,218.64","16,067,035.00","164,106,046.51","19,000,000 (USA)",'Dr. NO' COPYRIGHT © 1962 BY EON PRODUCTIONS LIMITED-ALL RIGHTS RESERVED
2031233,In Search of the Castaways (1962),1962,"Adventure, Family, Fantasy",,,,"21,745,500.00","222,104,951.81",,© COPYRIGHT MCMLXII WALT DISNEY PRODUCTIONS ALL RIGHTS RESERVED
2562422,What Ever Happened to Baby Jane? (1962),1962,"Drama, Horror, Thriller",USD,"980,000.00","10,009,558.43","9,000,000.00","91,924,516.17",,"Copyright 1962 The Associates & Aldrich Company, Inc."
2519338,Tsubaki Sanjûrô (1962),1962,"Action, Drama, Thriller",,,,"25,900,000.00","264,538,329.86",,
2113512,Le mépris (1963),1963,Drama,USD,"900,000.00","9,074,483.33","153,141.00","1,544,083.84","1,597,000 (France) | 5,841 (Germany) (2002)",© 1963 StudioCanal Image/Compagnia Cinematographica Champion S.P.A.
2507690,Tom Jones (1963),1963,"Adventure, Comedy, Romance",USD,"1,000,000.00","10,082,759.26","37,600,000.00","379,111,748.15",,Copyright 1963 Woodfall Films Productions
1953106,From Russia with Love (1963),1963,"Action, Adventure, Crime, Thriller",USD,"2,000,000.00","20,165,518.52","24,796,765.00","250,019,811.90","26,800,000 (USA) | 1,600,000 (Sweden)",© 1963 Danjaq S.A. (on print)
2413168,The Birds (1963),1963,"Horror, Thriller",USD,"2,500,000.00","25,206,898.15","11,403,529.00","114,979,037.61",,Alfred J. Hitchcock Productions; 21 April 1963; LP35397 (in copyright registry)
