movieid,title,Year,genres,Currency,Budget,Adjusted_Budget,Gross_Revenue,Adjusted_Gross_Revenue,Percentage_Profit_Loss,Additional_Data
1682692,8 Seconds (1994),1994,"Biography, Drama, Sport",USD,7000000.0,14755012.593063707,19604000.0,41322466.69634584,180.05714285714288,
1682922,8MM (1999),1999,"Crime, Mystery, Thriller",USD,40000000.0,75039899.62175323,36283504.0,68067762.45213704,-9.29124000000001,"787,000 (Germany) (9 May 1999) | 733,351 (Germany) (2 May 1999) | 666,842 (Germany) (25 April 1999) | 124,555 (Netherlands) (31 December 1999)"
1684430,A Bronx Tale (1993),1993,"Crime, Drama",USD,22000000.0,47624964.932525925,17266971.0,37379040.38027009,-21.513768181818186,
1684486,A Bug's Life (1998),1998,"Adventure, Animation, Comedy, Family",USD,120000000.0,228721614.04710394,162792677.0,310285031.9874071,35.66056416666665,"3,570,275 (Germany) (31 December 1999) | 3,081,709 (Germany) (28 March 1999) | 2,985,622 (Germany) (21 March 1999) | 2,816,848 (Germany) (14 March 1999) | 2,570,128 (Germany) (7 March 1999) | 2,153,117 (Germany) (28 February 1999) | 488,677 (Netherlands) (31 December 2000) | 488,411 (Netherlands) (31 December 1999) | 633,708 (Sweden) (30 December 1999) | 623,803 (Sweden) (30 September 1999) | 610,057 (Sweden) (29 July 1999)"
1685405,A Civil Action (1998),1998,Drama,USD,60000000.0,114360807.02355197,56702901.0,108076491.9822762,-5.495165,"66,083 (Germany) (25 April 1999) (opening week) | 37,443 (Netherlands) (31 December 1999)"
1685463,A Clockwork Orange (1971),1971,"Crime, Drama, Sci-Fi",USD,2200000.0,16947284.565822113,26589355.0,204826075.2757568,1108.6070454545452,"5,027,172 (Spain) (20 December 2002) | 4,229,886 (Spain) | 360,941 (Sweden) | 363,297 (West Germany) (1987) | 2,500,000 (West Germany) (1972)"
1687181,A Dog of Flanders (1999),1999,"Drama, Family",USD,7000000.0,13131982.433806814,2148212.0,4030040.321156143,-69.31125714285714,
1687905,A Few Good Men (1992),1992,"Crime, Drama, Mystery, Thriller",USD,40000000.0,89101979.8464894,141340178.0,314842242.29138064,253.35044500000006,"263,898 (Sweden)"
1688103,A Fish Called Wanda (1988),1988,"Comedy, Crime",USD,7500000.0,19956981.678315703,63493712.0,168952379.60963386,746.5828266666667,"3,775,753 (Germany) | 818,396 (Sweden)"
1689117,A Good Man in Africa (1994),1994,Comedy,USD,20000000.0,42157178.83732488,2308390.0,4865760.502814619,-88.45805,
1689475,A Hard Day's Night (1964),1964,"Comedy, Musical",USD,560000.0,5557426.363377801,1000549.0,9929423.91152017,78.66946428571427,"680,000 (Sweden)"
1690616,A League of Their Own (1992),1992,"Comedy, Drama, Sport",USD,40000000.0,89101979.8464894,107458785.0,239369762.38495594,168.64696250000003,
1690773,A Life Less Ordinary (1997),1997,"Comedy, Crime, Fantasy, Romance",USD,12000000.0,23260988.148590468,4266243.0,8269752.32183392,-64.447975,"207,644 (France) (30 December 1997) | 100,271 (France) (opening week) | 149,425 (Germany) (2 February 1998) | 66,698 (Germany) (26 January 1998) (opening week) | 96,534 (Netherlands) (31 December 1998) | 84,009 (Netherlands) (1 January 1998)"
1691077,A Little Princess (1995),1995,"Drama, Family, Fantasy",USD,17000000.0,34891530.68327766,10019307.0,20564056.330334038,-41.0629,"3,375 (Netherlands) (31 December 1997) | 3,351 (Netherlands) (1 January 1997)"
1691387,A Low Down Dirty Shame (1994),1994,"Action, Comedy, Crime",USD,10000000.0,21078589.41866244,29392418.0,61955071.10437034,193.92417999999995,
1691642,A Man for All Seasons (1966),1966,"Biography, Drama, History",USD,2000000.0,19285021.519620173,28350000.0,273365180.040616,1317.5,
1693225,A Night at the Roxbury (1998),1998,Comedy,USD,17000000.0,32402228.65667306,30324946.0,57799754.958427235,78.38203529411764,67 (Netherlands) (31 December 2000)
1693341,A Nightmare on Elm Street (1984),1984,Horror,USD,1800000.0,5452185.904443331,10777659.0,32645444.712609336,498.7588333333333,
1693345,A Nightmare on Elm Street 3: Dream Warriors (1987),1987,"Horror, Thriller",USD,4500000.0,12501053.32329696,44053755.0,122381853.41032445,878.9723333333333,
1693346,A Nightmare on Elm Street 4: The Dream Master (1988),1988,"Horror, Thriller",USD,7000000.0,18626516.23309466,49336557.0,131281168.54935712,604.807957142857,
1693347,A Nightmare on Elm Street Part 2: Freddy's Revenge (1985),1985,Horror,USD,2200000.0,6413650.406253517,23060333.0,67227688.23354153,948.1969545454544,"15,671 (Sweden)"
1693348,A Nightmare on Elm Street: The Dream Child (1989),1989,"Comedy, Fantasy, Horror, Thriller",USD,8000000.0,20390275.022544783,22168359.0,56502367.10106322,177.10448749999995,
1695355,A Room with a View (1985),1985,"Drama, Romance",USD,3000000.0,8745886.917618431,15905912.0,46370435.891196676,430.19706666666673,"152,861 (Sweden)"
1696148,A Simple Plan (1998),1998,"Crime, Drama, Thriller",USD,17000000.0,32402228.65667306,16311763.0,31090439.67761525,-4.048452941176476,"37,837 (Germany) | 24,016 (Netherlands) (31 December 2000) | 23,702 (Netherlands) (31 December 1999) | 69,448 (Spain) (31 March 2003)"
1696168,A Simple Wish (1997),1997,"Comedy, Fantasy",USD,28000000.0,54275639.013377756,8119205.0,15738394.273414705,-71.00283928571429,
1696396,A Smile Like Yours (1997),1997,"Comedy, Romance",USD,18000000.0,34891482.2228857,3247524.0,6295051.439688592,-81.95819999999999,928 (Netherlands) (1 January 1998)
1696496,A Soldier's Story (1984),1984,"Drama, Mystery, War",USD,6000000.0,18173953.014811102,19758558.0,59848517.455403335,229.30929999999998,
1697037,A Streetcar Named Desire (1951),1951,Drama,USD,1800000.0,22096777.036310032,8000000.0,98207897.9391557,344.44444444444446,
1697674,A Thin Line Between Love and Hate (1996),1996,"Comedy, Crime, Romance, Thriller",USD,8000000.0,16019067.171662627,34746109.0,69575031.75311393,334.3263625000001,
1697856,A Time to Kill (1996),1996,"Crime, Drama, Thriller",USD,40000000.0,80095335.85831313,108706165.0,217671419.88860512,171.76541250000002,"1,247,425 (Germany) (15 December 1996) | 1,057,222 (Germany) (1 December 1996) | 649,435 (Germany) (17 November 1996) | 155,207 (Netherlands) (31 December 1997) | 154,795 (Netherlands) (1 January 1997) | 116,445 (Portugal) (31 October 1996) | 101,543 (Portugal) (24 October 1996) | 67,401 (Portugal) (10 October 1996) | 36,190 (Portugal) (3 October 1996) | 394,681 (Spain)"
1698492,A Very Brady Sequel (1996),1996,Comedy,USD,15000000.0,30035750.946867425,21397954.0,42846907.807768375,42.65302666666667,
1698667,A View to a Kill (1985),1985,"Action, Adventure, Crime, Thriller",USD,30000000.0,87458869.17618433,49667091.0,144794253.80435473,65.55696999999999,"14,100,000 (USA) | 2,423,306 (France) | 1,553,971 (Spain) | 947,853 (Sweden)"
1698944,A Walk in the Clouds (1995),1995,"Drama, Romance",USD,20000000.0,41048859.62738548,50012507.0,102647818.97283168,150.06253499999997,"17,548 (Netherlands) (1 January 1997)"
1698972,A Walk on the Moon (1999),1999,"Drama, Romance",USD,14000000.0,26263964.86761363,4741987.0,8895955.712191468,-66.12866428571428,
1699546,A Woman of Paris: A Drama of Fate (1923),1923,"Drama, Romance",USD,351000.0,6362395.895400949,36358.0,659042.7064529564,-89.64159544159544,"37,887 (Spain) (31 August 2002)"
1703907,Absolute Power (1997),1997,"Crime, Drama, Thriller",USD,50000000.0,96920783.95246027,50007168.0,96934678.5160477,0.014336000000002512,"813,293 (France) (24 June 1997) | 298,196 (France) (27 May 1997) | 106,920 (France) (27 May 1997) (opening week) | 16,402 (France) (21 May 1997) (opening day) | 977,659 (France) | 322,270 (France) | 617,293 (Germany) (30 June 1997) | 585,470 (Germany) (23 June 1997) | 533,791 (Germany) (16 June 1997) | 472,436 (Germany) (9 June 1997) | 372,588 (Germany) (2 June 1997) | 171,997 (Germany) (opening week) | 42,828 (Netherlands) (1 January 1998) | 114,159 (Portugal) (26 June 1997) | 104,895 (Portugal) (19 June 1997) | 94,021 (Portugal) (12 June 1997) | 72,665 (Portugal) (5 June 1997) | 47,306 (Portugal) (29 May 1997) (opening week)"
1704569,Ace Ventura: Pet Detective (1994),1994,Comedy,USD,12000000.0,25294307.302394927,72217000.0,152223249.20475453,501.80833333333334,"490,132 (France) (25 April 1995) | 117,711 (Sweden)"
1704571,Ace Ventura: When Nature Calls (1995),1995,Comedy,USD,30000000.0,61573289.441078216,108344348.0,222370596.62363014,261.1478266666667,"540,949 (France) (3 September 1996) | 434,589 (France) (6 August 1996) | 329,421 (Netherlands) (1 January 1997) | 173,029 (Portugal) (18 April 1996)"
1705417,Action Jackson (1988),1988,"Action, Comedy, Crime, Thriller",USD,7000000.0,18626516.23309466,20257000.0,53902477.0476855,189.3857142857143,
1707941,Affliction (1997),1997,"Drama, Mystery, Thriller",USD,6000000.0,11630494.074295234,6302154.0,12216194.125382667,5.035899999999998,"5,778 (Netherlands) (31 December 2001)"
1709238,Against All Odds (1984),1984,"Action, Adventure, Crime, Drama, Romance, Thriller",USD,13000000.0,39376898.19875739,25100000.0,76027703.44529311,93.0769230769231,"165,777 (Sweden)"
1711133,Air America (1990),1990,"Action, Comedy",USD,35000000.0,85284372.10672414,31053601.0,75668196.08393545,-11.275425714285715,"73,804 (Sweden)"
1711143,Air Bud (1997),1997,"Comedy, Drama, Family, Sport",USD,3000000.0,5815247.037147617,23125940.0,44827684.68875118,670.8646666666666,"70,380 (Netherlands) (31 December 1999) | 70,099 (Netherlands) (31 December 1998)"
1711175,Air Force One (1997),1997,"Action, Adventure, Drama, Thriller",USD,85000000.0,164765332.71918246,172650002.0,334667470.8646767,103.11764941176473,"862,331 (France) (28 October 1997) | 394,197 (France) (opening week) | 20,824 (France) (opening day) | 2,275,901 (Germany) (1 December 1997) | 2,205,167 (Germany) (24 November 1997) | 2,056,849 (Germany) (17 November 1997) | 1,772,811 (Germany) (10 November 1997) | 1,320,076 (Germany) (3 November 1997) | 602,597 (Germany) (27 October 1997) (opening week) | 342,234 (Netherlands) (31 December 1998) | 335,854 (Netherlands) (1 January 1998)"
1711384,Airplane! (1980),1980,Comedy,USD,3500000.0,13993981.779977158,83453539.0,333670658.3544609,2284.386828571429,"467,615 (Sweden)"
1711395,Airport (1970),1970,"Drama, Thriller",USD,10000000.0,81346965.91594613,100489150.0,817448745.9972398,904.8915000000001,
1711398,Airport 1975 (1974),1974,"Action, Drama, Thriller",USD,3000000.0,19904363.36617367,47285152.0,313726949.0775845,1476.171733333333,"260,926 (Sweden)"
1713183,Aladdin (1992),1992,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",USD,28000000.0,62371385.892542586,217042825.0,483473635.47437817,675.1529464285713,"1,386,980 (Argentina) | 6,347,000 (Germany) | 1,047,615 (Sweden)"
1713499,Alaska (1996),1996,"Adventure, Family",USD,23000000.0,46054818.11853005,11567023.0,23161614.80164582,-49.70859565217391,"246,665 (Germany) (1996) | 5,504 (Spain)"
1713755,Albino Alligator (1996),1996,"Crime, Drama, Thriller",USD,5000000.0,10011916.982289141,326308.0,653393.7213313611,-93.47384,
1715186,Alien (1979),1979,"Horror, Sci-Fi",USD,11000000.0,49830569.97824437,80930630.0,366619947.41803664,635.733,"2,809,875 (France) | 1,385,423 (Spain) (31 August 2002) | 284,649 (Sweden)"
1715288,Alien Nation (1988),1988,"Crime, Drama, Sci-Fi, Thriller",USD,16000000.0,42574894.2470735,25216243.0,67098679.93959422,57.601518750000004,"30,666 (Sweden)"
1715380,Alien: Resurrection (1997),1997,"Action, Sci-Fi, Thriller",USD,75000000.0,145381175.9286904,47748610.0,92556654.27680568,-36.335186666666665,"2,523,389 (France) (30 December 1997) | 1,811,773 (Germany) (5 January 1998) | 1,696,878 (Germany) (29 December 1997) | 1,538,977 (Germany) (22 December 1997) | 1,398,198 (Germany) (15 December 1997) | 1,062,372 (Germany) (8 December 1997) | 586,143 (Germany) (1 December 1997) (opening week) | 136,371 (Netherlands) (31 December 1998) | 114,220 (Netherlands) (1 January 1998) | 1,568,859 (Spain) (31 August 2002)"
1715404,Aliens (1986),1986,"Action, Adventure, Sci-Fi, Thriller",USD,18500000.0,51958544.62939658,77632096.0,218035174.30754593,319.6329513513513,"1,720,593 (France) (31 August 2002) | 401,077 (France) | 1,718,564 (France) | 982,600 (Spain) (31 August 2002) | 218,833 (Sweden)"
1715607,Alive (1993),1993,"Action, Adventure, Biography, Drama, Sport, Thriller",USD,32000000.0,69272676.26549225,36733909.0,79520505.81634538,14.793465625000005,
1716019,All Dogs Go to Heaven (1989),1989,"Animation, Comedy, Drama, Fantasy",USD,14000000.0,35682981.289453365,27100027.0,69072125.45604865,93.57162142857145,
1717144,All the Vermeers in New York (1990),1990,"Comedy, Drama, Romance",USD,250000.0,609174.086476601,142721.0,347767.73918410786,-42.9116,
1718318,Almost Famous (2000),2000,"Drama, Music",USD,60000000.0,109600632.35893856,32522352.0,59407839.08333317,-45.79608,"80,831 (France) (27 March 2001) | 42,946 (Netherlands) (31 December 2002) | 32,908 (Netherlands) (31 December 2001) | 212,680 (Spain) (31 August 2002) | 185,853 (Spain) (30 June 2001)"
1720040,Amadeus (1984),1984,"Biography, Drama, Music",USD,18000000.0,54521859.04443331,366401.0,1109825.7597633004,-97.96443888888889,"1,876,753 (Argentina) (20 December 1994) (re-release) | 1,620,842 (Argentina) | 1,061,779 (Sweden)"
1721568,American Beauty (1999),1999,Drama,USD,15000000.0,28139962.35815746,130058047.0,243988569.79703158,767.0536466666666,"340,965 (Denmark) | 4,010,034 (Germany) (16 November 2003) | 3,990,820 (Germany) (31 December 2000) | 636,477 (Netherlands) (31 December 2001) | 634,772 (Netherlands) (31 December 2000) | 4,105,424 (Spain) | 625,917 (Switzerland)"
1721888,American Gigolo (1980),1980,"Crime, Drama, Thriller",USD,4800000.0,19191746.44111153,23000000.0,91960451.69699274,379.1666666666666,
1721919,American Graffiti (1973),1973,"Comedy, Drama",USD,777000.0,5603735.131568974,21300000.0,153615905.15111858,2641.3127413127413,"1,100,000 (Sweden) | 1,075,976 (Sweden)"
1721967,American History X (1998),1998,"Crime, Drama",USD,7500000.0,14295100.877943996,6712241.0,12793621.628276225,-10.503453333333331,"330,652 (Germany) (31 December 1999) | 94,927 (Germany) (7 March 1999) | 46,710 (Netherlands) (31 December 2000) | 46,265 (Netherlands) (31 December 1999)"
1722164,American Pie (1999),1999,"Comedy, Romance",USD,11000000.0,20635972.395982135,101736215.0,190856884.0374276,824.8746818181818,"927,212 (Argentina) (7 March 2000) | 6,140,123 (Germany) (31 December 2000) | 5,801,407 (Germany) | 332,143 (Netherlands) (31 December 2000) | 156,467 (Sweden) (30 September 1999)"
1722174,American Pimp (1999),1999,Documentary,USD,650000.0,1219398.3688534899,287724.0,539769.5019692332,-55.73476923076923,
1722198,American Psycho (2000),2000,"Crime, Drama",USD,7000000.0,12786740.441876166,15070285.0,27528546.097157106,115.2897857142857,"2,740,051 (USA) (31 December 2001) | 832,265 (UK) (31 December 2001) | 91,049 (Belgium) (31 December 2001) | 367,154 (France) (31 December 2001) | 324,717 (Germany) (31 December 2001) | 142,623 (Italy) (31 December 2001) | 64,485 (Netherlands) (31 December 2001) | 63,145 (Netherlands) (31 December 2000) | 690,104 (Spain) (10 August 2002) | 683,906 (Spain) (25 June 2001)"
1722761,Amistad (1997),1997,"Drama, History, Mystery",USD,40000000.0,77536627.16196822,44175394.0,85630276.3577762,10.438485,"77,408 (Germany) (1 March 1998) (opening week) | 79,121 (Netherlands) (31 December 1999) | 78,908 (Netherlands) (31 December 1998) | 403,392 (Spain) | 90,605 (Switzerland)"
1724037,An Alan Smithee Film: Burn Hollywood Burn (1997),1997,Comedy,USD,10000000.0,19384156.790492054,43904.0,85104.20197297631,-99.56096,"4,519 (Germany) (14 June 1998) (opening week)"
1724190,An American Werewolf in London (1981),1981,Horror,USD,10000000.0,35540271.187243596,20445527.0,72663957.41461109,104.45526999999997,"127,618 (Sweden)"
1724193,An American Werewolf in Paris (1997),1997,"Comedy, Horror, Romance, Thriller",USD,22000000.0,42645144.93908252,26521435.0,51409565.43488437,20.55197727272729,"76,478 (Germany) (19 January 1998) (opening week)"
1724201,An American in Paris (1951),1951,"Musical, Romance",USD,2723903.0,33438598.477520004,4500000.0,55241942.59077508,65.20412070473874,
1724413,An Awfully Big Adventure (1995),1995,"Comedy, Drama",USD,4000000.0,8209771.925477096,258195.0,529930.5155746397,-93.545125,
1724880,An Ideal Husband (1999),1999,"Comedy, Romance",USD,14000000.0,26263964.86761363,18535191.0,34771971.802750595,32.39422142857143,"20,288 (Netherlands) (31 December 2001) | 20,100 (Netherlands) (31 December 2000)"
1725774,Anaconda (1997),1997,"Adventure, Thriller",USD,45000000.0,87228705.55721425,65557989.0,127078633.76453535,45.68442000000002,"606,052 (France) (29 July 1997) | 443,422 (France) (opening week) | 747,318 (Germany) (11 August 1997) | 685,329 (Germany) (4 August 1997) | 527,213 (Germany) (28 July 1997) | 291,802 (Germany) (opening week) | 60,141 (Netherlands) (1 January 1998) | 145,918 (Portugal) (4 September 1997) | 124,953 (Portugal) (28 August 1997) | 99,247 (Portugal) (21 August 1997) | 65,388 (Portugal) (14 August 1997) (opening week)"
1726761,Analyze This (1999),1999,"Comedy, Crime",USD,30000000.0,56279924.71631492,106694016.0,200157706.27204332,255.64672000000002,"1,148,208 (Germany) (11 July 1999) | 1,119,582 (Germany) (4 July 1999) | 1,080,695 (Germany) (27 June 1999) | 924,112 (Germany) (13 June 1999) | 780,157 (Germany) (6 June 1999) | 553,935 (Germany) (30 May 1999) | 188,486 (Netherlands) (31 December 2000) | 184,592 (Netherlands) (31 December 1999) | 1,216,178 (Spain) (20 December 2002)"
1726934,Anastasia (1997),1997,"Adventure, Animation, Drama, Family, Fantasy, Musical",USD,53000000.0,102736030.9896079,58297830.0,113005427.72654514,9.995905660377344,"629,339 (Germany) (27 April 1998) | 159,066 (Germany) (6 April 1998) | 247,227 (Netherlands) (31 December 1998)"
1727413,And Now for Something Completely Different (1971),1971,Comedy,USD,100000.0,770331.1166282778,378828.0,2918229.962500572,278.8279999999999,"130,331 (Denmark) (1980) | 175,559 (Spain)"
1728802,Angel Heart (1987),1987,"Horror, Mystery, Thriller",USD,17000000.0,47226201.44356629,17185632.0,47741889.33923524,1.091952941176469,"116,973 (Sweden) | 1,327,597 (West Germany) (1987)"
1729026,Angela's Ashes (1999),1999,Drama,USD,25000000.0,46899937.26359577,13038660.0,24460493.440054223,-47.84536000000001,"59,280 (Netherlands) (31 December 2001) | 58,176 (Netherlands) (31 December 2000)"
1729260,Angels in the Outfield (1994),1994,"Comedy, Family, Fantasy, Sport",USD,24000000.0,50588614.60478985,50236831.0,105892153.43437332,109.32012916666667,
1729818,Animal House (1978),1978,"Comedy, Romance",USD,3000000.0,14813269.438987205,201747.0,996177.5565024505,-93.2751,"379,493 (Sweden)"
1730566,Anna Karenina (1997),1997,"Drama, Romance",USD,35000000.0,67844548.76672219,791830.0,1534895.6871415323,-97.73762857142857,"301,107 (France) (24 June 1997) | 135,123 (France) (opening week)"
1730640,Anna and the King (1999),1999,"Comedy, Drama, History, Romance",USD,75000000.0,140699811.79078728,39251128.0,73635017.62901469,-47.66516266666666,"1,206,020 (Germany) | 194,414 (Netherlands) (31 December 2001) | 194,185 (Netherlands) (31 December 2000) | 1,547,334 (Spain) (10 August 2002)"
1730975,Annie Hall (1977),1977,"Comedy, Drama, Romance",USD,4000000.0,21074344.655199125,38251425.0,201530928.50062507,856.2856250000001,"1,344,539 (France) | 200,544 (Hungary) (1980) | 1,915,584 (Spain) | 291,482 (Sweden)"
1731412,Another Day in Paradise (1998),1998,"Crime, Drama, Thriller",USD,4500000.0,8577060.526766397,1025234.0,1954109.793799738,-77.21702222222223,"4,010 (Netherlands) (31 December 1999)"
1732496,Antz (1998),1998,"Adventure, Animation, Comedy, Family",USD,60000000.0,114360807.02355197,90646554.0,172773551.15573305,51.077589999999994,"1,096,698 (Germany) (20 December 1998) | 1,036,023 (Germany) (13 December 1998) | 959,281 (Germany) (6 December 1998) | 755,210 (Germany) (22 November 1998) | 555,236 (Germany) (15 November 1998) | 253,563 (Germany) (8 November 1998) (opening week) | 122,084 (Netherlands) (31 December 1999) | 183,312 (Switzerland)"
1732658,Any Given Sunday (1999),1999,"Drama, Sport",USD,55000000.0,103179861.97991069,75530832.0,141695651.29068765,37.32878545454545,"384,331 (Germany) | 47,839 (Netherlands) (31 December 2001) | 47,808 (Netherlands) (31 December 2000)"
1732858,Anywhere But Here (1999),1999,"Comedy, Drama",USD,23000000.0,43147942.282508105,18653615.0,34994134.92957076,-18.89732608695652,
1733479,Apocalypse Now (1979),1979,"Drama, War",USD,31500000.0,142696632.21042705,4626290.0,20957333.41678656,-85.31336507936508,"1,061,543 (Hungary) | 2,327,173 (Spain) (first release) | 320,721 (Sweden) | 3,366,675 (West Germany) (1979)"
1733566,Apollo 13 (1995),1995,"Drama, History",USD,62000000.0,127251464.84489499,1736281.0,3563617.752134824,-97.19954677419355,"1,911,470 (France) (2 January 1996)"
1734162,April Fool's Day (1986),1986,"Comedy, Horror, Mystery",USD,5000000.0,14042849.899836913,12543892.0,35230398.50315301,150.87784,
1734321,Apt Pupil (1998),1998,"Drama, Thriller",USD,14000000.0,26684188.30549546,8838938.0,16847134.715185672,-36.86472857142858,"2,840 (Netherlands) (31 December 1999)"
1734803,Arachnophobia (1990),1990,"Comedy, Horror, Sci-Fi, Thriller",USD,31000000.0,75537586.72309852,53133888.0,129471150.73340012,71.39963870967743,"146,785 (Sweden)"
1736211,Arlington Road (1999),1999,"Mystery, Thriller",USD,21500000.0,40333946.04669236,24362501.0,45703990.73937156,13.313958139534881,"264,630 (Netherlands) (31 December 1999)"
1736268,Armageddon (1998),1998,"Action, Adventure, Sci-Fi, Thriller",USD,140000000.0,266841883.0549546,201573391.0,384201594.4872331,43.98099357142857,"4,479,748 (France) (13 October 1998) | 3,859,295 (France) (9 September 1998) | 48,733 (France) (opening day) | 5,048,194 (Germany) (13 September 1998) | 4,933,193 (Germany) (6 September 1998) | 4,510,696 (Germany) (23 August 1998) | 4,174,031 (Germany) (16 August 1998) | 2,293,708 (Germany) (26 July 1998) | 1,274,643 (Germany) (19 July 1998) (opening weekend) | 747,213 (Netherlands) (31 December 1998) | 2,473,657 (Spain) | 592,752 (Sweden) (31 December 1998)"
1736362,Armed and Dangerous (1986),1986,"Action, Comedy, Crime",USD,12000000.0,33702839.75960859,15945534.0,44784148.10694922,32.879450000000006,
1736592,Army of Darkness (1992),1992,"Comedy, Fantasy, Horror",USD,13000000.0,28958143.450109057,11502976.0,25623448.39316628,-11.515569230769238,"557,418 (Germany) (1993) | 324,300 (Spain)"
1736794,Around the World in 80 Days (2004),2004,"Action, Adventure, Comedy, Family, Romance, Western",USD,110000000.0,183301537.31052312,24004159.0,39999993.15042027,-78.17803727272727,"6,409 (Estonia) | 1,202,755 (Germany) (13 February 2005) | 1,114,339 (Germany) (6 February 2005) | 1,045,039 (Germany) (30 January 2005) | 952,319 (Germany) (23 January 2005) | 835,307 (Germany) (16 January 2005) | 695,610 (Germany) (6 January 2005) | 120,705 (Germany) (26 December 2004)"
1737766,Arthur (1981),1981,"Comedy, Romance",USD,7000000.0,24878189.831070516,88595661.0,314871381.7953101,1165.6522999999997,"103,115 (West Germany) (1982)"
1738481,As Good as It Gets (1997),1997,"Comedy, Drama, Romance",USD,50000000.0,96920783.95246027,147637474.0,286182794.41681945,195.27494800000002,"2,786,327 (Germany) (1 June 1998) | 2,678,965 (Germany) (11 May 1998) | 2,633,035 (Germany) (4 May 1998) | 2,538,215 (Germany) (27 April 1998) | 2,052,260 (Germany) (6 April 1998) | 1,847,022 (Germany) (30 March 1998) | 1,665,804 (Germany) (23 March 1998) | 1,502,399 (Germany) (16 March 1998) | 1,273,264 (Germany) (9 March 1998) | 629,505 (Germany) (23 February 1998) | 264,126 (Germany) (16 February 1998) (opening week) | 3,002,836 (Germany) (1998) | 294,710 (Netherlands) (31 December 1999) | 294,153 (Netherlands) (31 December 1998) | 442,130 (Portugal) | 396,134 (Sweden) (31 December 1998)"
1740752,Assassins (1995),1995,"Action, Crime, Thriller",USD,50000000.0,102622149.0684637,30306268.0,62201887.048096225,-39.387464,"449,376 (France) (28 November 1995) | 504,354 (France) | 683,815 (Germany)"
1740811,Assault on Precinct 13 (1976),1976,"Action, Thriller",USD,150000.0,829012.0328738951,273623.0,1512245.0631403588,82.41533333333334,
1741682,At First Sight (1999),1999,"Drama, Romance",USD,60000000.0,112559849.43262984,22326247.0,41883983.34526172,-62.789588333333334,"4,402,585 (USA) (1999) | 30,447 (UK) (1999) | 81,796 (Belgium) (1999) | 11,649 (Bulgaria) (1999) | 132,062 (France) (1999) | 21,704 (Germany) (13 June 1999) | 67,027 (Germany) (1999) | 34,853 (Hungary) (1999) | 215,630 (Italy) (1999) | 4,093 (Netherlands) (31 December 1999) | 39,525 (Poland) (1999) | 25,027 (Romania) (1999) | 179,554 (Spain) (30 June 2001) | 4,248 (Sweden) (1999)"
