movieid,title,genre
1693348,"A Nightmare on Elm Street: The Dream Child (1989)",Horror
1693348,"A Nightmare on Elm Street: The Dream Child (1989)",Thriller
1693818,"A Perfect Candidate (1996)",Documentary
1693861,"A Perfect Murder (1998)",Crime
1693861,"A Perfect Murder (1998)",Drama
1693861,"A Perfect Murder (1998)",Thriller
1693880,"A Perfect World (1993)",Crime
1693880,"A Perfect World (1993)",Drama
1693880,"A Perfect World (1993)",Thriller
1694141,"A Place in the Sun (1951)",Drama
1694141,"A Place in the Sun (1951)",Romance
1694448,"A Price Above Rubies (1998)",Drama
1694448,"A Price Above Rubies (1998)",Romance
1694647,"A Pyromaniac's Love Story (1995)",Comedy
1694647,"A Pyromaniac's Love Story (1995)",Romance
1694901,"A Raisin in the Sun (1961)",Drama
1695219,"A River Runs Through It (1992)",Drama
1695355,"A Room with a View (1985)",Drama
1695355,"A Room with a View (1985)",Romance
1696148,"A Simple Plan (1998)",Crime
1696148,"A Simple Plan (1998)",Drama
1696148,"A Simple Plan (1998)",Thriller
1696165,"A Simple Twist of Fate (1994)",Comedy
1696165,"A Simple Twist of Fate (1994)",Drama
1696168,"A Simple Wish (1997)",Comedy
1696168,"A Simple Wish (1997)",Fantasy
1696396,"A Smile Like Yours (1997)",Comedy
1696396,"A Smile Like Yours (1997)",Romance
1696473,"A Soldier's Daughter Never Cries (1998)",Drama
1696496,"A Soldier's Story (1984)",Drama
1696496,"A Soldier's Story (1984)",Mystery
1696496,"A Soldier's Story (1984)",War
1696789,"A Star Is Born (1937)",Drama
1697037,"A Streetcar Named Desire (1951)",Drama
1697674,"A Thin Line Between Love and Hate (1996)",Comedy
1697674,"A Thin Line Between Love and Hate (1996)",Crime
1697674,"A Thin Line Between Love and Hate (1996)",Romance
1697674,"A Thin Line Between Love and Hate (1996)",Thriller
1697690,"A Thousand Acres (1997)",Drama
1697774,"A Tickle in the Heart (1996)",Documentary
1697774,"A Tickle in the Heart (1996)",Music
1697856,"A Time to Kill (1996)",Crime
1697856,"A Time to Kill (1996)",Drama
1697856,"A Time to Kill (1996)",Thriller
1698492,"A Very Brady Sequel (1996)",Comedy
1698547,"A Very Natural Thing (1974)",Drama
1698547,"A Very Natural Thing (1974)",Romance
1698667,"A View to a Kill (1985)",Action
1698667,"A View to a Kill (1985)",Adventure
1698667,"A View to a Kill (1985)",Crime
1698667,"A View to a Kill (1985)",Thriller
1698944,"A Walk in the Clouds (1995)",Drama
1698944,"A Walk in the Clouds (1995)",Romance
1698960,"A Walk in the Sun (1945)",Drama
1698960,"A Walk in the Sun (1945)",War
1698972,"A Walk on the Moon (1999)",Drama
1698972,"A Walk on the Moon (1999)",Romance
1699546,"A Woman of Paris: A Drama of Fate (1923)",Drama
1699546,"A Woman of Paris: A Drama of Fate (1923)",Romance
1699876,"A Zed & Two Noughts (1986)",Comedy
1699876,"A Zed & Two Noughts (1986)",Drama
1703410,"About Adam (2000)",Comedy
1703410,"About Adam (2000)",Romance
1703469,"About Last Night... (1986)",Comedy
1703469,"About Last Night... (1986)",Drama
1703469,"About Last Night... (1986)",Romance
1703588,"Above the Rim (1994)",Crime
1703588,"Above the Rim (1994)",Drama
1703588,"Above the Rim (1994)",Sport
1703679,"Abre los ojos (1997)",Drama
1703679,"Abre los ojos (1997)",Mystery
1703679,"Abre los ojos (1997)",Romance
1703679,"Abre los ojos (1997)",Sci-Fi
1703907,"Absolute Power (1997)",Crime
1703907,"Absolute Power (1997)",Drama
1703907,"Absolute Power (1997)",Thriller
1704569,"Ace Ventura: Pet Detective (1994)",Comedy
1704571,"Ace Ventura: When Nature Calls (1995)",Comedy
1704577,"Ace in the Hole (1951)",Drama
1704577,"Ace in the Hole (1951)",Film-Noir
1704645,"Aces: Iron Eagle III (1992)",Action
1704645,"Aces: Iron Eagle III (1992)",Drama
1705196,"Across the Sea of Time (1995)",Adventure
1705196,"Across the Sea of Time (1995)",Drama
1705196,"Across the Sea of Time (1995)",Family
1705196,"Across the Sea of Time (1995)",History
1705417,"Action Jackson (1988)",Action
1705417,"Action Jackson (1988)",Comedy
1705417,"Action Jackson (1988)",Crime
1705417,"Action Jackson (1988)",Thriller
1706079,"Addams Family Values (1993)",Comedy
1706079,"Addams Family Values (1993)",Fantasy
1706140,"Addicted to Love (1997)",Comedy
1706140,"Addicted to Love (1997)",Romance
1706887,"Adrenalin: Fear the Rush (1996)",Action
1706887,"Adrenalin: Fear the Rush (1996)",Sci-Fi
1706887,"Adrenalin: Fear the Rush (1996)",Thriller
1707277,"Adventures in Babysitting (1987)",Action
1707277,"Adventures in Babysitting (1987)",Adventure
1707277,"Adventures in Babysitting (1987)",Comedy
1707277,"Adventures in Babysitting (1987)",Thriller
1707941,"Affliction (1997)",Drama
1707941,"Affliction (1997)",Mystery
1707941,"Affliction (1997)",Thriller
1708591,"After Life (1999)",Drama
1708591,"After Life (1999)",Short
1708982,"Afterglow (1997)",Comedy
1708982,"Afterglow (1997)",Drama
1708982,"Afterglow (1997)",Romance
1709238,"Against All Odds (1984)",Action
1709238,"Against All Odds (1984)",Adventure
1709238,"Against All Odds (1984)",Crime
1709238,"Against All Odds (1984)",Drama
1709238,"Against All Odds (1984)",Romance
1709238,"Against All Odds (1984)",Thriller
1709892,"Agnes Browne (1999)",Comedy
1709892,"Agnes Browne (1999)",Drama
1709892,"Agnes Browne (1999)",Romance
1709901,"Agnes of God (1985)",Drama
1709901,"Agnes of God (1985)",Mystery
1709901,"Agnes of God (1985)",Thriller
1710609,"Ai no borei (1978)",Drama
1710609,"Ai no borei (1978)",Horror
1710609,"Ai no borei (1978)",Romance
1710609,"Ai no borei (1978)",Thriller
1710622,"Ai no korîda (1976)",Drama
1710622,"Ai no korîda (1976)",History
1710622,"Ai no korîda (1976)",Romance
1710673,"Ai qing wan sui (1994)",Drama
1710994,"Aimée & Jaguar (1999)",Drama
1710994,"Aimée & Jaguar (1999)",Romance
1710994,"Aimée & Jaguar (1999)",War
1711133,"Air America (1990)",Action
1711133,"Air America (1990)",Comedy
1711143,"Air Bud (1997)",Comedy
1711143,"Air Bud (1997)",Drama
1711143,"Air Bud (1997)",Family
1711143,"Air Bud (1997)",Sport
1711145,"Air Bud: Golden Receiver (1998)",Comedy
1711145,"Air Bud: Golden Receiver (1998)",Family
1711145,"Air Bud: Golden Receiver (1998)",Sport
1711175,"Air Force One (1997)",Action
1711175,"Air Force One (1997)",Adventure
1711175,"Air Force One (1997)",Drama
1711175,"Air Force One (1997)",Thriller
1711356,"Airheads (1994)",Comedy
1711356,"Airheads (1994)",Crime
1711356,"Airheads (1994)",Music
1711383,"Airplane II: The Sequel (1982)",Comedy
1711383,"Airplane II: The Sequel (1982)",Romance
1711383,"Airplane II: The Sequel (1982)",Sci-Fi
1711384,"Airplane! (1980)",Comedy
1711393,"Airport '77 (1977)",Action
1711393,"Airport '77 (1977)",Drama
1711393,"Airport '77 (1977)",Thriller
1711395,"Airport (1970)",Drama
1711395,"Airport (1970)",Thriller
1711398,"Airport 1975 (1974)",Action
1711398,"Airport 1975 (1974)",Drama
1711398,"Airport 1975 (1974)",Thriller
1712152,"Akira (1988)",Animation
1712152,"Akira (1988)",Sci-Fi
1713183,"Aladdin (1992)",Adventure
1713183,"Aladdin (1992)",Animation
1713183,"Aladdin (1992)",Comedy
1713183,"Aladdin (1992)",Family
1713183,"Aladdin (1992)",Fantasy
1713183,"Aladdin (1992)",Musical
1713183,"Aladdin (1992)",Romance
1713499,"Alaska (1996)",Adventure
1713499,"Alaska (1996)",Family
1713755,"Albino Alligator (1996)",Crime
1713755,"Albino Alligator (1996)",Drama
1713755,"Albino Alligator (1996)",Thriller
1714481,"Algiers (1938)",Drama
1714481,"Algiers (1938)",Mystery
1714481,"Algiers (1938)",Romance
1714991,"Alice et Martin (1998)",Drama
1714991,"Alice et Martin (1998)",Romance
1715025,"Alice in Wonderland (1951)",Adventure
1715025,"Alice in Wonderland (1951)",Animation
1715025,"Alice in Wonderland (1951)",Family
1715025,"Alice in Wonderland (1951)",Fantasy
1715025,"Alice in Wonderland (1951)",Musical
1715186,"Alien (1979)",Horror
1715186,"Alien (1979)",Sci-Fi
1715253,"Alien Escape (1997)",Sci-Fi
1715288,"Alien Nation (1988)",Crime
1715288,"Alien Nation (1988)",Drama
1715288,"Alien Nation (1988)",Sci-Fi
1715288,"Alien Nation (1988)",Thriller
1715380,"Alien: Resurrection (1997)",Action
1715380,"Alien: Resurrection (1997)",Sci-Fi
1715380,"Alien: Resurrection (1997)",Thriller
1715404,"Aliens (1986)",Action
1715404,"Aliens (1986)",Adventure
1715404,"Aliens (1986)",Sci-Fi
1715404,"Aliens (1986)",Thriller
1715607,"Alive (1993)",Action
1715607,"Alive (1993)",Adventure
1715607,"Alive (1993)",Biography
1715607,"Alive (1993)",Drama
1715607,"Alive (1993)",Sport
1715607,"Alive (1993)",Thriller
1715793,"All About Eve (1950)",Drama
1716019,"All Dogs Go to Heaven (1989)",Animation
1716019,"All Dogs Go to Heaven (1989)",Comedy
1716019,"All Dogs Go to Heaven (1989)",Drama
1716019,"All Dogs Go to Heaven (1989)",Fantasy
1716020,"All Dogs Go to Heaven 2 (1996)",Adventure
1716020,"All Dogs Go to Heaven 2 (1996)",Animation
1716020,"All Dogs Go to Heaven 2 (1996)",Family
1716020,"All Dogs Go to Heaven 2 (1996)",Fantasy
1716020,"All Dogs Go to Heaven 2 (1996)",Romance
1716411,"All Over Me (1997)",Drama
1716452,"All Quiet on the Western Front (1930)",Drama
1716452,"All Quiet on the Western Front (1930)",War
1716615,"All That Jazz (1979)",Drama
1716615,"All That Jazz (1979)",Fantasy
1716615,"All That Jazz (1979)",Music
1716615,"All That Jazz (1979)",Musical
1717077,"All the King's Men (1949)",Drama
1717117,"All the Rage (1999)",Drama
1717144,"All the Vermeers in New York (1990)",Comedy
1717144,"All the Vermeers in New York (1990)",Drama
1717144,"All the Vermeers in New York (1990)",Romance
1717455,"Allan Quatermain and the Lost City of Gold (1986)",Action
1717455,"Allan Quatermain and the Lost City of Gold (1986)",Adventure
1717455,"Allan Quatermain and the Lost City of Gold (1986)",Comedy
1717910,"Alligator (1980)",Horror
1717910,"Alligator (1980)",Sci-Fi
1718318,"Almost Famous (2000)",Drama
1718318,"Almost Famous (2000)",Music
1718342,"Almost Heroes (1998)",Adventure
1718342,"Almost Heroes (1998)",Comedy
1718342,"Almost Heroes (1998)",Western
1718968,"Alphaville, une étrange aventure de Lemmy Caution (1965)",Drama
1718968,"Alphaville, une étrange aventure de Lemmy Caution (1965)",Mystery
1718968,"Alphaville, une étrange aventure de Lemmy Caution (1965)",Sci-Fi
1718968,"Alphaville, une étrange aventure de Lemmy Caution (1965)",Thriller
1719502,"Alvarez Kelly (1966)",Western
1719614,"Always Tell Your Wife (1923)",Comedy
1719614,"Always Tell Your Wife (1923)",Short
1720040,"Amadeus (1984)",Biography
1720040,"Amadeus (1984)",Drama
1720040,"Amadeus (1984)",Music
1720443,"Amateur (1994)",Comedy
1720443,"Amateur (1994)",Crime
1720443,"Amateur (1994)",Drama
1720443,"Amateur (1994)",Thriller
1721568,"American Beauty (1999)",Drama
1721607,"American Buffalo (1996)",Drama
1721750,"American Dream (1990)",Documentary
1721864,"American Flyers (1985)",Drama
1721864,"American Flyers (1985)",Sport
1721888,"American Gigolo (1980)",Crime
1721888,"American Gigolo (1980)",Drama
1721888,"American Gigolo (1980)",Thriller
1721919,"American Graffiti (1973)",Comedy
1721919,"American Graffiti (1973)",Drama
1721967,"American History X (1998)",Crime
1721967,"American History X (1998)",Drama
1722098,"American Movie (1999)",Documentary
1722164,"American Pie (1999)",Comedy
1722164,"American Pie (1999)",Romance
1722174,"American Pimp (1999)",Documentary
1722181,"American Pop (1981)",Animation
1722181,"American Pop (1981)",Drama
1722181,"American Pop (1981)",Music
1722198,"American Psycho (2000)",Crime
1722198,"American Psycho (2000)",Drama
1722327,"American Strays (1996)",Action
1722327,"American Strays (1996)",Comedy
1722395,"American Virgin (1999)",Comedy
1722617,"Amic/Amat (1999)",Drama
1722761,"Amistad (1997)",Drama
1722761,"Amistad (1997)",History
1722761,"Amistad (1997)",Mystery
1722776,"Amityville 3-D (1983)",Horror
1722776,"Amityville 3-D (1983)",Thriller
1722777,"Amityville II: The Possession (1982)",Drama
1722777,"Amityville II: The Possession (1982)",Horror
1722777,"Amityville II: The Possession (1982)",Thriller
1723002,"Among Giants (1998)",Comedy
1723002,"Among Giants (1998)",Romance
1723532,"Amos & Andrew (1993)",Comedy
1723532,"Amos & Andrew (1993)",Crime
1724000,"An Affair to Remember (1957)",Drama
1724000,"An Affair to Remember (1957)",Romance
1724037,"An Alan Smithee Film: Burn Hollywood Burn (1997)",Comedy
1724179,"An American Tail (1986)",Animation
1724179,"An American Tail (1986)",Comedy
1724179,"An American Tail (1986)",Drama
1724179,"An American Tail (1986)",Family
1724179,"An American Tail (1986)",History
1724179,"An American Tail (1986)",Musical
1724180,"An American Tail: Fievel Goes West (1991)",Adventure
1724180,"An American Tail: Fievel Goes West (1991)",Animation
1724180,"An American Tail: Fievel Goes West (1991)",Comedy
1724180,"An American Tail: Fievel Goes West (1991)",Family
1724180,"An American Tail: Fievel Goes West (1991)",Musical
1724180,"An American Tail: Fievel Goes West (1991)",Western
1724190,"An American Werewolf in London (1981)",Horror
1724193,"An American Werewolf in Paris (1997)",Comedy
1724193,"An American Werewolf in Paris (1997)",Horror
1724193,"An American Werewolf in Paris (1997)",Romance
1724193,"An American Werewolf in Paris (1997)",Thriller
1724201,"An American in Paris (1951)",Musical
1724201,"An American in Paris (1951)",Romance
1724413,"An Awfully Big Adventure (1995)",Comedy
1724413,"An Awfully Big Adventure (1995)",Drama
1724880,"An Ideal Husband (1999)",Comedy
1724880,"An Ideal Husband (1999)",Romance
1725437,"An Uninvited Guest (2010)",Horror
1725437,"An Uninvited Guest (2010)",Thriller
1725774,"Anaconda (1997)",Adventure
1725774,"Anaconda (1997)",Thriller
1726761,"Analyze This (1999)",Comedy
1726761,"Analyze This (1999)",Crime
1726934,"Anastasia (1997)",Adventure
1726934,"Anastasia (1997)",Animation
1726934,"Anastasia (1997)",Drama
1726934,"Anastasia (1997)",Family
1726934,"Anastasia (1997)",Fantasy
1726934,"Anastasia (1997)",Musical
1727017,"Anatomie (2000)",Horror
1727017,"Anatomie (2000)",Thriller
1727082,"Anatomy of a Murder (1959)",Crime
1727082,"Anatomy of a Murder (1959)",Drama
1727082,"Anatomy of a Murder (1959)",Mystery
1727237,"Anchors Aweigh (1945)",Comedy
1727237,"Anchors Aweigh (1945)",Fantasy
1727237,"Anchors Aweigh (1945)",Musical
1727237,"Anchors Aweigh (1945)",Romance
1727348,"And God Created Woman (1988)",Comedy
1727348,"And God Created Woman (1988)",Drama
1727348,"And God Created Woman (1988)",Romance
1727413,"And Now for Something Completely Different (1971)",Comedy
1727885,"Andre (1994)",Adventure
1727885,"Andre (1994)",Drama
1727885,"Andre (1994)",Family
1728742,"Angel Baby (1995)",Drama
1728742,"Angel Baby (1995)",Romance
1728802,"Angel Heart (1987)",Horror
1728802,"Angel Heart (1987)",Mystery
1728802,"Angel Heart (1987)",Thriller
1728889,"Angel and the Badman (1947)",Romance
1728889,"Angel and the Badman (1947)",Western
1728948,"Angel on My Shoulder (1946)",Comedy
1728948,"Angel on My Shoulder (1946)",Fantasy
1728948,"Angel on My Shoulder (1946)",Romance
1729005,"Angela (1995)",Drama
1729026,"Angela's Ashes (1999)",Drama
1729240,"Angels and Insects (1995)",Drama
1729240,"Angels and Insects (1995)",Romance
1729260,"Angels in the Outfield (1994)",Comedy
1729260,"Angels in the Outfield (1994)",Family
1729260,"Angels in the Outfield (1994)",Fantasy
1729260,"Angels in the Outfield (1994)",Sport
1729569,"Angus (1995)",Comedy
1729569,"Angus (1995)",Drama
1729818,"Animal House (1978)",Comedy
1729818,"Animal House (1978)",Romance
1730457,"Anna (1918)",Short
1730566,"Anna Karenina (1997)",Drama
1730566,"Anna Karenina (1997)",Romance
1730640,"Anna and the King (1999)",Comedy
1730640,"Anna and the King (1999)",Drama
1730640,"Anna and the King (1999)",History
1730640,"Anna and the King (1999)",Romance
1730836,"Anne Frank Remembered (1995)",Biography
1730836,"Anne Frank Remembered (1995)",Documentary
1730836,"Anne Frank Remembered (1995)",War
1730975,"Annie Hall (1977)",Comedy
1730975,"Annie Hall (1977)",Drama
1730975,"Annie Hall (1977)",Romance
1731412,"Another Day in Paradise (1998)",Crime
1731412,"Another Day in Paradise (1998)",Drama
1731412,"Another Day in Paradise (1998)",Thriller
1731505,"Another Man's Poison (1951)",Crime
1731505,"Another Man's Poison (1951)",Drama
1731505,"Another Man's Poison (1951)",Film-Noir
1731582,"Another Stakeout (1993)",Action
1731582,"Another Stakeout (1993)",Comedy
1731582,"Another Stakeout (1993)",Crime
1731582,"Another Stakeout (1993)",Thriller
1732344,"Antonia (1995)",Comedy
1732344,"Antonia (1995)",Drama
1732496,"Antz (1998)",Adventure
1732496,"Antz (1998)",Animation
1732496,"Antz (1998)",Comedy
1732496,"Antz (1998)",Family
1732658,"Any Given Sunday (1999)",Drama
1732658,"Any Given Sunday (1999)",Sport
1732858,"Anywhere But Here (1999)",Comedy
1732858,"Anywhere But Here (1999)",Drama
1733111,"Aparajito (1956)",Drama
1733479,"Apocalypse Now (1979)",Drama
1733479,"Apocalypse Now (1979)",War
1733566,"Apollo 13 (1995)",Drama
1733566,"Apollo 13 (1995)",History
1734162,"April Fool's Day (1986)",Comedy
1734162,"April Fool's Day (1986)",Horror
1734162,"April Fool's Day (1986)",Mystery
1734321,"Apt Pupil (1998)",Drama
1734321,"Apt Pupil (1998)",Thriller
1734369,"Apur Sansar (1959)",Drama
1734803,"Arachnophobia (1990)",Comedy
1734803,"Arachnophobia (1990)",Horror
1734803,"Arachnophobia (1990)",Sci-Fi
1734803,"Arachnophobia (1990)",Thriller
1735791,"Arguing the World (1998)",Documentary
1736211,"Arlington Road (1999)",Mystery
1736211,"Arlington Road (1999)",Thriller
1736268,"Armageddon (1998)",Action
1736268,"Armageddon (1998)",Adventure
1736268,"Armageddon (1998)",Sci-Fi
1736268,"Armageddon (1998)",Thriller
1736362,"Armed and Dangerous (1986)",Action
1736362,"Armed and Dangerous (1986)",Comedy
1736362,"Armed and Dangerous (1986)",Crime
1736592,"Army of Darkness (1992)",Comedy
1736592,"Army of Darkness (1992)",Fantasy
1736592,"Army of Darkness (1992)",Horror
1736794,"Around the World in 80 Days (2004)",Action
1736794,"Around the World in 80 Days (2004)",Adventure
1736794,"Around the World in 80 Days (2004)",Comedy
1736794,"Around the World in 80 Days (2004)",Family
1736794,"Around the World in 80 Days (2004)",Romance
1736794,"Around the World in 80 Days (2004)",Western
1737340,"Arsenic and Old Lace (1944)",Comedy
