movieid,Budget,Gross Revenue,Additional Data,Copyright,Currency
1695355,3000000,15905912,"152,861 (Sweden)","Â© Copyright MCMLXXXV A ROOM WITH A VIEW PRODUCTIONS LIMITED. 34, South Molton Street, London, England.",USD
1696148,17000000,16311763,"37,837 (Germany) | 24,016 (Netherlands) (31 December 2000) | 23,702 (Netherlands) (31 December 1999) | 69,448 (Spain) (31 March 2003)","Paramount Pictures Corp., 1998",USD
1696168,28000000,8119205,,"copyright Â© 1997 Universal City Studios, Inc. (on print)",USD
1696396,18000000,3247524,928 (Netherlands) (1 January 1998),,USD
1696496,6000000,19758558,,,USD
1697037,1800000,8000000,,Copyright MCMLI Charles K. Feldman Group Productions (on print); Charles K. Feldman Group Productions; 15 October 1951; LP1240 (in copyright registry),USD
1697674,8000000,34746109,,,USD
1697856,40000000,108706165,"1,247,425 (Germany) (15 December 1996) | 1,057,222 (Germany) (1 December 1996) | 649,435 (Germany) (17 November 1996) | 155,207 (Netherlands) (31 December 1997) | 154,795 (Netherlands) (1 January 1997) | 116,445 (Portugal) (31 October 1996) | 101,543 (Portugal) (24 October 1996) | 67,401 (Portugal) (10 October 1996) | 36,190 (Portugal) (3 October 1996) | 394,681 (Spain)",Monarchy Enterprises B.V.,USD
1698492,15000000,21397954,,TM & Copyright Â©MCMXCVI by Paramount Pictures Corporation,USD
1698667,30000000,49667091,"14,100,000 (USA) | 2,423,306 (France) | 1,553,971 (Spain) | 947,853 (Sweden)",Danjaq S.A.,USD
1698944,20000000,50012507,"17,548 (Netherlands) (1 January 1997)",Copyright Â©1995 by Twentieth Century Fox Film Corporation All Rights Reserved (on print),USD
1698972,14000000,4741987,,"Â©1998 Blouseman Productions, Inc. (on print)",USD
1699546,351000,36358,"37,887 (Spain) (31 August 2002)",United Artists Corporation; 17 October 1923; LP19504 (in copyright registry),USD
1703679,370000000,368234,"72,976 (USA) | 16,367 (UK) | 21,195 (France) (26 March 2002) | 4,181 (Netherlands) (31 December 2001) | 1,794,047 (Spain)","Â© Copyright Sociedad General de Cine, S.A. Las Producciones del EscorpiÃ³n, S.L. Les Films Alain Sarde Lucky Red SRL",ESP
1703907,50000000,50007168,"813,293 (France) (24 June 1997) | 298,196 (France) (27 May 1997) | 106,920 (France) (27 May 1997) (opening week) | 16,402 (France) (21 May 1997) (opening day) | 977,659 (France) | 322,270 (France) | 617,293 (Germany) (30 June 1997) | 585,470 (Germany) (23 June 1997) | 533,791 (Germany) (16 June 1997) | 472,436 (Germany) (9 June 1997) | 372,588 (Germany) (2 June 1997) | 171,997 (Germany) (opening week) | 42,828 (Netherlands) (1 January 1998) | 114,159 (Portugal) (26 June 1997) | 104,895 (Portugal) (19 June 1997) | 94,021 (Portugal) (12 June 1997) | 72,665 (Portugal) (5 June 1997) | 47,306 (Portugal) (29 May 1997) (opening week)",(1996) Castle Rock Entertainment,USD
1704569,12000000,72217000,"490,132 (France) (25 April 1995) | 117,711 (Sweden)",Â© 1994 Morgan Creek Productions Inc.,USD
1704571,30000000,108344348,"540,949 (France) (3 September 1996) | 434,589 (France) (6 August 1996) | 329,421 (Netherlands) (1 January 1997) | 173,029 (Portugal) (18 April 1996)",,USD
1705417,7000000,20257000,,,USD
1707941,6000000,6302154,"5,778 (Netherlands) (31 December 2001)","Largo Entertainment, Inc., 1997 (on print)",USD
1709238,13000000,25100000,"165,777 (Sweden)",,USD
1710994,15000000,927107,"980,177 (Germany) (28 March 1999) | 924,511 (Germany) (21 March 1999) | 843,299 (Germany) (14 March 1999) | 729,727 (Germany) (7 March 1999) | 571,253 (Germany) (28 February 1999) | 1,196,000 (Germany) | 22,497 (Netherlands) (31 December 2000) | 13,686 (Netherlands) (31 December 1999)",(1998) Senator Film Produktion GmbH,DEM
1711133,35000000,31053601,"73,804 (Sweden)",,USD
1711143,3000000,23125940,"70,380 (Netherlands) (31 December 1999) | 70,099 (Netherlands) (31 December 1998)",Â© Copyright 1997 Buddy Films Inc. All Rights Reserved (on print),USD
1711175,85000000,172650002,"862,331 (France) (28 October 1997) | 394,197 (France) (opening week) | 20,824 (France) (opening day) | 2,275,901 (Germany) (1 December 1997) | 2,205,167 (Germany) (24 November 1997) | 2,056,849 (Germany) (17 November 1997) | 1,772,811 (Germany) (10 November 1997) | 1,320,076 (Germany) (3 November 1997) | 602,597 (Germany) (27 October 1997) (opening week) | 342,234 (Netherlands) (31 December 1998) | 335,854 (Netherlands) (1 January 1998)",Copyright Â© 1997 Beacon Communications Corp.,USD
1711384,3500000,83453539,"467,615 (Sweden)",Paramount Pictures Corporation,USD
1711395,10000000,100489150,,"Â© MCMLXIX by Universal Pictures and Ross Hunter Productions, Inc. (on print); Ross Hunter Productions; 5 March 1970; LP38968 (in copyright registry)",USD
1711398,3000000,47285152,"260,926 (Sweden)",Â© MCMLXXIV BY UNIVERSAL PICTURES. (on print),USD
1712152,11000000,"553,171","135,647 (Spain)",Pioneer Entertainment,USD
1713183,28000000,217042825,"1,386,980 (Argentina) | 6,347,000 (Germany) | 1,047,615 (Sweden)",Walt Disney Company; 25 November 1992; PA583905 (in copyright registry),USD
1713499,23000000,11567023,"246,665 (Germany) (1996) | 5,504 (Spain)",Copyright Â©1996 Castle Rock Entertainment,USD
1713755,5000000,326308,,Motion Picture Corporation of America,USD
1715186,11000000,80930630,"2,809,875 (France) | 1,385,423 (Spain) (31 August 2002) | 284,649 (Sweden)",Copyright Â© 1979 by Twentieth Century-Fox Film Corporation All Rights Reserved,USD
1715288,16000000,25216243,"30,666 (Sweden)",Twentieth Century Fox Film Corporation,USD
1715380,75000000,47748610,"2,523,389 (France) (30 December 1997) | 1,811,773 (Germany) (5 January 1998) | 1,696,878 (Germany) (29 December 1997) | 1,538,977 (Germany) (22 December 1997) | 1,398,198 (Germany) (15 December 1997) | 1,062,372 (Germany) (8 December 1997) | 586,143 (Germany) (1 December 1997) (opening week) | 136,371 (Netherlands) (31 December 1998) | 114,220 (Netherlands) (1 January 1998) | 1,568,859 (Spain) (31 August 2002)",Twentieth Century Fox Film Corporation,USD
1715404,18500000,77632096,"1,720,593 (France) (31 August 2002) | 401,077 (France) | 1,718,564 (France) | 982,600 (Spain) (31 August 2002) | 218,833 (Sweden)",Twentieth Century Fox Film Corporation,USD
1715607,32000000,36733909,,,USD
1716019,14000000,27100027,,Copyright Â© MCMLXXXIX Goldcrest and Sullivan Bluth Limited. All rights reserved.,USD
1717144,250000,142721,,,USD
1718318,60000000,32522352,"80,831 (France) (27 March 2001) | 42,946 (Netherlands) (31 December 2002) | 32,908 (Netherlands) (31 December 2001) | 212,680 (Spain) (31 August 2002) | 185,853 (Spain) (30 June 2001)","DreamWorks LLC and Columbia Pictures Industries, Inc.",USD
1720040,18000000,366401,"1,876,753 (Argentina) (20 December 1994) (re-release) | 1,620,842 (Argentina) | 1,061,779 (Sweden)",Â© 1984 The Saul Zaentz Company (on print),USD
1721568,15000000,130058047,"340,965 (Denmark) | 4,010,034 (Germany) (16 November 2003) | 3,990,820 (Germany) (31 December 2000) | 636,477 (Netherlands) (31 December 2001) | 634,772 (Netherlands) (31 December 2000) | 4,105,424 (Spain) | 625,917 (Switzerland)",1999 Dreamworks LLC (onprint),USD
1721888,4800000,23000000,,Paramount Pictures Corporation (renewal); 18 August 1988; PA0000399918,USD
1721919,777000,21300000,"1,100,000 (Sweden) | 1,075,976 (Sweden)",COPYRIGHT Â© MCMLXXIII BY UNIVERSAL PICTURES ALL RIGHTS RESERVED,USD
1721967,7500000,6712241,"330,652 (Germany) (31 December 1999) | 94,927 (Germany) (7 March 1999) | 46,710 (Netherlands) (31 December 2000) | 46,265 (Netherlands) (31 December 1999)","(1998) New Line Productions, Inc.",USD
1722164,11000000,101736215,"927,212 (Argentina) (7 March 2000) | 6,140,123 (Germany) (31 December 2000) | 5,801,407 (Germany) | 332,143 (Netherlands) (31 December 2000) | 156,467 (Sweden) (30 September 1999)",,USD
1722174,650000,287724,,,USD
1722198,7000000,15070285,"2,740,051 (USA) (31 December 2001) | 832,265 (UK) (31 December 2001) | 91,049 (Belgium) (31 December 2001) | 367,154 (France) (31 December 2001) | 324,717 (Germany) (31 December 2001) | 142,623 (Italy) (31 December 2001) | 64,485 (Netherlands) (31 December 2001) | 63,145 (Netherlands) (31 December 2000) | 690,104 (Spain) (10 August 2002) | 683,906 (Spain) (25 June 2001)","Am Psycho Productions, Inc.",USD
1722761,40000000,44175394,"77,408 (Germany) (1 March 1998) (opening week) | 79,121 (Netherlands) (31 December 1999) | 78,908 (Netherlands) (31 December 1998) | 403,392 (Spain) | 90,605 (Switzerland)",copyright Â© 1997 Dreamworks LLC (on print),USD
1723002,2500000,64359,,Among Giants Ltd. (on print),GBP
1724037,10000000,43904,"4,519 (Germany) (14 June 1998) (opening week)",,USD
1724190,10000000,20445527,"127,618 (Sweden)","Copyright 1981 American Werewolf, Inc.",USD
1724193,22000000,26521435,"76,478 (Germany) (19 January 1998) (opening week)",Â© 1997 Stonewood Communications B.V. and Hollywood Pictures Company,USD
1724201,2723903,4500000,,Loew's Incorporated; 5 September 1951; LP1161 (in copyright registry),USD
1724413,4000000,258195,,,USD
1724880,14000000,18535191,"20,288 (Netherlands) (31 December 2001) | 20,100 (Netherlands) (31 December 2000)",,USD
1725774,45000000,65557989,"606,052 (France) (29 July 1997) | 443,422 (France) (opening week) | 747,318 (Germany) (11 August 1997) | 685,329 (Germany) (4 August 1997) | 527,213 (Germany) (28 July 1997) | 291,802 (Germany) (opening week) | 60,141 (Netherlands) (1 January 1998) | 145,918 (Portugal) (4 September 1997) | 124,953 (Portugal) (28 August 1997) | 99,247 (Portugal) (21 August 1997) | 65,388 (Portugal) (14 August 1997) (opening week)","Â©1997 COLUMBIA PICTURES INDUSTRIES, INC.",USD
1726761,30000000,106694016,"1,148,208 (Germany) (11 July 1999) | 1,119,582 (Germany) (4 July 1999) | 1,080,695 (Germany) (27 June 1999) | 924,112 (Germany) (13 June 1999) | 780,157 (Germany) (6 June 1999) | 553,935 (Germany) (30 May 1999) | 188,486 (Netherlands) (31 December 2000) | 184,592 (Netherlands) (31 December 1999) | 1,216,178 (Spain) (20 December 2002)",,USD
1726934,53000000,58297830,"629,339 (Germany) (27 April 1998) | 159,066 (Germany) (6 April 1998) | 247,227 (Netherlands) (31 December 1998)",,USD
1727017,8400000,5725,"146,946 (Austria) (31 December 2000) | 92,642 (France) (31 December 2001) | 2,013,931 (Germany) (31 December 2000) | 115,917 (Spain) (31 December 2001)",(2000) Deutsche Columbia TriStar Filmproduktion,DEM
1727413,100000,378828,"130,331 (Denmark) (1980) | 175,559 (Spain)",Copyright Â© MCMLXXI Kettledrum/Lownes Productions Ltd.,USD
1728802,17000000,17185632,"116,973 (Sweden) | 1,327,597 (West Germany) (1987)",,USD
1729026,25000000,13038660,"59,280 (Netherlands) (31 December 2001) | 58,176 (Netherlands) (31 December 2000)",,USD
1729260,24000000,50236831,,,USD
1729818,3000000,201747,"379,493 (Sweden)","Universal City Studios, Inc.",USD
1730566,35000000,791830,"301,107 (France) (24 June 1997) | 135,123 (France) (opening week)",,USD
1730640,75000000,39251128,"1,206,020 (Germany) | 194,414 (Netherlands) (31 December 2001) | 194,185 (Netherlands) (31 December 2000) | 1,547,334 (Spain) (10 August 2002)",,USD
1730975,4000000,38251425,"1,344,539 (France) | 200,544 (Hungary) (1980) | 1,915,584 (Spain) | 291,482 (Sweden)","Â© 1977 by Metro-Goldwyn-Mayer Studios, Inc.",USD
1731412,4500000,1025234,"4,010 (Netherlands) (31 December 1999)","1998 Another Day, Inc.",USD
1732496,60000000,90646554,"1,096,698 (Germany) (20 December 1998) | 1,036,023 (Germany) (13 December 1998) | 959,281 (Germany) (6 December 1998) | 755,210 (Germany) (22 November 1998) | 555,236 (Germany) (15 November 1998) | 253,563 (Germany) (8 November 1998) (opening week) | 122,084 (Netherlands) (31 December 1999) | 183,312 (Switzerland)",,USD
1732658,55000000,75530832,"384,331 (Germany) | 47,839 (Netherlands) (31 December 2001) | 47,808 (Netherlands) (31 December 2000)",,USD
1732858,23000000,18653615,,Twentieth Century Fox Film Corporation,USD
1733479,31500000,4626290,"1,061,543 (Hungary) | 2,327,173 (Spain) (first release) | 320,721 (Sweden) | 3,366,675 (West Germany) (1979)",Omni Zoetrope,USD
1733566,62000000,1736281,"1,911,470 (France) (2 January 1996)","Â© 1995 Universal City Studios, Inc.",USD
1734162,5000000,12543892,,"Copyright Â© MCMLXXXVI by YCTM Productions, Inc. All rights reserved (on print)",USD
1734321,14000000,8838938,"2,840 (Netherlands) (31 December 1999)",Copyright Â©1997 Phoenix Pictures Inc. All Rights Reserved (on print),USD
1734803,31000000,53133888,"146,785 (Sweden)","Copyright Â© MCMXC HOLLYWOOD PICTURES COMPANY and AMBLIN ENTERTAINMENT, INC. All rights reserved.",USD
1736211,21500000,24362501,"264,630 (Netherlands) (31 December 1999)",,USD
1736268,140000000,201573391,"4,479,748 (France) (13 October 1998) | 3,859,295 (France) (9 September 1998) | 48,733 (France) (opening day) | 5,048,194 (Germany) (13 September 1998) | 4,933,193 (Germany) (6 September 1998) | 4,510,696 (Germany) (23 August 1998) | 4,174,031 (Germany) (16 August 1998) | 2,293,708 (Germany) (26 July 1998) | 1,274,643 (Germany) (19 July 1998) (opening weekend) | 747,213 (Netherlands) (31 December 1998) | 2,473,657 (Spain) | 592,752 (Sweden) (31 December 1998)",Copyright Â© MCMXCVIII Touchstone Pictures and Jerry Bruckheimer Inc.,USD
1736362,12000000,15945534,,,USD
1736592,13000000,11502976,"557,418 (Germany) (1993) | 324,300 (Spain)",Â© 1992 Dino De Laurentiis Communications,USD
1736794,110000000,24004159,"6,409 (Estonia) | 1,202,755 (Germany) (13 February 2005) | 1,114,339 (Germany) (6 February 2005) | 1,045,039 (Germany) (30 January 2005) | 952,319 (Germany) (23 January 2005) | 835,307 (Germany) (16 January 2005) | 695,610 (Germany) (6 January 2005) | 120,705 (Germany) (26 December 2004)","Â© Copyright 2004 Balloon Productions, LLC (on print)",USD
1737766,7000000,88595661,"103,115 (West Germany) (1982)",,USD
1738481,50000000,147637474,"2,786,327 (Germany) (1 June 1998) | 2,678,965 (Germany) (11 May 1998) | 2,633,035 (Germany) (4 May 1998) | 2,538,215 (Germany) (27 April 1998) | 2,052,260 (Germany) (6 April 1998) | 1,847,022 (Germany) (30 March 1998) | 1,665,804 (Germany) (23 March 1998) | 1,502,399 (Germany) (16 March 1998) | 1,273,264 (Germany) (9 March 1998) | 629,505 (Germany) (23 February 1998) | 264,126 (Germany) (16 February 1998) (opening week) | 3,002,836 (Germany) (1998) | 294,710 (Netherlands) (31 December 1999) | 294,153 (Netherlands) (31 December 1998) | 442,130 (Portugal) | 396,134 (Sweden) (31 December 1998)","Â© 1997 TriStar Pictures, Inc. (on print); TriStar Pictures, Inc.; 28 January 1998; PA870530 (in copyright registry)",USD
1740752,50000000,30306268,"449,376 (France) (28 November 1995) | 504,354 (France) | 683,815 (Germany)",Â© 1995 Warner Bros.,USD
1740811,150000,273623,,Â© MCMLXXVI C K K Corporation,USD
1741682,60000000,22326247,"4,402,585 (USA) (1999) | 30,447 (UK) (1999) | 81,796 (Belgium) (1999) | 11,649 (Bulgaria) (1999) | 132,062 (France) (1999) | 21,704 (Germany) (13 June 1999) | 67,027 (Germany) (1999) | 34,853 (Hungary) (1999) | 215,630 (Italy) (1999) | 4,093 (Netherlands) (31 December 1999) | 39,525 (Poland) (1999) | 25,027 (Romania) (1999) | 179,554 (Spain) (30 June 2001) | 4,248 (Sweden) (1999)",,USD
1742509,7200000,12729678,,"Â©The Merchant Trust Company in Trust, MCMLXXX All rights reserved",USD
1744391,2240000,23300000,,"Copyright MCMLVIII by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 ; Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 (in copyright registry)",USD
1744809,17000000,53868030,"26,253 (Germany) (24 November 1997) (opening week) | 6,521 (Netherlands) (31 December 1998) | 6,491 (Netherlands) (1 January 1998) | 68,451 (Spain)","New Line Productions, Inc., 1997",USD
1744811,33000000,205399422,"494,479 (France) (2 November 1999) | 1,032,119 (Germany) (7 November 1999) | 219,883 (Netherlands) (31 December 1999) | 916,146 (Spain)","New Line Productions, Inc.",USD
1745406,40000000,37752931,"1,865,868 (Italy) (31 December 2001) | 72,630 (Netherlands) (31 December 2001) | 46,500 (Netherlands) (31 December 2000)",,USD
1748196,30000000,66600000,"1,310,150 (Argentina) | 1,180,411 (France) (16 April 1996) | 1,177,827 (Spain) (1996)","Copyright Â© 1995 UNIVERSAL CITY STUDIOS, INC",USD
1748219,80000000,18318000,"1,509,428 (Germany) (7 March 1999) | 1,434,211 (Germany) (28 February 1999) | 126,928 (Netherlands) (31 December 1999) | 285,775 (Spain) (30 June 2001)",,USD
1748754,18000000,27141959,"42,435 (Netherlands) (31 December 1999) | 423,627 (Spain) (13 July 2001)",,USD
1749222,180000,925402,"1,554 (Netherlands) (31 December 2000) | 893 (Netherlands) (31 December 1999)",,USD
1749731,19000000,197902294,"770,397 (Sweden)","Copyright Â© MCMLXXXV by Universal City Studios, Inc. All rights reserved. (on print)",USD
1749735,40000000,118450002,"453,546 (Sweden)","Copyright Â© 1989 by Universal City Studios, Inc. and U-Drive Productions, Inc. All rights reserved. [on Screen]",USD
1749737,40000000,87666629,"250,482 (Sweden)","Copyright Â© 1990 Universal City Studios, Inc. and U-Drive Productions. Inc. All rights reserved.",USD
1750364,19000000,65637842,"86,073 (Belgium) | 1,485,166 (France) (3 October 1995)",,USD
1750660,1000000,1995334,,,USD
1750728,7000000,1055525,,"Â© 1996 Morgan Creek Productions, Inc. (on print)",USD
1751059,150000,474047,"5,286 (Netherlands) (31 December 1997) | 5,259 (Netherlands) (1 January 1997)",,USD
1751872,35000000,15325127,"4,532 (Spain) (31 August 2002) | 4,291 (Spain) (30 June 2001)",,USD
1753400,10000000,2185266,"4,189 (Netherlands) (31 December 2002) | 2,650 (Netherlands) (31 December 2001) | 8,525 (Spain) (31 August 2002) | 6,709 (Spain) (30 June 2001)","2000, 40 Acres and A Mule Filmworks, Inc. (on print)",USD
1753695,8700000,4865912,,,USD
1753860,7000000,24187,"866,030 (Germany) (15 September 1997) | 843,216 (Germany) (8 September 1997) | 775,327 (Germany) (25 August 1997) | 720,396 (Germany) (18 August 1997) | 671,238 (Germany) (11 August 1997) | 608,805 (Germany) (4 August 1997) | 508,596 (Germany) (28 July 1997) | 391,706 (Germany) (21 July 1997) | 231,575 (Germany) (14 July 1997) | 953,000 (Germany) | 120,434 (Germany) (opening week)",,DEM
1754754,2000000,1250322,,,USD
1754884,9000000,613285,,,USD
1755112,3200000,7266973,,,USD
1756051,15000000,11144518,"40,807 (Germany)","Copyright Â© 1998 Good Egg Productions, Inc. All Rights Reserved.",USD
1756391,11000000,20000000,"1,000,000 (Germany) | 1,357,139 (Spain) (20 December 2002)",Copyright 1975 Hawk Films/Warner Bros.,USD
1756768,40000000,117727000,"4,651,563 (France) | 4,406,353 (Germany) (31 December 1992) | 1,262,687 (Netherlands) | 4,764,943 (Spain) (1993)",Copyright Â© 1992 Carolco/Le Studio Canal+ V.O.F. All Rights Reserved. (on print),USD
1756902,3300000,2961991,"11,573 (Netherlands) (31 December 1998) | 11,219 (Netherlands) (1 January 1998)",,USD
1757342,125000000,107285004,"1,321,129 (France) (2 September 1997) | 1,063,191 (France) (29 July 1997) | 130,869 (France) (15 July 1997) (opening week) | 33,701 (France) (9 July 1997) (opening day) | 567,917 (France) (opening week) | 1,223,639 (Germany) (28 July 1997) | 1,135,861 (Germany) (21 July 1997) | 966,346 (Germany) (14 July 1997) | 774,905 (Germany) (7 July 1997) | 357,142 (Germany) (opening week) | 92,345 (Netherlands) (31 December 1998) | 92,323 (Netherlands) (1 January 1998) | 183,041 (Portugal) (14 August 1997) | 178,378 (Portugal) (7 August 1997) | 164,088 (Portugal) (31 July 1997) | 137,132 (Portugal) (24 July 1997) | 86,407 (Portugal) (17 July 1997) (opening week) | 1,013,074 (Spain)",Â© 1997 Warner Bros.,USD
1757347,35000000,251188924,"827,516 (Argentina) | 2,156,622 (France) | 243,832 (France) (opening week) | 46,768 (France) (opening day) | 554,286 (France) | 3,536,426 (Spain) | 329,078 (Sweden)",Warner Bros. Inc.,USD
1757367,100000000,183997904,"732,842 (Argentina) | 958 (Denmark) (1997) | 1,430 (Denmark) (1996) | 1,516,890 (France) (5 September 1995) | 1,243 (Italy) (1996) | 622 (Romania) (1998) | 3,574 (Romania) (1997) | 24,478 (Romania) (1996) | 55 (Spain) (1999) | 261 (Spain) (1997) | 10,679 (Spain) (1996) | 1,121,293 (Spain)",Â© 1995 Warner Bros.,USD
1757378,80000000,162744850,"763,615 (Argentina) | 1,104,444 (Spain)",Warner Bros. Inc.,USD
1757423,6000000,5588699,,ALL ORIGINAL MUSIC COMPOSITIONS Â© 1993 WB MUSIC CORP. ASCAP,USD
1757485,6500000,10149779,,,USD
1757698,1800000,8800000,,MCMLXXIII Twentieth Century-Fox Film Corporation,USD
1757893,44000000,21471685,"11,552 (Netherlands) (31 December 2000) | 394,457 (Spain) (10 August 2002) | 392,973 (Spain) (25 June 2001)",,USD
1758856,22000000,45298656,"386976 (Finland) | 2,987,856 (France) (30 December 1997) | 268,040 (France) (4 November 1997) (opening week) | 1,342,183 (France) (4 November 1997) (opening week) | 47,515 (France) (29 October 1997) (opening day) | 5,505,743 (Germany) (3 November 1997) | 5,399,913 (Germany) (27 October 1997) | 5,339,850 (Germany) (20 October 1997) | 5,164,646 (Germany) (13 October 1997) | 4,937,372 (Germany) (5 October 1997) | 4,582,411 (Germany) (29 September 1997) | 4,233,770 (Germany) (22 September 1997) | 3,602,646 (Germany) (15 September 1997) | 2,603,071 (Germany) (8 September 1997) | 1,115,230 (Germany) (1 September 1997) (opening week) | 1,010,654 (Netherlands) (31 December 1998) | 1,010,225 (Netherlands) (1 January 1998) | 302,033 (Portugal) (30 October 1997) | 277,464 (Portugal) (23 October 1997) | 260,893 (Portugal) (16 October 1997) | 243,048 (Portugal) (9 October 1997) | 214,430 (Portugal) (2 October 1997) | 181,713 (Portugal) (25 September 1997) | 131,004 (Portugal) (18 September 1997) | 67,891 (Portugal) (11 September 1997) (opening week)",Â© 1997 POLYGRAM FILM PRODUCTIONS BV and NV POLYGRAM S.A. 1997 (on print),USD
1759448,9000000,3060963,,,USD
1759851,25000000,47611331,,"Disney Enterprises, Inc.",USD
1759983,12000000,63071133,"49,254 (Germany) (opening week) | 41,632 (Netherlands) (31 December 1998) | 41,620 (Netherlands) (1 January 1998)",,USD
1760386,20000000,838193,"95,027 (Sweden)",MCMLXXI Walt Disney Productions,USD
1760449,3000000,16459,"4,738 (Netherlands) (31 December 2000) | 3,727 (Netherlands) (31 December 1999)",,GBP
1760752,15000000,73326666,"110,664 (Sweden)",The Geffen Film Company,USD
1760876,2500000,5381891,"160,023 (Spain) (15 December 2004) | 64,789 (Switzerland)",Â© 1995 Castle Rock Entertainment,USD
1762161,30000000,1519366,,,USD
